,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2292,ONDO,0.0,-0.007680012,199.992319988,0.0,199.992319988,1.0,168.2,0.2283,168.2,0.2283,entry_initial_normal_long
1,2518,ONDO,0.8746400000000016,-0.007854940000000001,200.859105048,0.0,200.859105048,1.0,-168.2,0.2335,0.0,0.2283,close_grid_long
2,3020,ONDO,0.0,-0.007713472000000001,200.851391576,0.0,200.851391576,1.0,165.1,0.2336,165.1,0.2336,entry_initial_normal_long
3,3914,ONDO,0.8750299999999999,-0.007888477999999999,201.718533098,0.0,201.718533098,1.0,-165.1,0.2389,0.0,0.2336,close_grid_long
4,5136,ONDO,0.0,-0.007746376000000001,201.710786722,0.0,201.710786722,1.0,155.8,0.2486,155.8,0.2486,entry_initial_normal_long
5,5138,ONDO,0.8724799999999991,-0.007920872,202.57534585,0.0,202.57534585,1.0,-155.8,0.2542,0.0,0.2486,close_grid_long
6,5182,ONDO,0.0,-0.0077762920000000015,202.567569558,0.0,202.567569558,1.0,155.9,0.2494,155.9,0.2494,entry_initial_normal_long
7,5188,ONDO,0.8886299999999974,-0.007954018,203.44824554,0.0,203.44824554,1.0,-155.9,0.2551,0.0,0.2494,close_grid_long
8,5208,ONDO,0.0,-0.007809928,203.440435612,0.0,203.440435612,1.0,156.7,0.2492,156.7,0.2492,entry_initial_normal_long
9,5247,ONDO,0.8931900000000016,-0.007988566,204.325637046,0.0,204.325637046,1.0,-156.7,0.2549,0.0,0.2492,close_grid_long
10,5326,ONDO,0.0,-0.007845668,204.317791378,0.0,204.317791378,1.0,159.4,0.2461,159.4,0.2461,entry_initial_normal_long
11,5457,ONDO,0.8926399999999947,-0.008024195999999999,205.202407182,0.0,205.202407182,1.0,-159.4,0.2517,0.0,0.2461,close_grid_long
12,6522,ONDO,0.0,-0.00787952,205.194527662,0.0,205.194527662,1.0,148.0,0.2662,148.0,0.2662,entry_initial_normal_long
13,6548,ONDO,0.8880000000000008,-0.008057120000000001,206.074470542,0.0,206.074470542,1.0,-148.0,0.2722,0.0,0.2662,close_grid_long
14,7498,ONDO,0.0,-0.007912360000000002,206.066558182,0.0,206.066558182,1.0,143.6,0.2755,143.6,0.2755,entry_initial_normal_long
15,8173,ONDO,0.0,-0.0377629,206.028795282,0.0,206.028795282,1.0,739.0,0.2555,882.6,0.25875402220711535,entry_grid_normal_long
16,8217,ONDO,5.336179999999972,-0.046742496,211.31823278599998,0.0,211.31823278599998,1.0,-882.6,0.2648,0.0,0.25875402220711535,close_grid_long
17,8502,ONDO,0.0,-0.008114076,211.31011870999998,0.0,211.31011870999998,1.0,157.8,0.2571,157.8,0.2571,entry_initial_normal_long
18,8607,ONDO,0.9152400000000044,-0.008297124000000001,212.217061586,0.0,212.217061586,1.0,-157.8,0.2629,0.0,0.2571,close_grid_long
19,9109,ONDO,0.0,-0.008149482000000001,212.208912104,0.0,212.208912104,1.0,156.3,0.2607,156.3,0.2607,entry_initial_normal_long
20,10099,ONDO,0.9221700000000026,-0.008333916,213.122748188,0.0,213.122748188,1.0,-156.3,0.2666,0.0,0.2607,close_grid_long
21,10888,ONDO,0.0,-0.008181216,213.114566972,0.0,213.114566972,1.0,167.1,0.2448,167.1,0.2448,entry_initial_normal_long
22,11142,ONDO,0.9357600000000036,-0.008368368,214.041958604,0.0,214.041958604,1.0,-167.1,0.2504,0.0,0.2448,close_grid_long
23,13968,ONDO,0.0,-0.008214876,214.033743728,0.0,214.033743728,1.0,129.9,0.3162,129.9,0.3162,entry_initial_normal_long
24,14025,ONDO,0.9222899999999994,-0.008399334000000001,214.94763439399998,0.0,214.94763439399998,1.0,-129.9,0.3233,0.0,0.3162,close_grid_long
25,14454,ONDO,0.0,-0.008253694,214.9393807,0.0,214.9393807,1.0,121.7,0.3391,121.7,0.3391,entry_initial_normal_long
26,14741,ONDO,0.9249199999999995,-0.008438678,215.855862022,0.0,215.855862022,1.0,-121.7,0.3467,0.0,0.3391,close_grid_long
27,14957,ONDO,0.0,-0.008284630000000001,215.847577392,0.0,215.847577392,1.0,123.1,0.3365,123.1,0.3365,entry_initial_normal_long
28,15058,ONDO,0.9355599999999994,-0.008471742,216.77466565,0.0,216.77466565,1.0,-123.1,0.3441,0.0,0.3365,close_grid_long
29,15275,ONDO,0.0,-0.0083204,216.76634525,0.0,216.76634525,1.0,122.0,0.341,122.0,0.341,entry_initial_normal_long
30,15316,ONDO,0.0,-0.03970839599999999,216.726636854,0.0,216.726636854,1.0,627.9,0.3162,749.9,0.3202346712895053,entry_grid_normal_long
31,15324,ONDO,5.673239999999976,-0.049163444,222.35071340999997,0.0,222.35071340999997,1.0,-749.9,0.3278,0.0,0.3202346712895053,close_grid_long
