,balance,equity,balance_btc,equity_btc
0,200.1118183337,200.0,0.0,0.0
60,200.1118183337,200.0,0.0,0.0
120,200.1118183337,200.0,0.0,0.0
180,200.1118183337,200.0,0.0,0.0
240,200.1118183337,200.0,0.0,0.0
300,200.1118183337,200.0,0.0,0.0
360,200.1118183337,200.1118183337,0.0,0.0
420,200.1118183337,200.1118183337,0.0,0.0
480,200.1118183337,200.1118183337,0.0,0.0
540,200.1118183337,200.1118183337,0.0,0.0
600,200.1118183337,200.1118183337,0.0,0.0
660,200.1118183337,200.1118183337,0.0,0.0
720,200.1118183337,200.1118183337,0.0,0.0
780,200.27062763926,200.1118183337,0.0,0.0
840,200.38514363094,200.13375103926,0.0,-0.13687660000000182
900,200.38514363094,200.38514363094,0.0,0.0
960,200.38514363094,200.38514363094,0.0,0.0
1020,200.38514363094,200.38514363094,0.0,0.0
1080,200.38514363094,200.38514363094,0.0,0.0
1140,200.38514363094,200.38514363094,0.0,0.0
1200,200.38514363094,200.38514363094,0.0,0.0
1260,200.38514363094,200.38514363094,0.0,0.0
1320,200.38514363094,200.38514363094,0.0,0.0
1380,200.38514363094,200.38514363094,0.0,0.0
1440,200.38514363094,200.38514363094,0.0,0.0
1500,200.38514363094,200.38514363094,0.0,0.0
1560,200.38514363094,200.38514363094,0.0,0.0
1620,200.38514363094,200.38514363094,0.0,0.0
1680,200.38514363094,200.38514363094,0.0,0.0
1740,200.38514363094,200.38514363094,0.0,0.0
1800,200.38514363094,200.38514363094,0.0,0.0
1860,200.38514363094,200.38514363094,0.0,0.0
1920,200.38514363094,200.38514363094,0.0,0.0
1980,200.38514363094,200.38514363094,0.0,0.0
2040,200.38514363094,200.38514363094,0.0,0.0
2100,200.38514363094,200.38514363094,0.0,0.0
2160,200.38514363094,200.38514363094,0.0,0.0
2220,200.38514363094,200.38514363094,0.0,0.0
2280,200.38514363094,200.38514363094,0.0,0.0
2340,200.38514363094,200.38514363094,0.0,0.0
2400,200.38514363094,200.38514363094,0.0,0.0
2460,200.38514363094,200.38514363094,0.0,0.0
2520,200.38514363094,200.38514363094,0.0,0.0
2580,200.38514363094,200.38514363094,0.0,0.0
2640,200.38514363094,200.38514363094,0.0,0.0
