,balance,equity,balance_btc,equity_btc
0,201.11372041399997,200.0,0.0,0.0
60,201.11372041399997,200.0,0.0,0.0
120,201.11372041399997,200.0,0.0,0.0
180,201.11372041399997,200.0,0.0,0.0
240,201.11372041399997,200.0,0.0,0.0
300,201.11372041399997,200.0,0.0,0.0
360,201.11372041399997,200.0,0.0,0.0
420,201.11372041399997,200.0,0.0,0.0
480,201.11372041399997,200.0,0.0,0.0
540,201.11372041399997,201.11372041399997,0.0,0.0
600,201.11372041399997,201.11372041399997,0.0,0.0
660,201.11372041399997,201.11372041399997,0.0,0.0
720,201.11372041399997,201.11372041399997,0.0,0.0
780,201.10409905399996,201.11372041399997,0.0,0.0
840,201.16530352599995,200.85937905399996,0.0,-0.24472000000000596
900,201.16530352599995,201.16530352599995,0.0,0.0
960,201.16530352599995,201.16530352599995,0.0,0.0
1020,201.16530352599995,201.16530352599995,0.0,0.0
1080,201.16530352599995,201.16530352599995,0.0,0.0
1140,201.16530352599995,201.16530352599995,0.0,0.0
1200,201.16530352599995,201.16530352599995,0.0,0.0
1260,201.16530352599995,201.16530352599995,0.0,0.0
1320,201.16530352599995,201.16530352599995,0.0,0.0
1380,201.16530352599995,201.16530352599995,0.0,0.0
1440,201.16530352599995,201.16530352599995,0.0,0.0
1500,201.16530352599995,201.16530352599995,0.0,0.0
1560,201.16530352599995,201.16530352599995,0.0,0.0
1620,201.16530352599995,201.16530352599995,0.0,0.0
1680,201.16530352599995,201.16530352599995,0.0,0.0
1740,201.16530352599995,201.16530352599995,0.0,0.0
1800,201.16530352599995,201.16530352599995,0.0,0.0
1860,201.16530352599995,201.16530352599995,0.0,0.0
1920,201.16530352599995,201.16530352599995,0.0,0.0
1980,201.16530352599995,201.16530352599995,0.0,0.0
2040,201.16530352599995,201.16530352599995,0.0,0.0
2100,201.16530352599995,201.16530352599995,0.0,0.0
2160,201.16530352599995,201.16530352599995,0.0,0.0
2220,201.16530352599995,201.16530352599995,0.0,0.0
2280,201.16530352599995,201.16530352599995,0.0,0.0
2340,201.16530352599995,201.16530352599995,0.0,0.0
2400,201.16530352599995,201.16530352599995,0.0,0.0
2460,201.16530352599995,201.16530352599995,0.0,0.0
2520,201.16530352599995,201.16530352599995,0.0,0.0
2580,201.54329683599997,201.16530352599995,0.0,0.0
2640,201.54329683599997,201.54329683599997,0.0,0.0
2700,201.54329683599997,201.54329683599997,0.0,0.0
2760,201.53363227599996,201.54329683599997,0.0,0.0
2820,201.53363227599996,201.14582227599996,0.0,-0.3878100000000019
2880,201.66343981599996,200.98679227599996,0.0,-0.5468400000000012
2940,201.66343981599996,201.66343981599996,0.0,0.0
3000,201.65377261599997,201.66343981599996,0.0,0.0
3060,201.74953432599997,201.49132261599996,0.0,-0.16244999999999932
3120,201.74953432599997,201.74953432599997,0.0,0.0
3180,201.74953432599997,201.74953432599997,0.0,0.0
3240,201.74953432599997,201.74953432599997,0.0,0.0
3300,201.74953432599997,201.74953432599997,0.0,0.0
3360,201.74953432599997,201.74953432599997,0.0,0.0
3420,201.73985412599998,201.74953432599997,0.0,0.0
3480,202.637692386,202.702654126,0.0,0.9628000000000045
3540,202.637692386,202.637692386,0.0,0.0
3600,202.637692386,202.637692386,0.0,0.0
3660,202.637692386,202.637692386,0.0,0.0
3720,202.627992546,202.637692386,0.0,0.0
3780,202.627992546,201.648792546,0.0,-0.9791999999999988
3840,202.627992546,201.259992546,0.0,-1.3680000000000005
3900,202.627992546,200.856792546,0.0,-1.7711999999999977
3960,202.627992546,200.217432546,0.0,-2.4105599999999976
4020,202.627992546,200.067672546,0.0,-2.5603200000000013
4080,202.627992546,200.398872546,0.0,-2.229120000000001
4140,202.627992546,200.29807254600001,0.0,-2.3299199999999956
4200,202.627992546,200.107992546,0.0,-2.5199999999999974
4260,202.627992546,200.286552546,0.0,-2.341439999999996
4320,202.627992546,199.739352546,0.0,-2.88864
4380,202.627992546,198.909912546,0.0,-3.7180800000000014
4440,202.627992546,198.604632546,0.0,-4.023359999999999
4500,202.627992546,198.578712546,0.0,-4.049280000000001
4560,202.627992546,198.443352546,0.0,-4.184639999999997
4620,202.627992546,198.636312546,0.0,-3.99168
4680,202.627992546,198.529752546,0.0,-4.098239999999998
4740,202.627992546,199.048152546,0.0,-3.579839999999998
4800,202.627992546,199.097112546,0.0,-3.5308800000000016
4860,202.627992546,199.056792546,0.0,-3.5711999999999993
4920,202.627992546,199.422552546,0.0,-3.2054399999999985
4980,202.627992546,199.40239254600002,0.0,-3.2255999999999974
5040,202.627992546,199.632792546,0.0,-2.995199999999998
5100,202.627992546,199.197912546,0.0,-3.4300800000000007
5160,202.627992546,199.546392546,0.0,-3.081599999999997
5220,202.627992546,199.128792546,0.0,-3.499199999999996
5280,202.627992546,198.256152546,0.0,-4.371839999999997
5340,202.627992546,198.187032546,0.0,-4.440959999999999
5400,202.627992546,198.215832546,0.0,-4.412160000000001
5460,202.627992546,198.405912546,0.0,-4.222079999999999
5520,202.627992546,198.535512546,0.0,-4.092480000000001
5580,202.627992546,198.659352546,0.0,-3.9686399999999997
5640,202.627992546,198.521112546,0.0,-4.106879999999997
5700,202.627992546,198.319512546,0.0,-4.3084799999999985
5760,202.627992546,198.181272546,0.0,-4.446719999999996
5820,202.627992546,197.991192546,0.0,-4.636799999999997
5880,202.627992546,199.151832546,0.0,-3.4761599999999957
5940,202.627992546,199.690392546,0.0,-2.9375999999999967
6000,202.627992546,200.848152546,0.0,-1.7798399999999965
6060,202.627992546,200.349912546,0.0,-2.2780799999999974
6120,202.627992546,200.217432546,0.0,-2.4105599999999976
6180,202.627992546,199.336152546,0.0,-3.2918399999999974
6240,202.627992546,199.457112546,0.0,-3.1708799999999973
6300,202.627992546,199.722072546,0.0,-2.9059199999999974
6360,202.627992546,199.534872546,0.0,-3.093119999999997
6420,202.627992546,199.704792546,0.0,-2.923200000000001
6480,202.627992546,199.978392546,0.0,-2.6495999999999955
6540,202.627992546,199.94671254600001,0.0,-2.681280000000001
6600,202.627992546,199.684632546,0.0,-2.9433599999999998
6660,202.627992546,200.375832546,0.0,-2.2521600000000017
6720,202.627992546,200.254872546,0.0,-2.3731200000000015
6780,202.627992546,200.093592546,0.0,-2.5343999999999993
6840,202.627992546,200.28079254600001,0.0,-2.347199999999999
6900,202.627992546,199.687512546,0.0,-2.940479999999998
6960,202.627992546,199.779672546,0.0,-2.8483199999999957
7020,202.627992546,200.061912546,0.0,-2.5660799999999986
7080,202.627992546,199.998552546,0.0,-2.6294399999999967
7140,202.627992546,200.332632546,0.0,-2.295360000000001
7200,202.627992546,199.91215254600002,0.0,-2.7158399999999956
7260,202.627992546,199.566552546,0.0,-3.061439999999998
