,balance,equity,balance_btc,equity_btc
0,199.99943848,200.0,0.0,0.0
60,199.99943848,200.02203848000002,0.0,0.022600000000000176
120,200.06728524,200.09203848,0.0,0.09260000000000002
180,200.10651128,200.10728523999998,0.0,0.040000000000000036
240,200.10651128,200.03871128,0.0,-0.06780000000000008
300,200.10651128,200.06631128,0.0,-0.040200000000000014
360,200.10651128,200.03771128,0.0,-0.06879999999999997
420,200.10651128,200.01951128000002,0.0,-0.08700000000000019
480,200.54378628,200.03711128,0.0,-0.0693999999999999
540,200.54219916,200.50898628000002,0.0,-0.034800000000000164
600,200.53729074,199.9807419,0.0,-0.5611999999999995
660,200.52561686,199.96009074,0.0,-0.5771999999999984
720,200.52561686,198.51601686000004,0.0,-2.009599999999992
780,200.52561686,200.21691686000003,0.0,-0.30869999999998443
840,200.49483014,200.48701686000004,0.0,-0.03859999999998176
900,200.49483014,198.81963014000002,0.0,-1.6751999999999974
960,200.49458948,195.29333014,0.0,-5.201500000000003
1020,200.49458948,195.63678948000003,0.0,-4.857799999999962
1080,200.49458948,197.24058948000004,0.0,-3.2539999999999627
1140,200.49458948,193.30038948000004,0.0,-7.194199999999968
1200,200.49458948,195.51798948000004,0.0,-4.976599999999949
1260,200.49458948,194.46858948000005,0.0,-6.025999999999965
1320,200.59811291757578,198.05238948000004,0.0,-2.442199999999964
1380,200.59811291757578,198.67813716000006,0.0,-1.9199757575757124
1440,202.32863312686874,200.27893716000005,0.0,-0.31917575757573413
1500,202.33375588000007,202.35676444000006,0.0,0.02813131313131345
1560,202.33375588000007,202.32395588000006,0.0,-0.009799999999999809
1620,202.33375588000007,202.32855588000007,0.0,-0.005199999999999871
1680,202.38692504000008,202.32595588000007,0.0,-0.007800000000000029
1740,202.38692504000008,202.39812504000008,0.0,0.011200000000000099
1800,202.38692504000008,202.36452504000007,0.0,-0.022400000000000198
1860,202.38692504000008,202.36972504000008,0.0,-0.017199999999999882
1920,202.38692504000008,202.3717250400001,0.0,-0.015200000000000102
1980,202.38692504000008,202.3229250400001,0.0,-0.06400000000000006
2040,202.40927676000007,202.35092504000008,0.0,-0.03600000000000003
2100,202.42721096000005,202.36767676000008,0.0,-0.04159999999999986
2160,202.42721096000005,202.43421096000006,0.0,0.006999999999999673
2220,202.42721096000005,202.38541096000006,0.0,-0.04180000000000028
2280,202.42721096000005,202.41581096000004,0.0,-0.011400000000000077
2340,202.42721096000005,202.41081096000005,0.0,-0.01639999999999997
2400,202.42721096000005,202.35481096000007,0.0,-0.07240000000000002
2460,202.42721096000005,202.36681096000007,0.0,-0.06040000000000001
2520,202.42721096000005,202.31141096000005,0.0,-0.11580000000000013
2580,202.42721096000005,202.33901096000005,0.0,-0.08820000000000006
2640,202.42721096000005,202.31281096000006,0.0,-0.11440000000000028
2700,202.42721096000005,202.28401096000005,0.0,-0.14320000000000022
2760,202.42721096000005,202.29881096000005,0.0,-0.12840000000000007
2820,202.42721096000005,202.28081096000005,0.0,-0.1464000000000003
2880,202.42670184000005,202.28481096000004,0.0,-0.1424000000000003
2940,202.42670184000005,202.31310184000006,0.0,-0.11359999999999992
3000,202.42670184000005,202.28230184000006,0.0,-0.1443999999999992
3060,202.42670184000005,202.29510184000006,0.0,-0.13159999999999972
3120,202.42670184000005,202.28910184000006,0.0,-0.13759999999999994
3180,202.42670184000005,202.29310184000005,0.0,-0.1335999999999995
3240,202.42670184000005,202.26710184000004,0.0,-0.1595999999999993
3300,202.42670184000005,202.25950184000004,0.0,-0.16719999999999935
3360,202.42670184000005,202.23590184000005,0.0,-0.19079999999999941
3420,202.42570616000006,202.14670184000005,0.0,-0.27999999999999936
3480,202.42570616000006,202.17770616000007,0.0,-0.24799999999999933
3540,202.42570616000006,202.15850616000006,0.0,-0.26720000000000077
3600,202.42570616000006,202.23370616000005,0.0,-0.19200000000000017
3660,202.42570616000006,202.09770616000006,0.0,-0.3279999999999994
3720,202.42570616000006,202.13610616000005,0.0,-0.2896000000000001
3780,202.42570616000006,202.01130616000006,0.0,-0.41440000000000055
3840,202.42109164000007,201.85370616000006,0.0,-0.572000000000001
3900,202.42109164000007,202.28279164000008,0.0,-0.13829999999999476
3960,202.42109164000007,202.39349164000006,0.0,-0.027599999999994962
4020,202.42109164000007,201.71039164000007,0.0,-0.7106999999999977
4080,202.42109164000007,202.23959164000007,0.0,-0.181499999999996
4140,202.42109164000007,201.57539164000008,0.0,-0.8456999999999948
