,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,ADA,0.0,-0.00056152,199.99943848,0.0,199.99943848,1.0,2.0,1.4038,2.0,1.4038,entry_initial_normal_long
1,133,ADA,0.06899999999999995,-0.00057532,200.06786316,0.0,200.06786316,1.0,-2.0,1.4383,0.0,1.4038,close_trailing_long
2,134,ADA,0.0,-0.0005779200000000001,200.06728524,0.0,200.06728524,1.0,2.0,1.4448,2.0,1.4448,entry_initial_normal_long
3,203,ADA,0.04039999999999999,-0.000586,200.10709924,0.0,200.10709924,1.0,-2.0,1.465,0.0,1.4448,close_trailing_long
4,204,ADA,0.0,-0.00058796,200.10651128,0.0,200.10651128,1.0,2.0,1.4699,2.0,1.4699,entry_initial_normal_long
5,488,ADA,0.0,-0.0005696,200.10594168,0.0,200.10594168,1.0,2.0,1.424,4.0,1.44695,entry_trailing_normal_long
6,491,ADA,0.0,-0.0011140800000000001,200.1048276,0.0,200.1048276,1.0,4.0,1.3926,8.0,1.419775,entry_trailing_normal_long
7,493,ADA,0.0,-0.00027128000000000005,200.10455632,0.0,200.10455632,1.0,1.0,1.3564,9.0,1.4127333333333332,entry_trailing_cropped_long
8,496,ADA,0.0,-0.0040464,200.10050992,0.0,200.10050992,1.0,15.0,1.3488,24.0,1.3727749999999999,entry_grid_normal_long
9,497,ADA,0.0,-0.0109429,200.08956702,0.0,200.08956702,1.0,41.0,1.3345,65.0,1.3486323076923077,entry_grid_normal_long
10,501,ADA,0.47240000000000726,-0.017626700000000002,200.54434032,0.0,200.54434032,1.0,-65.0,1.3559,0.0,1.3486323076923077,close_trailing_long
11,503,ADA,0.0,-0.00055404,200.54378628,0.0,200.54378628,1.0,2.0,1.3851,2.0,1.3851,entry_initial_normal_long
12,592,ADA,0.0,-0.0005335200000000001,200.54325276,0.0,200.54325276,1.0,2.0,1.3338,4.0,1.35945,entry_trailing_normal_long
13,594,ADA,0.0,-0.0010536,200.54219916,0.0,200.54219916,1.0,4.0,1.317,8.0,1.338225,entry_trailing_normal_long
14,600,ADA,0.0,-0.00025726,200.54194189999998,0.0,200.54194189999998,1.0,1.0,1.2863,9.0,1.3324555555555555,entry_trailing_cropped_long
15,605,ADA,0.0,-0.00025802,200.54168388,0.0,200.54168388,1.0,1.0,1.2901,10.0,1.32822,entry_trailing_cropped_long
16,607,ADA,0.0,-0.00439314,200.53729074,0.0,200.53729074,1.0,17.0,1.2921,27.0,1.3054777777777777,entry_grid_normal_long
17,666,ADA,0.0,-0.011673880000000001,200.52561686,0.0,200.52561686,1.0,46.0,1.2689,73.0,1.2824287671232875,entry_grid_normal_long
18,892,ADA,0.0,-0.030786720000000004,200.49483014,0.0,200.49483014,1.0,124.0,1.2414,197.0,1.2566035532994924,entry_grid_inflated_long
19,986,ADA,0.0,-0.00024066000000000002,200.49458948,0.0,200.49458948,1.0,1.0,1.2033,198.0,1.2563343434343432,entry_grid_cropped_long
20,1326,ADA,0.04398787878788113,-0.003024,200.5355533587879,0.0,200.5355533587879,1.0,-12.0,1.26,186.0,1.2563343434343432,close_unstuck_long
21,1327,ADA,0.06558787878788142,-0.00302832,200.59811291757578,0.0,200.59811291757578,1.0,-12.0,1.2618,174.0,1.2563343434343432,close_unstuck_long
22,1442,ADA,-0.023212121212119463,-0.0030105600000000002,200.57189023636366,0.0,200.57189023636366,1.0,-12.0,1.2544,162.0,1.2563343434343432,close_unstuck_long
23,1443,ADA,-0.026812121212119067,-0.0030098399999999997,200.54206827515154,0.0,200.54206827515154,1.0,-12.0,1.2541,150.0,1.2563343434343432,close_unstuck_long
24,1444,ADA,0.0007878787878805582,-0.00301536,200.53984079393942,0.0,200.53984079393942,1.0,-12.0,1.2564,138.0,1.2563343434343432,close_unstuck_long
25,1445,ADA,-0.018412121212119992,-0.0030115199999999997,200.5184171527273,0.0,200.5184171527273,1.0,-12.0,1.2548,126.0,1.2563343434343432,close_unstuck_long
26,1446,ADA,0.02958787878788005,-0.00302112,200.54498391151517,0.0,200.54498391151517,1.0,-12.0,1.2588,114.0,1.2563343434343432,close_unstuck_long
27,1447,ADA,0.03318787878788232,-0.0030218400000000005,200.57514995030306,0.0,200.57514995030306,1.0,-12.0,1.2591,102.0,1.2563343434343432,close_unstuck_long
28,1448,ADA,0.03798787878788179,-0.0030228000000000004,200.61011502909093,0.0,200.61011502909093,1.0,-12.0,1.2595,90.0,1.2563343434343432,close_unstuck_long
29,1449,ADA,0.0487878787878806,-0.00302496,200.65587794787882,0.0,200.65587794787882,1.0,-12.0,1.2604,78.0,1.2563343434343432,close_unstuck_long
30,1486,ADA,1.69218989898991,-0.01943472,202.32863312686874,0.0,202.32863312686874,1.0,-76.0,1.2786,2.0,1.2563343434343432,close_trailing_long
31,1536,ADA,0.006131313131313654,-0.00050376,202.33426068000006,0.0,202.33426068000006,1.0,-2.0,1.2594,0.0,1.2563343434343432,close_trailing_long
32,1538,ADA,0.0,-0.0005048,202.33375588000007,0.0,202.33375588000007,1.0,2.0,1.262,2.0,1.262,entry_initial_normal_long
33,1722,ADA,0.054199999999999804,-0.00051564,202.38744024000007,0.0,202.38744024000007,1.0,-2.0,1.2891,0.0,1.262,close_trailing_long
34,1724,ADA,0.0,-0.0005152000000000001,202.38692504000008,0.0,202.38692504000008,1.0,2.0,1.288,2.0,1.288,entry_initial_normal_long
35,2052,ADA,0.023400000000000087,-0.00051988,202.40980516000008,0.0,202.40980516000008,1.0,-2.0,1.2997,0.0,1.288,close_trailing_long
36,2055,ADA,0.0,-0.0005284,202.40927676000007,0.0,202.40927676000007,1.0,2.0,1.321,2.0,1.321,entry_initial_normal_long
37,2157,ADA,0.019000000000000128,-0.0005322,202.42774456000006,0.0,202.42774456000006,1.0,-2.0,1.3305,0.0,1.321,close_trailing_long
38,2158,ADA,0.0,-0.0005336000000000001,202.42721096000005,0.0,202.42721096000005,1.0,2.0,1.334,2.0,1.334,entry_initial_normal_long
39,2895,ADA,0.0,-0.00050912,202.42670184000005,0.0,202.42670184000005,1.0,2.0,1.2728,4.0,1.3034,entry_trailing_normal_long
40,3438,ADA,0.0,-0.00099568,202.42570616000006,0.0,202.42570616000006,1.0,4.0,1.2446,8.0,1.274,entry_trailing_normal_long
41,3856,ADA,0.0,-0.00048488,202.42522128000007,0.0,202.42522128000007,1.0,2.0,1.2122,10.0,1.26164,entry_trailing_cropped_long
42,3857,ADA,0.0,-0.00412964,202.42109164000007,0.0,202.42109164000007,1.0,17.0,1.2146,27.0,1.2320222222222221,entry_grid_normal_long
43,4430,ADA,0.0,-0.01101884,202.41007280000008,0.0,202.41007280000008,1.0,46.0,1.1977,73.0,1.2103945205479452,entry_grid_normal_long
44,4571,ADA,0.0,-0.03235272,202.37772008000007,0.0,202.37772008000007,1.0,138.0,1.1722,211.0,1.1854142180094787,entry_grid_inflated_long
45,4573,ADA,-0.10457061611374296,-0.00282408,202.27032538388633,0.0,202.27032538388633,1.0,-12.0,1.1767,199.0,1.1854142180094787,close_unstuck_long
46,4574,ADA,-0.11057061611374497,-0.0028228800000000003,202.15693188777257,0.0,202.15693188777257,1.0,-12.0,1.1762,187.0,1.1854142180094787,close_unstuck_long
47,4575,ADA,-0.12497061611374338,-0.0028200000000000005,202.02914127165883,0.0,202.02914127165883,1.0,-12.0,1.175,175.0,1.1854142180094787,close_unstuck_long
48,4576,ADA,-0.12737061611374312,-0.0028195200000000003,201.89895113554508,0.0,201.89895113554508,1.0,-12.0,1.1748,163.0,1.1854142180094787,close_unstuck_long
49,4584,ADA,-0.16138483412322202,-0.0030498,201.73451650142187,0.0,201.73451650142187,1.0,-13.0,1.173,150.0,1.1854142180094787,close_unstuck_long
50,4585,ADA,-0.13337061611374512,-0.00281832,201.59832756530813,0.0,201.59832756530813,1.0,-12.0,1.1743,138.0,1.1854142180094787,close_unstuck_long
51,4600,ADA,-0.19518483412322118,-0.0030430400000000003,201.4000996911849,0.0,201.4000996911849,1.0,-13.0,1.1704,125.0,1.1854142180094787,close_unstuck_long
52,4601,ADA,-0.16097061611374475,-0.0028128000000000003,201.23631627507115,0.0,201.23631627507115,1.0,-12.0,1.172,113.0,1.1854142180094787,close_unstuck_long
53,4602,ADA,-0.12497061611374338,-0.0028200000000000005,201.1085256589574,0.0,201.1085256589574,1.0,-12.0,1.175,101.0,1.1854142180094787,close_unstuck_long
54,4605,ADA,-0.14417061611374393,-0.0028161600000000003,200.96153888284366,0.0,200.96153888284366,1.0,-12.0,1.1734,89.0,1.1854142180094787,close_unstuck_long
55,4800,ADA,1.3188625592417047,-0.0192304,202.26117104208535,0.0,202.26117104208535,1.0,-80.0,1.2019,9.0,1.1854142180094787,close_trailing_long
56,4812,ADA,0.09437203791469173,-0.00215262,202.35339046000004,0.0,202.35339046000004,1.0,-9.0,1.1959,0.0,1.1854142180094787,close_trailing_long
57,4814,ADA,0.0,-0.00047964000000000004,202.35291082000003,0.0,202.35291082000003,1.0,2.0,1.1991,2.0,1.1991,entry_initial_normal_long
58,5009,ADA,0.013199999999999878,-0.00048228,202.36562854000005,0.0,202.36562854000005,1.0,-2.0,1.2057,0.0,1.1991,close_trailing_long
59,5012,ADA,0.0,-0.00048208,202.36514646000003,0.0,202.36514646000003,1.0,2.0,1.2052,2.0,1.2052,entry_initial_normal_long
60,6480,ADA,0.0,-0.00046532,202.36468114000004,0.0,202.36468114000004,1.0,2.0,1.1633,4.0,1.18425,entry_trailing_normal_long
61,6534,ADA,0.0,-0.0008800000000000001,202.36380114000005,0.0,202.36380114000005,1.0,4.0,1.1,8.0,1.142125,entry_trailing_normal_long
62,6538,ADA,0.0,-0.0006638400000000001,202.36313730000006,0.0,202.36313730000006,1.0,3.0,1.1064,11.0,1.1323818181818184,entry_trailing_cropped_long
63,6541,ADA,0.0,-0.004189120000000001,202.35894818000006,0.0,202.35894818000006,1.0,19.0,1.1024,30.0,1.1133933333333332,entry_grid_normal_long
64,6565,ADA,0.2432000000000012,-0.006729,202.59541918000005,0.0,202.59541918000005,1.0,-30.0,1.1215,0.0,1.1133933333333332,close_trailing_long
65,6566,ADA,0.0,-0.0006705000000000001,202.59474868000004,0.0,202.59474868000004,1.0,3.0,1.1175,3.0,1.1175,entry_initial_normal_long
66,6851,ADA,0.0708000000000002,-0.0006846600000000001,202.66486402000004,0.0,202.66486402000004,1.0,-3.0,1.1411,0.0,1.1175,close_trailing_long
67,6853,ADA,0.0,-0.00068658,202.66417744000003,0.0,202.66417744000003,1.0,3.0,1.1443,3.0,1.1443,entry_initial_normal_long
68,7117,ADA,0.0,-0.0006615600000000001,202.66351588000003,0.0,202.66351588000003,1.0,3.0,1.1026,6.0,1.12345,entry_trailing_normal_long
69,7353,ADA,0.060299999999999354,-0.0013602,202.72245568000002,0.0,202.72245568000002,1.0,-6.0,1.1335,0.0,1.12345,close_trailing_long
70,7355,ADA,0.0,-0.0006813,202.72177438000003,0.0,202.72177438000003,1.0,3.0,1.1355,3.0,1.1355,entry_initial_normal_long
71,7533,ADA,0.07740000000000014,-0.00069678,202.79847760000004,0.0,202.79847760000004,1.0,-3.0,1.1613,0.0,1.1355,close_trailing_long
72,7535,ADA,0.0,-0.00069762,202.79777998000003,0.0,202.79777998000003,1.0,3.0,1.1627,3.0,1.1627,entry_initial_normal_long
