,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,ENA,0.0,-0.0018000000000000002,199.9982,0.0,199.9982,1.0,8.0,1.125,8.0,1.125,entry_initial_normal_long
1,5,ENA,0.0,-0.0033039000000000002,199.9948961,0.0,199.9948961,1.0,15.0,1.1013,23.0,1.1095434782608695,entry_grid_normal_long
2,9,ENA,0.05428260869565271,-0.0011204000000000001,200.04805830869566,0.0,200.04805830869566,1.0,-5.0,1.1204,18.0,1.1095434782608695,close_grid_long
3,26,ENA,0.746217391304349,-0.0041436,200.7901321,0.0,200.7901321,1.0,-18.0,1.151,0.0,1.1095434782608695,close_trailing_long
4,40,ENA,0.0,-0.0018112,200.7883209,0.0,200.7883209,1.0,8.0,1.132,8.0,1.132,entry_initial_normal_long
5,46,ENA,-0.08799999999999919,-0.0017936,200.6985273,0.0,200.6985273,1.0,-8.0,1.121,0.0,1.132,close_trailing_long
6,47,ENA,0.0,-0.0017920000000000002,200.6967353,0.0,200.6967353,1.0,8.0,1.12,8.0,1.12,entry_initial_normal_long
7,53,ENA,-0.08800000000000097,-0.0017744,200.6069609,0.0,200.6069609,1.0,-8.0,1.109,0.0,1.12,close_trailing_long
8,54,ENA,0.0,-0.0017712000000000001,200.60518969999998,0.0,200.60518969999998,1.0,8.0,1.107,8.0,1.107,entry_initial_normal_long
9,77,ENA,0.0,-0.0017712000000000001,200.60341849999998,0.0,200.60341849999998,1.0,-8.0,1.107,0.0,1.107,close_trailing_long
10,78,ENA,0.0,-0.0017536000000000001,200.60166489999997,0.0,200.60166489999997,1.0,8.0,1.096,8.0,1.096,entry_initial_normal_long
11,81,ENA,0.0,-0.0032187,200.59844619999998,0.0,200.59844619999998,1.0,15.0,1.0729,23.0,1.0809347826086957,entry_grid_normal_long
12,91,ENA,-0.20549999999999935,-0.004931200000000001,200.388015,0.0,200.388015,1.0,-23.0,1.072,0.0,1.0809347826086957,close_trailing_long
13,92,ENA,0.0,-0.0017376000000000002,200.38627739999998,0.0,200.38627739999998,1.0,8.0,1.086,8.0,1.086,entry_initial_normal_long
