,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,ENA,0.0,-0.00045072000000000005,199.99954928,0.0,199.99954928,1.0,2.0,1.1268,2.0,1.1268,entry_initial_normal_long
1,32,ENA,0.034399999999999764,-0.0004576,200.03349168,0.0,200.03349168,1.0,-2.0,1.144,0.0,1.1268,close_trailing_long
2,40,ENA,0.0,-0.00045244,200.03303924,0.0,200.03303924,1.0,2.0,1.1311,2.0,1.1311,entry_initial_normal_long
3,52,ENA,0.0,-0.00088608,200.03215316,0.0,200.03215316,1.0,4.0,1.1076,6.0,1.1154333333333333,entry_grid_normal_long
4,77,ENA,0.0,-0.0026208000000000004,200.02953236000002,0.0,200.02953236000002,1.0,12.0,1.092,18.0,1.099811111111111,entry_grid_normal_long
5,81,ENA,0.0,-0.0075313,200.02200106,0.0,200.02200106,1.0,35.0,1.0759,53.0,1.0840207547169811,entry_grid_normal_long
6,101,ENA,0.5510452830188726,-0.0100832,200.5629631430189,0.0,200.5629631430189,1.0,-46.0,1.096,7.0,1.0840207547169811,close_grid_long
7,114,ENA,0.07545471698113215,-0.00153272,200.63688514000003,0.0,200.63688514000003,1.0,-7.0,1.0948,0.0,1.0840207547169811,close_trailing_long
8,115,ENA,0.0,-0.00043696,200.63644818000003,0.0,200.63644818000003,1.0,2.0,1.0924,2.0,1.0924,entry_initial_normal_long
9,122,ENA,0.0,-0.0008557600000000001,200.63559242000002,0.0,200.63559242000002,1.0,4.0,1.0697,6.0,1.0772666666666666,entry_grid_normal_long
10,136,ENA,0.032600000000000406,-0.0012992400000000001,200.66689318000002,0.0,200.66689318000002,1.0,-6.0,1.0827,0.0,1.0772666666666666,close_trailing_long
11,137,ENA,0.0,-0.00043212000000000003,200.66646106000002,0.0,200.66646106000002,1.0,2.0,1.0803,2.0,1.0803,entry_initial_normal_long
12,140,ENA,0.0,-0.0008463200000000001,200.66561474000002,0.0,200.66561474000002,1.0,4.0,1.0579,6.0,1.0653666666666668,entry_grid_normal_long
13,143,ENA,0.0,-0.0025031999999999997,200.66311154000002,0.0,200.66311154000002,1.0,12.0,1.043,18.0,1.0504555555555555,entry_grid_normal_long
14,147,ENA,0.0,-0.007193900000000001,200.65591764,0.0,200.65591764,1.0,35.0,1.0277,53.0,1.0354283018867925,entry_grid_normal_long
