,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4035,ETH,0.0,-0.004777560000000001,199.99522244,0.0,199.99522244,1.0,0.18,132.71,0.18,132.71,entry_initial_normal_long
1,4054,ETH,0.046799999999998364,-0.00478692,200.03723552,0.0,200.03723552,1.0,-0.18,132.97,0.0,132.71,close_trailing_long
2,4055,ETH,0.0,-0.004762116,200.032473404,0.0,200.032473404,1.0,0.179,133.02,0.179,133.02,entry_initial_normal_long
3,4099,ETH,0.07517999999999776,-0.004777152,200.102876252,0.0,200.102876252,1.0,-0.179,133.44,0.0,133.02,close_trailing_long
4,4100,ETH,0.0,-0.004764264,200.098111988,0.0,200.098111988,1.0,0.179,133.08,0.179,133.08,entry_initial_normal_long
5,4151,ETH,0.042959999999996536,-0.004772856,200.136299132,0.0,200.136299132,1.0,-0.179,133.32,0.0,133.08,close_trailing_long
6,4153,ETH,0.0,-0.00477751,200.131521622,0.0,200.131521622,1.0,0.179,133.45,0.179,133.45,entry_initial_normal_long
7,4287,ETH,0.19332000000000224,-0.004816174,200.32002544800002,0.0,200.32002544800002,1.0,-0.179,134.53,0.0,133.45,close_trailing_long
8,4339,ETH,0.0,-0.0047918299999999995,200.31523361800004,0.0,200.31523361800004,1.0,0.179,133.85,0.179,133.85,entry_initial_normal_long
9,5377,ETH,0.06086000000000061,-0.004804002,200.37128961600004,0.0,200.37128961600004,1.0,-0.179,134.19,0.0,133.85,close_trailing_long
10,5444,ETH,0.0,-0.004785352,200.36650426400004,0.0,200.36650426400004,1.0,0.178,134.42,0.178,134.42,entry_initial_normal_long
11,5817,ETH,0.04272000000000162,-0.004793896,200.40443036800005,0.0,200.40443036800005,1.0,-0.178,134.66,0.0,134.42,close_trailing_long
12,5899,ETH,0.0,-0.004792452,200.39963791600005,0.0,200.39963791600005,1.0,0.177,135.38,0.177,135.38,entry_initial_normal_long
13,6003,ETH,0.24956999999999938,-0.004842366,200.64436555000003,0.0,200.64436555000003,1.0,-0.177,136.79,0.0,135.38,close_trailing_long
14,6009,ETH,0.0,-0.004782624,200.63958292600003,0.0,200.63958292600003,1.0,0.176,135.87,0.176,135.87,entry_initial_normal_long
15,6688,ETH,0.1091200000000008,-0.004804448,200.74389847800003,0.0,200.74389847800003,1.0,-0.176,136.49,0.0,135.87,close_trailing_long
16,6771,ETH,0.0,-0.004802,200.73909647800002,0.0,200.73909647800002,1.0,0.175,137.2,0.175,137.2,entry_initial_normal_long
17,6835,ETH,0.08400000000000318,-0.004818800000000001,200.81827767800002,0.0,200.81827767800002,1.0,-0.175,137.68,0.0,137.2,close_trailing_long
18,6841,ETH,0.0,-0.004786044,200.813491634,0.0,200.813491634,1.0,0.174,137.53,0.174,137.53,entry_initial_normal_long
19,7327,ETH,0.09917999999999881,-0.00480588,200.907865754,0.0,200.907865754,1.0,-0.174,138.1,0.0,137.53,close_trailing_long
20,7497,ETH,0.0,-0.004788135999999999,200.903077618,0.0,200.903077618,1.0,0.172,139.19,0.172,139.19,entry_initial_normal_long
21,7737,ETH,0.23048000000000057,-0.004834232,201.128723386,0.0,201.128723386,1.0,-0.172,140.53,0.0,139.19,close_trailing_long
22,7759,ETH,0.0,-0.0048067119999999994,201.123916674,0.0,201.123916674,1.0,0.172,139.73,0.172,139.73,entry_initial_normal_long
23,7804,ETH,0.21328000000000155,-0.004849368,201.33234730599997,0.0,201.33234730599997,1.0,-0.172,140.97,0.0,139.73,close_trailing_long
24,7891,ETH,0.0,-0.004813720000000001,201.327533586,0.0,201.327533586,1.0,0.17,141.58,0.17,141.58,entry_initial_normal_long
25,7978,ETH,0.07989999999999982,-0.004829700000000001,201.40260388599998,0.0,201.40260388599998,1.0,-0.17,142.05,0.0,141.58,close_trailing_long
26,7992,ETH,0.0,-0.004800952000000001,201.39780293399997,0.0,201.39780293399997,1.0,0.169,142.04,0.169,142.04,entry_initial_normal_long
27,8457,ETH,0.04225,-0.004809402,201.43524353199996,0.0,201.43524353199996,1.0,-0.169,142.29,0.0,142.04,close_trailing_long
28,8488,ETH,0.0,-0.00479622,201.43044731199996,0.0,201.43044731199996,1.0,0.169,141.9,0.169,141.9,entry_initial_normal_long
29,8550,ETH,0.06928999999999942,-0.004810078000000001,201.49492723399996,0.0,201.49492723399996,1.0,-0.169,142.31,0.0,141.9,close_trailing_long
30,8597,ETH,0.0,-0.004802112,201.49012512199997,0.0,201.49012512199997,1.0,0.168,142.92,0.168,142.92,entry_initial_normal_long
31,8622,ETH,0.12432000000000154,-0.004826976000000001,201.60961814599997,0.0,201.60961814599997,1.0,-0.168,143.66,0.0,142.92,close_trailing_long
32,8660,ETH,0.0,-0.004804924,201.60481322199996,0.0,201.60481322199996,1.0,0.167,143.86,0.167,143.86,entry_initial_normal_long
33,8673,ETH,0.15697999999999962,-0.004836320000000001,201.75695690199996,0.0,201.75695690199996,1.0,-0.167,144.8,0.0,143.86,close_trailing_long
34,8683,ETH,0.0,-0.004815946000000001,201.75214095599995,0.0,201.75214095599995,1.0,0.167,144.19,0.167,144.19,entry_initial_normal_long
35,9906,ETH,0.055110000000002095,-0.004826968000000001,201.80242398799996,0.0,201.80242398799996,1.0,-0.167,144.52,0.0,144.19,close_trailing_long
36,9916,ETH,0.0,-0.004810268000000001,201.79761371999996,0.0,201.79761371999996,1.0,0.167,144.02,0.167,144.02,entry_initial_normal_long
37,10125,ETH,0.04341999999999848,-0.0048189520000000005,201.83621476799996,0.0,201.83621476799996,1.0,-0.167,144.28,0.0,144.02,close_trailing_long
38,10186,ETH,0.0,-0.004805790000000001,201.83140897799996,0.0,201.83140897799996,1.0,0.165,145.63,0.165,145.63,entry_initial_normal_long
39,13861,ETH,0.0,-0.006529126000000001,201.82487985199995,0.0,201.82487985199995,1.0,0.233,140.11,0.398,142.39844221105528,entry_trailing_normal_long
40,13924,ETH,0.3548399999999943,-0.011405884000000002,202.16831396799995,0.0,202.16831396799995,1.0,-0.398,143.29,0.0,142.39844221105528,close_trailing_long
41,13931,ETH,0.0,-0.0048334860000000006,202.16348048199995,0.0,202.16348048199995,1.0,0.171,141.33,0.171,141.33,entry_initial_normal_long
42,13938,ETH,0.09233999999999865,-0.004851954000000001,202.25096852799996,0.0,202.25096852799996,1.0,-0.171,141.87,0.0,141.33,close_trailing_long
43,13940,ETH,0.0,-0.004837248000000001,202.24613127999996,0.0,202.24613127999996,1.0,0.171,141.44,0.171,141.44,entry_initial_normal_long
44,13956,ETH,0.06497999999999923,-0.004850244,202.30626103599997,0.0,202.30626103599997,1.0,-0.171,141.82,0.0,141.44,close_trailing_long
45,13971,ETH,0.0,-0.0048167800000000005,202.30144425599997,0.0,202.30144425599997,1.0,0.17,141.67,0.17,141.67,entry_initial_normal_long
46,14046,ETH,0.08840000000000174,-0.0048344600000000005,202.38500979599996,0.0,202.38500979599996,1.0,-0.17,142.19,0.0,141.67,close_trailing_long
47,14092,ETH,0.0,-0.004830696,202.38017909999996,0.0,202.38017909999996,1.0,0.169,142.92,0.169,142.92,entry_initial_normal_long
