,balance,equity,balance_btc,equity_btc
0,200.04794916,200.0,0.0,0.0
60,200.04794916,200.0,0.0,0.0
120,200.04794916,200.0,0.0,0.0
180,200.04794916,200.0,0.0,0.0
240,200.04794916,200.0,0.0,0.0
300,200.04794916,200.0,0.0,0.0
360,200.04794916,200.0,0.0,0.0
420,200.04794916,200.0,0.0,0.0
480,200.04794916,200.0,0.0,0.0
540,200.04794916,200.0,0.0,0.0
600,200.04794916,200.0,0.0,0.0
660,200.04794916,200.0,0.0,0.0
720,200.04794916,200.0,0.0,0.0
780,200.04794916,200.0,0.0,0.0
840,200.04794916,200.0,0.0,0.0
900,200.04794916,200.0,0.0,0.0
960,200.04794916,200.0,0.0,0.0
1020,200.04794916,200.0,0.0,0.0
1080,200.04794916,200.0,0.0,0.0
1140,200.04794916,200.0,0.0,0.0
1200,200.04794916,200.0,0.0,0.0
1260,200.04794916,200.0,0.0,0.0
1320,200.04794916,200.0,0.0,0.0
1380,200.04794916,200.0,0.0,0.0
1440,200.04794916,200.0,0.0,0.0
1500,200.04794916,200.0,0.0,0.0
1560,200.04794916,200.0,0.0,0.0
1620,200.04794916,200.0,0.0,0.0
1680,200.04794916,200.0,0.0,0.0
1740,200.04794916,200.0,0.0,0.0
1800,200.04794916,200.0,0.0,0.0
1860,200.04794916,200.0,0.0,0.0
1920,200.04794916,200.0,0.0,0.0
1980,200.04794916,200.0,0.0,0.0
2040,200.04794916,200.0,0.0,0.0
2100,200.04794916,200.0,0.0,0.0
2160,200.04794916,200.0,0.0,0.0
2220,200.04794916,200.0,0.0,0.0
2280,200.04794916,200.0,0.0,0.0
2340,200.04794916,200.0,0.0,0.0
2400,200.04794916,200.0,0.0,0.0
2460,200.04794916,200.0,0.0,0.0
2520,200.04794916,200.0,0.0,0.0
2580,200.04794916,200.0,0.0,0.0
2640,200.04794916,200.0,0.0,0.0
2700,200.04794916,200.0,0.0,0.0
2760,200.04794916,200.0,0.0,0.0
2820,200.04794916,200.0,0.0,0.0
2880,200.04794916,200.0,0.0,0.0
2940,200.04794916,200.0,0.0,0.0
3000,200.04794916,200.0,0.0,0.0
3060,200.04794916,200.0,0.0,0.0
3120,200.04794916,200.0,0.0,0.0
3180,200.04794916,200.0,0.0,0.0
3240,200.04794916,200.0,0.0,0.0
3300,200.04794916,200.0,0.0,0.0
3360,200.04794916,200.0,0.0,0.0
3420,200.04794916,200.0,0.0,0.0
3480,200.04794916,200.0,0.0,0.0
3540,200.04794916,200.0,0.0,0.0
3600,200.04794916,200.0,0.0,0.0
3660,200.04794916,200.0,0.0,0.0
3720,200.04794916,200.0,0.0,0.0
3780,200.04794916,200.0,0.0,0.0
3840,200.04794916,200.0,0.0,0.0
3900,200.04794916,200.0,0.0,0.0
3960,200.04794916,200.0,0.0,0.0
4020,200.04794916,200.0,0.0,0.0
4080,200.14549029600002,200.14104916,0.0,0.09309999999999849
4140,200.19516482200004,200.259870296,0.0,0.11437999999999426
4200,200.19516482200004,199.99906482200004,0.0,-0.1960999999999949
4260,200.47423473200004,200.06001482200003,0.0,-0.1351499999999976
4320,200.46714068200004,200.47423473200004,0.0,0.0
4380,200.46714068200004,200.36114068200004,0.0,-0.10600000000000151
4440,200.46714068200004,200.22599068200003,0.0,-0.24114999999999912
4500,200.46714068200004,200.31874068200003,0.0,-0.14840000000000061
4560,200.46714068200004,200.28694068200002,0.0,-0.1802000000000018
4620,200.46714068200004,200.38499068200002,0.0,-0.08215000000000061
4680,200.46714068200004,200.40089068200004,0.0,-0.06625
4740,200.46714068200004,200.47774068200005,0.0,0.010599999999997892
4800,200.46714068200004,200.44064068200004,0.0,-0.026499999999998494
4860,200.46714068200004,200.34789068200004,0.0,-0.119249999999997
4920,200.46714068200004,200.51484068200003,0.0,0.04770000000000181
4980,200.46714068200004,200.35319068200005,0.0,-0.11395000000000181
5040,200.46714068200004,200.42739068200004,0.0,-0.039750000000001506
5100,200.46714068200004,200.11999068200004,0.0,-0.3471500000000006
5160,200.46714068200004,200.19419068200003,0.0,-0.2729500000000003
5220,200.46714068200004,200.23659068200004,0.0,-0.23055000000000123
5280,200.46714068200004,200.29224068200003,0.0,-0.1748999999999991
5340,200.55012861200004,200.28959068200004,0.0,-0.17754999999999668
5400,200.54303123600005,200.55012861200004,0.0,0.0
5460,200.54303123600005,200.24999123600006,0.0,-0.29303999999999614
5520,200.54303123600005,200.35295123600005,0.0,-0.19007999999999972
5580,200.54303123600005,200.44007123600005,0.0,-0.1029599999999964
