,balance,equity,balance_btc,equity_btc
0,199.992726998,200.0,0.0,0.0
60,199.992726998,200.0,0.0,0.0
120,199.992726998,199.77903699799998,0.0,-0.2136899999999997
180,199.992726998,199.506686998,0.0,-0.4860400000000023
240,199.992726998,199.682666998,0.0,-0.3100599999999984
300,199.992726998,199.908926998,0.0,-0.08380000000000007
360,199.992726998,199.091876998,0.0,-0.9008499999999985
420,199.992726998,199.075116998,0.0,-0.9176100000000013
480,199.992726998,198.731536998,0.0,-1.2611900000000007
540,199.992726998,199.00388699799998,0.0,-0.988839999999998
600,199.992726998,198.685446998,0.0,-1.3072800000000002
660,199.992726998,198.580696998,0.0,-1.412029999999998
720,199.992726998,197.973146998,0.0,-2.019580000000001
780,200.986663714,198.752486998,0.0,-1.2402399999999982
840,200.986663714,200.986663714,0.0,0.0
900,200.986663714,200.986663714,0.0,0.0
960,200.986663714,200.986663714,0.0,0.0
1020,200.986663714,200.986663714,0.0,0.0
1080,200.986663714,200.986663714,0.0,0.0
1140,200.986663714,200.986663714,0.0,0.0
1200,200.986663714,200.986663714,0.0,0.0
1260,200.986663714,200.986663714,0.0,0.0
1320,200.986663714,200.986663714,0.0,0.0
1380,200.979353334,200.986663714,0.0,0.0
1440,201.97669198399998,200.625153334,0.0,-0.35419999999999946
1500,201.97669198399998,201.97669198399998,0.0,0.0
1560,201.97669198399998,201.97669198399998,0.0,0.0
1620,201.97669198399998,201.97669198399998,0.0,0.0
1680,201.97669198399998,201.97669198399998,0.0,0.0
1740,201.97669198399998,201.97669198399998,0.0,0.0
1800,201.97669198399998,201.97669198399998,0.0,0.0
1860,201.97669198399998,201.97669198399998,0.0,0.0
1920,201.97669198399998,201.97669198399998,0.0,0.0
1980,201.9693447,201.97669198399998,0.0,0.0
2040,201.9693447,201.73561469999999,0.0,-0.233729999999999
2100,201.9693447,201.48704469999998,0.0,-0.48230000000000045
2160,201.9693447,201.8691747,0.0,-0.1001699999999972
2220,201.9693447,201.8840147,0.0,-0.08532999999999884
