,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,70,FARTCOIN,0.0,-0.007273002,199.992726998,0.0,199.992726998,1.0,41.9,0.8679,41.9,0.8679,entry_initial_normal_long
1,816,FARTCOIN,1.0014100000000012,-0.007473284,200.986663714,0.0,200.986663714,1.0,-41.9,0.8918,0.0,0.8679,close_grid_long
2,1398,FARTCOIN,0.0,-0.007310380000000001,200.979353334,0.0,200.979353334,1.0,38.5,0.9494,38.5,0.9494,entry_initial_normal_long
3,1478,FARTCOIN,1.0048500000000005,-0.007511350000000001,201.97669198399998,0.0,201.97669198399998,1.0,-38.5,0.9755,0.0,0.9494,close_grid_long
4,1985,FARTCOIN,0.0,-0.007347284000000001,201.9693447,0.0,201.9693447,1.0,37.1,0.9902,37.1,0.9902,entry_initial_normal_long
5,2730,FARTCOIN,1.0091200000000042,-0.007549108000000001,202.970915592,0.0,202.970915592,1.0,-37.1,1.0174,0.0,0.9902,close_grid_long
6,3959,FARTCOIN,0.0,-0.007380184000000001,202.963535408,0.0,202.963535408,1.0,28.1,1.3132,28.1,1.3132,entry_initial_normal_long
7,4039,FARTCOIN,1.0144100000000007,-0.007583065999999999,203.97036234200002,0.0,203.97036234200002,1.0,-28.1,1.3493,0.0,1.3132,close_grid_long
8,4191,FARTCOIN,0.0,-0.007408566000000001,203.962953776,0.0,203.962953776,1.0,27.9,1.3277,27.9,1.3277,entry_initial_normal_long
9,4312,FARTCOIN,1.0183499999999992,-0.0076122360000000005,204.97369154,0.0,204.97369154,1.0,-27.9,1.3642,0.0,1.3277,close_grid_long
10,4388,FARTCOIN,0.0,-0.007457271999999999,204.966234268,0.0,204.966234268,1.0,28.4,1.3129,28.4,1.3129,entry_initial_normal_long
11,4473,FARTCOIN,1.0252400000000006,-0.00766232,205.98381194799998,0.0,205.98381194799998,1.0,-28.4,1.349,0.0,1.3129,close_grid_long
12,4735,FARTCOIN,0.0,-0.00749476,205.976317188,0.0,205.976317188,1.0,28.4,1.3195,28.4,1.3195,entry_initial_normal_long
13,4846,FARTCOIN,1.0309199999999998,-0.007700943999999999,206.99953624399998,0.0,206.99953624399998,1.0,-28.4,1.3558,0.0,1.3195,close_grid_long
14,5810,FARTCOIN,0.0,-0.007528052,206.992008192,0.0,206.992008192,1.0,25.4,1.4819,25.4,1.4819,entry_initial_normal_long
15,7522,FARTCOIN,0.0,-0.0669464,206.92506179199998,0.0,206.92506179199998,1.0,249.8,1.34,275.2,1.3530968750000003,entry_grid_normal_long
16,8848,FARTCOIN,0.26084093749994935,-0.050360310000000005,207.13554241949993,0.0,207.13554241949993,1.0,-185.9,1.3545,89.3,1.3530968750000003,close_trailing_long
17,8852,FARTCOIN,3.2954490624999635,-0.024825399999999997,210.40616608199988,0.0,210.40616608199988,1.0,-89.3,1.39,0.0,1.3530968750000003,close_grid_long
18,9178,FARTCOIN,0.0,-0.007650984,210.39851509799988,0.0,210.39851509799988,1.0,29.2,1.3101,29.2,1.3101,entry_initial_normal_long
19,9535,FARTCOIN,1.0512000000000008,-0.007861224,211.4418538739999,0.0,211.4418538739999,1.0,-29.2,1.3461,0.0,1.3101,close_grid_long
20,9700,FARTCOIN,0.0,-0.007697456,211.4341564179999,0.0,211.4341564179999,1.0,29.9,1.2872,29.9,1.2872,entry_initial_normal_long
21,9944,FARTCOIN,0.0,-0.06843732000000001,211.36571909799991,0.0,211.36571909799991,1.0,294.0,1.1639,323.9,1.1752821241123803,entry_grid_normal_long
