,balance,equity,balance_btc,equity_btc
0,199.99203797,200.0,0.0,0.0
60,199.99203797,200.0,0.0,0.0
120,199.99203797,199.99203797,0.0,0.0
180,199.99203797,199.99203797,0.0,0.0
240,199.99203797,199.99203797,0.0,0.0
300,199.96388836000003,199.99203797,0.0,0.0
360,199.96388836000003,199.96388836000003,0.0,0.0
420,199.96388836000003,199.96388836000003,0.0,0.0
480,199.96388836000003,199.96388836000003,0.0,0.0
540,199.96388836000003,199.96388836000003,0.0,0.0
600,199.96388836000003,199.96388836000003,0.0,0.0
660,200.26559356000004,199.96388836000003,0.0,0.0
720,200.26559356000004,200.26559356000004,0.0,0.0
780,200.26559356000004,200.26559356000004,0.0,0.0
840,200.26559356000004,200.26559356000004,0.0,0.0
900,200.26559356000004,200.26559356000004,0.0,0.0
960,200.26559356000004,200.26559356000004,0.0,0.0
1020,200.26559356000004,200.26559356000004,0.0,0.0
1080,200.26559356000004,200.26559356000004,0.0,0.0
1140,200.26559356000004,200.26559356000004,0.0,0.0
1200,200.26559356000004,200.26559356000004,0.0,0.0
1260,200.26559356000004,200.26559356000004,0.0,0.0
1320,200.26559356000004,200.26559356000004,0.0,0.0
1380,200.25429796000006,200.26559356000004,0.0,0.0
1440,200.25429796000006,200.25429796000006,0.0,0.0
1500,200.25429796000006,200.25429796000006,0.0,0.0
1560,200.25429796000006,200.25429796000006,0.0,0.0
1620,200.25429796000006,200.25429796000006,0.0,0.0
1680,200.25429796000006,200.25429796000006,0.0,0.0
1740,200.25429796000006,200.25429796000006,0.0,0.0
1800,200.25429796000006,200.25429796000006,0.0,0.0
1860,200.25429796000006,200.25429796000006,0.0,0.0
1920,200.25429796000006,200.25429796000006,0.0,0.0
1980,200.25429796000006,200.25429796000006,0.0,0.0
2040,200.25429796000006,200.25429796000006,0.0,0.0
2100,200.25429796000006,200.25429796000006,0.0,0.0
2160,200.25429796000006,200.25429796000006,0.0,0.0
2220,200.36096288000005,200.25429796000006,0.0,0.0
2280,200.36096288000005,200.36096288000005,0.0,0.0
2340,200.36096288000005,200.36096288000005,0.0,0.0
2400,200.36096288000005,200.36096288000005,0.0,0.0
2460,200.36096288000005,200.36096288000005,0.0,0.0
2520,200.36096288000005,200.36096288000005,0.0,0.0
2580,200.36096288000005,200.36096288000005,0.0,0.0
2640,200.36096288000005,200.36096288000005,0.0,0.0
2700,200.36096288000005,200.36096288000005,0.0,0.0
2760,200.36096288000005,200.36096288000005,0.0,0.0
2820,200.36096288000005,200.36096288000005,0.0,0.0
2880,200.36096288000005,200.36096288000005,0.0,0.0
2940,200.36096288000005,200.36096288000005,0.0,0.0
3000,200.36096288000005,200.36096288000005,0.0,0.0
3060,200.36096288000005,200.36096288000005,0.0,0.0
3120,200.36096288000005,200.36096288000005,0.0,0.0
3180,200.36096288000005,200.36096288000005,0.0,0.0
3240,200.36096288000005,200.36096288000005,0.0,0.0
3300,200.36096288000005,200.36096288000005,0.0,0.0
3360,200.36096288000005,200.36096288000005,0.0,0.0
3420,200.36096288000005,200.36096288000005,0.0,0.0
3480,200.36096288000005,200.36096288000005,0.0,0.0
3540,200.36096288000005,200.36096288000005,0.0,0.0
3600,200.36096288000005,200.36096288000005,0.0,0.0
3660,200.36096288000005,200.36096288000005,0.0,0.0
3720,200.36096288000005,200.36096288000005,0.0,0.0
3780,200.36096288000005,200.36096288000005,0.0,0.0
3840,200.36096288000005,200.36096288000005,0.0,0.0
3900,200.36096288000005,200.36096288000005,0.0,0.0
3960,200.36096288000005,200.36096288000005,0.0,0.0
