,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,83,FARTCOIN,0.0,-0.005645682,199.994354318,0.0,199.994354318,1.0,33.3,0.8477,33.3,0.8477,entry_initial_normal_long
1,97,FARTCOIN,0.003329999999999633,-0.005646348,199.99203797,0.0,199.99203797,1.0,-33.3,0.8478,0.0,0.8477,close_trailing_long
2,313,FARTCOIN,0.0,-0.00565149,199.98638648000002,0.0,199.98638648000002,1.0,33.7,0.8385,33.7,0.8385,entry_initial_normal_long
3,318,FARTCOIN,-0.016850000000001888,-0.00564812,199.96388836000003,0.0,199.96388836000003,1.0,-33.7,0.838,0.0,0.8385,close_trailing_long
4,693,FARTCOIN,0.0,-0.005636096,199.95825226400004,0.0,199.95825226400004,1.0,34.4,0.8192,34.4,0.8192,entry_initial_normal_long
5,711,FARTCOIN,0.3130399999999999,-0.005698704000000001,200.26559356000004,0.0,200.26559356000004,1.0,-34.4,0.8283,0.0,0.8192,close_trailing_long
6,1398,FARTCOIN,0.0,-0.0056478000000000006,200.25994576000005,0.0,200.25994576000005,1.0,30.0,0.9413,30.0,0.9413,entry_initial_normal_long
7,1401,FARTCOIN,0.0,-0.0056478000000000006,200.25429796000006,0.0,200.25429796000006,1.0,-30.0,0.9413,0.0,0.9413,close_trailing_long
8,2237,FARTCOIN,0.0,-0.00565574,200.24864222000005,0.0,200.24864222000005,1.0,29.5,0.9586,29.5,0.9586,entry_initial_normal_long
9,2267,FARTCOIN,0.1180000000000001,-0.00567934,200.36096288000005,0.0,200.36096288000005,1.0,-29.5,0.9626,0.0,0.9586,close_trailing_long
10,4210,FARTCOIN,0.0,-0.00565923,200.35530365000005,0.0,200.35530365000005,1.0,21.5,1.3161,21.5,1.3161,entry_initial_normal_long
11,4233,FARTCOIN,0.0,-0.035225440000000004,200.32007821000005,0.0,200.32007821000005,1.0,137.0,1.2856,158.5,1.2897372239747635,entry_grid_normal_long
12,4244,FARTCOIN,-0.1327000000000308,-0.04085813,200.14652008000002,0.0,200.14652008000002,1.0,-158.5,1.2889,0.0,1.2897372239747635,close_trailing_long
13,4735,FARTCOIN,0.0,-0.005639328,200.14088075200002,0.0,200.14088075200002,1.0,21.4,1.3176,21.4,1.3176,entry_initial_normal_long
14,4759,FARTCOIN,-0.01926000000000263,-0.005635476,200.115985276,0.0,200.115985276,1.0,-21.4,1.3167,0.0,1.3176,close_trailing_long
15,6726,FARTCOIN,0.0,-0.005650512000000001,200.11033476400002,0.0,200.11033476400002,1.0,20.1,1.4056,20.1,1.4056,entry_initial_normal_long
16,6729,FARTCOIN,0.008039999999999116,-0.00565212,200.112722644,0.0,200.112722644,1.0,-20.1,1.406,0.0,1.4056,close_trailing_long
17,9353,FARTCOIN,0.0,-0.005655932,200.107066712,0.0,200.107066712,1.0,22.7,1.2458,22.7,1.2458,entry_initial_normal_long
18,9356,FARTCOIN,0.04086000000000054,-0.005664104,200.142262608,0.0,200.142262608,1.0,-22.7,1.2476,0.0,1.2458,close_trailing_long
19,9941,FARTCOIN,0.0,-0.005659164,200.136603444,0.0,200.136603444,1.0,23.8,1.1889,23.8,1.1889,entry_initial_normal_long
20,9945,FARTCOIN,0.0,-0.035210616,200.101392828,0.0,200.101392828,1.0,151.6,1.1613,175.4,1.1650450399087797,entry_grid_normal_long
21,9948,FARTCOIN,0.13242000000002743,-0.040896264,200.19291656400003,0.0,200.19291656400003,1.0,-175.4,1.1658,0.0,1.1650450399087797,close_trailing_long
22,9949,FARTCOIN,0.0,-0.005654124000000001,200.18726244000004,0.0,200.18726244000004,1.0,24.3,1.1634,24.3,1.1634,entry_initial_normal_long
23,9982,FARTCOIN,0.0,-0.03518294400000001,200.15207949600003,0.0,200.15207949600003,1.0,154.8,1.1364,179.1,1.1400633165829148,entry_grid_normal_long
24,9986,FARTCOIN,1.2602699999999571,-0.041089122,201.37126037399997,0.0,201.37126037399997,1.0,-179.1,1.1471,0.0,1.1400633165829148,close_trailing_long
25,10984,FARTCOIN,0.0,-0.005676728,201.36558364599998,0.0,201.36558364599998,1.0,23.9,1.1876,23.9,1.1876,entry_initial_normal_long
26,10986,FARTCOIN,-0.019119999999997892,-0.005672904,201.34079074199997,0.0,201.34079074199997,1.0,-23.9,1.1868,0.0,1.1876,close_trailing_long
27,10987,FARTCOIN,0.0,-0.005691456000000001,201.33509928599997,0.0,201.33509928599997,1.0,24.1,1.1808,24.1,1.1808,entry_initial_normal_long
28,10995,FARTCOIN,0.0,-0.035432448,201.29966683799998,0.0,201.29966683799998,1.0,153.6,1.1534,177.7,1.1571160382667416,entry_grid_normal_long
29,10997,FARTCOIN,4.261950000000026,-0.041976294000000004,205.519640544,0.0,205.519640544,1.0,-177.7,1.1811,0.0,1.1571160382667416,close_trailing_long
30,11022,FARTCOIN,0.0,-0.005791968000000001,205.513848576,0.0,205.513848576,1.0,25.2,1.1492,25.2,1.1492,entry_initial_normal_long
31,11025,FARTCOIN,0.2620799999999991,-0.005844383999999999,205.77008419199998,0.0,205.77008419199998,1.0,-25.2,1.1596,0.0,1.1492,close_trailing_long
32,11222,FARTCOIN,0.0,-0.0058133920000000006,205.7642708,0.0,205.7642708,1.0,24.7,1.1768,24.7,1.1768,entry_initial_normal_long
33,11225,FARTCOIN,-0.019760000000003306,-0.00580944,205.73870136,0.0,205.73870136,1.0,-24.7,1.176,0.0,1.1768,close_trailing_long
34,11364,FARTCOIN,0.0,-0.005811712,205.732889648,0.0,205.732889648,1.0,25.6,1.1351,25.6,1.1351,entry_initial_normal_long
35,11371,FARTCOIN,-0.020479999999997747,-0.0058076160000000016,205.706602032,0.0,205.706602032,1.0,-25.6,1.1343,0.0,1.1351,close_trailing_long
36,11433,FARTCOIN,0.0,-0.005798098000000001,205.700803934,0.0,205.700803934,1.0,26.3,1.1023,26.3,1.1023,entry_initial_normal_long
37,11449,FARTCOIN,0.0,-0.036094336,205.664709598,0.0,205.664709598,1.0,167.6,1.0768,193.9,1.0802587416193914,entry_grid_normal_long
38,11522,FARTCOIN,-0.10833999999997108,-0.041870766000000004,205.51449883200004,0.0,205.51449883200004,1.0,-193.9,1.0797,0.0,1.0802587416193914,close_trailing_long
39,11742,FARTCOIN,0.0,-0.005804084,205.50869474800004,0.0,205.50869474800004,1.0,27.8,1.0439,27.8,1.0439,entry_initial_normal_long
40,11746,FARTCOIN,0.06115999999999944,-0.005816316000000001,205.56403843200005,0.0,205.56403843200005,1.0,-27.8,1.0461,0.0,1.0439,close_trailing_long
41,12214,FARTCOIN,0.0,-0.005802160000000001,205.55823627200004,0.0,205.55823627200004,1.0,28.0,1.0361,28.0,1.0361,entry_initial_normal_long
42,12217,FARTCOIN,-0.01959999999999784,-0.0057982400000000005,205.53283803200006,0.0,205.53283803200006,1.0,-28.0,1.0354,0.0,1.0361,close_trailing_long
43,12218,FARTCOIN,0.0,-0.00580356,205.52703447200005,0.0,205.52703447200005,1.0,28.2,1.029,28.2,1.029,entry_initial_normal_long
44,12225,FARTCOIN,0.06768000000000507,-0.005817096000000001,205.58889737600006,0.0,205.58889737600006,1.0,-28.2,1.0314,0.0,1.029,close_trailing_long
45,12272,FARTCOIN,0.0,-0.0058058,205.58309157600007,0.0,205.58309157600007,1.0,29.0,1.001,29.0,1.001,entry_initial_normal_long
46,12275,FARTCOIN,0.0,-0.036139488000000004,205.54695208800007,0.0,205.54695208800007,1.0,184.8,0.9778,213.8,0.9809468662301216,entry_grid_normal_long
47,12277,FARTCOIN,0.0,-0.13375089,205.41320119800008,0.0,205.41320119800008,1.0,699.9,0.9555,913.7,0.9614544051658094,entry_grid_cropped_long
48,12279,FARTCOIN,4.807018181022205,-0.0508032,210.16941617902228,0.0,210.16941617902228,1.0,-259.2,0.98,654.5,0.9614544051658094,close_trailing_long
49,12282,FARTCOIN,4.361371750027351,-0.051867816,214.47892011304964,0.0,214.47892011304964,1.0,-265.2,0.9779,389.3,0.9614544051658094,close_trailing_long
50,12284,FARTCOIN,2.7183379621319905,-0.052577580000000006,217.14468049518163,0.0,217.14468049518163,1.0,-270.6,0.9715,118.7,0.9614544051658094,close_trailing_long
51,12286,FARTCOIN,0.18346210681842293,-0.02286162,217.30528098200006,0.0,217.30528098200006,1.0,-118.7,0.963,0.0,0.9614544051658094,close_trailing_long
52,12287,FARTCOIN,0.0,-0.006132948000000001,217.29914803400007,0.0,217.29914803400007,1.0,31.8,0.9643,31.8,0.9643,entry_initial_normal_long
53,12296,FARTCOIN,0.0,-0.038165788,217.26098224600008,0.0,217.26098224600008,1.0,202.6,0.9419,234.4,0.9449389078498291,entry_grid_normal_long
54,12298,FARTCOIN,0.4596800000000397,-0.044390672000000006,217.6762715740001,0.0,217.6762715740001,1.0,-234.4,0.9469,0.0,0.9449389078498291,close_trailing_long
55,12498,FARTCOIN,0.0,-0.00613492,217.67013665400012,0.0,217.67013665400012,1.0,29.2,1.0505,29.2,1.0505,entry_initial_normal_long
56,12504,FARTCOIN,0.39712000000000164,-0.006214344,218.06104231000012,0.0,218.06104231000012,1.0,-29.2,1.0641,0.0,1.0505,close_trailing_long
57,12511,FARTCOIN,0.0,-0.00615976,218.05488255000012,0.0,218.05488255000012,1.0,29.6,1.0405,29.6,1.0405,entry_initial_normal_long
58,12520,FARTCOIN,0.0,-0.038338608,218.0165439420001,0.0,218.0165439420001,1.0,188.6,1.0164,218.2,1.0196692942254812,entry_grid_normal_long
59,12530,FARTCOIN,0.0,-0.141863106,217.87468083600012,0.0,217.87468083600012,1.0,714.1,0.9933,932.3,0.9994715971253889,entry_grid_cropped_long
60,12559,FARTCOIN,0.21176569773677834,-0.006838760000000001,218.0796077737369,0.0,218.0796077737369,1.0,-34.0,1.0057,898.3,0.9994715971253889,close_unstuck_long
61,12559,FARTCOIN,0.0,-0.031156586000000007,218.0484511877369,0.0,218.0484511877369,1.0,154.9,1.0057,1053.2,1.0003876430855836,entry_trailing_cropped_long
62,12561,FARTCOIN,-0.2472549221440764,-0.0068332160000000005,217.79436304959282,0.0,217.79436304959282,1.0,-34.4,0.9932,1018.8,1.0003876430855836,close_unstuck_long
63,12562,FARTCOIN,-0.16078615783551609,-0.0068305020000000004,217.6267463897573,0.0,217.6267463897573,1.0,-34.3,0.9957,984.5,1.0003876430855836,close_unstuck_long
64,12563,FARTCOIN,-0.2644549221440745,-0.006829776,217.35546169161321,0.0,217.35546169161321,1.0,-34.4,0.9927,950.1,1.0003876430855836,close_unstuck_long
65,12565,FARTCOIN,-0.29541492214407494,-0.006823584,217.05322318546914,0.0,217.05322318546914,1.0,-34.4,0.9918,915.7,1.0003876430855836,close_unstuck_long
66,12566,FARTCOIN,-0.1432173935269596,-0.006814008,216.90319178394216,0.0,216.90319178394216,1.0,-34.2,0.9962,881.5,1.0003876430855836,close_unstuck_long
67,12567,FARTCOIN,-0.2739761578355188,-0.006807863999999999,216.62240776210663,0.0,216.62240776210663,1.0,-34.3,0.9924,847.2,1.0003876430855836,close_unstuck_long
68,12568,FARTCOIN,-0.14279862921840125,-0.006794084,216.47281504888824,0.0,216.47281504888824,1.0,-34.1,0.9962,813.1,1.0003876430855836,close_unstuck_long
69,12569,FARTCOIN,-0.12574862921839935,-0.006797494,216.34026892566985,0.0,216.34026892566985,1.0,-34.1,0.9967,779.0,1.0003876430855836,close_unstuck_long
70,12570,FARTCOIN,-0.050579864909841676,-0.006792520000000001,216.28289654076,0.0,216.28289654076,1.0,-34.0,0.9989,745.0,1.0003876430855836,close_unstuck_long
71,12571,FARTCOIN,0.14237766370727256,-0.006791095999999999,216.41848310846726,0.0,216.41848310846726,1.0,-33.8,1.0046,711.2,1.0003876430855836,close_unstuck_long
72,12572,FARTCOIN,0.31289519232439283,-0.006785184000000001,216.72459311679165,0.0,216.72459311679165,1.0,-33.6,1.0097,677.6,1.0003876430855836,close_unstuck_long
73,12573,FARTCOIN,0.8974190138671859,-0.006802050000000001,217.61521008065884,0.0,217.61521008065884,1.0,-33.1,1.0275,644.5,1.0003876430855836,close_unstuck_long
74,12575,FARTCOIN,12.169050989714487,-0.055234269999999995,229.72902680037333,0.0,229.72902680037333,1.0,-263.9,1.0465,380.6,1.0003876430855836,close_trailing_long
75,12577,FARTCOIN,13.264802636356425,-0.05839456000000001,242.93543487672974,0.0,242.93543487672974,1.0,-278.6,1.048,102.0,1.0003876430855836,close_trailing_long
76,12579,FARTCOIN,4.652460405270478,-0.021338400000000004,247.5665568820002,0.0,247.5665568820002,1.0,-102.0,1.046,0.0,1.0003876430855836,close_trailing_long
77,13089,FARTCOIN,0.0,-0.006980312000000001,247.55957657000022,0.0,247.55957657000022,1.0,32.6,1.0706,32.6,1.0706,entry_initial_normal_long
78,13091,FARTCOIN,-0.022819999999997488,-0.006975748,247.52978082200022,0.0,247.52978082200022,1.0,-32.6,1.0699,0.0,1.0706,close_trailing_long
79,13092,FARTCOIN,0.0,-0.006983775999999999,247.52279704600022,0.0,247.52279704600022,1.0,32.8,1.0646,32.8,1.0646,entry_initial_normal_long
80,13094,FARTCOIN,0.3247200000000006,-0.0070487200000000005,247.84046832600023,0.0,247.84046832600023,1.0,-32.8,1.0745,0.0,1.0646,close_trailing_long
