,balance,equity,balance_btc,equity_btc
0,199.995494184,200.0,0.0,0.0
60,199.995494184,200.0,0.0,0.0
120,199.995494184,200.0,0.0,0.0
180,199.995494184,200.0,0.0,0.0
240,199.995494184,200.0,0.0,0.0
300,199.855695432,200.053294184,0.0,0.057800000000001184
360,199.855695432,199.855695432,0.0,0.0
420,199.855695432,199.855695432,0.0,0.0
480,199.855695432,199.855695432,0.0,0.0
540,199.855695432,199.855695432,0.0,0.0
600,199.855695432,199.855695432,0.0,0.0
660,199.855695432,199.855695432,0.0,0.0
720,199.855695432,199.855695432,0.0,0.0
780,199.855695432,199.855695432,0.0,0.0
840,199.855695432,199.855695432,0.0,0.0
900,199.855695432,199.855695432,0.0,0.0
960,199.855695432,199.855695432,0.0,0.0
1020,199.855695432,199.855695432,0.0,0.0
1080,200.165386752,199.855695432,0.0,0.0
1140,200.165386752,200.165386752,0.0,0.0
1200,200.03003041199997,200.165386752,0.0,0.0
1260,200.03003041199997,200.00273041199998,0.0,-0.027300000000000102
1320,200.03003041199997,200.36743041199998,0.0,0.33739999999999937
1380,200.03003041199997,200.57253041199996,0.0,0.5424999999999985
1440,201.05081549199997,200.84763041199997,0.0,0.8175999999999978
1500,201.05081549199997,201.05081549199997,0.0,0.0
1560,201.05081549199997,201.05081549199997,0.0,0.0
1620,201.05081549199997,201.05081549199997,0.0,0.0
1680,201.05081549199997,201.05081549199997,0.0,0.0
1740,201.05081549199997,201.05081549199997,0.0,0.0
1800,201.19177839999998,201.05081549199997,0.0,0.0
1860,201.19177839999998,201.19177839999998,0.0,0.0
1920,201.19177839999998,201.19177839999998,0.0,0.0
1980,201.19177839999998,201.19177839999998,0.0,0.0
2040,201.19177839999998,201.19177839999998,0.0,0.0
2100,201.19177839999998,201.19177839999998,0.0,0.0
2160,201.19177839999998,201.19177839999998,0.0,0.0
2220,201.31195443,201.19177839999998,0.0,0.0
2280,201.31195443,201.31195443,0.0,0.0
2340,201.31195443,201.31195443,0.0,0.0
2400,201.31195443,201.31195443,0.0,0.0
2460,201.31195443,201.31195443,0.0,0.0
2520,201.31195443,201.31195443,0.0,0.0
2580,201.31195443,201.31195443,0.0,0.0
2640,201.31195443,201.31195443,0.0,0.0
2700,201.31195443,201.31195443,0.0,0.0
2760,201.31195443,201.31195443,0.0,0.0
2820,201.31195443,201.31195443,0.0,0.0
2880,201.31195443,201.31195443,0.0,0.0
2940,201.31195443,201.31195443,0.0,0.0
3000,201.31195443,201.31195443,0.0,0.0
3060,201.31195443,201.31195443,0.0,0.0
3120,201.31195443,201.31195443,0.0,0.0
3180,201.31195443,201.31195443,0.0,0.0
3240,201.31195443,201.31195443,0.0,0.0
3300,201.31195443,201.31195443,0.0,0.0
3360,201.31195443,201.31195443,0.0,0.0
3420,201.307435422,201.31195443,0.0,0.0
3480,201.496677654,201.461115422,0.0,0.15367999999999893
3540,201.496677654,201.496677654,0.0,0.0
3600,201.496677654,201.496677654,0.0,0.0
3660,201.496677654,201.496677654,0.0,0.0
3720,201.496677654,201.496677654,0.0,0.0
3780,201.488976406,201.496677654,0.0,0.0
3840,201.488976406,201.488976406,0.0,0.0
3900,201.488976406,201.488976406,0.0,0.0
3960,201.488976406,201.488976406,0.0,0.0
4020,201.488976406,201.488976406,0.0,0.0
4080,201.488976406,201.488976406,0.0,0.0
4140,201.488976406,201.488976406,0.0,0.0
4200,201.488976406,201.488976406,0.0,0.0
4260,201.488976406,201.488976406,0.0,0.0
4320,201.488976406,201.488976406,0.0,0.0
4380,201.488976406,201.488976406,0.0,0.0
4440,201.488976406,201.488976406,0.0,0.0
4500,201.488976406,201.488976406,0.0,0.0
4560,201.488976406,201.488976406,0.0,0.0
4620,201.488976406,201.488976406,0.0,0.0
4680,201.488976406,201.488976406,0.0,0.0
4740,201.488976406,201.488976406,0.0,0.0
4800,201.488976406,201.488976406,0.0,0.0
4860,201.488976406,201.488976406,0.0,0.0
4920,201.488976406,201.488976406,0.0,0.0
4980,201.488976406,201.488976406,0.0,0.0
5040,201.488976406,201.488976406,0.0,0.0
5100,201.488976406,201.488976406,0.0,0.0
5160,201.488976406,201.488976406,0.0,0.0
5220,201.488976406,201.488976406,0.0,0.0
5280,201.488976406,201.488976406,0.0,0.0
5340,201.488976406,201.488976406,0.0,0.0
5400,201.48443455,201.488976406,0.0,0.0
5460,201.71942477800002,201.56165455000001,0.0,0.07722000000000029
5520,201.71942477800002,201.71942477800002,0.0,0.0
5580,201.71942477800002,201.71942477800002,0.0,0.0
