,balance,equity,balance_btc,equity_btc
0,200.00908570816205,200.0,0.0,0.0
60,200.00908570816205,200.0,0.0,0.0
120,200.00908570816205,200.0,0.0,0.0
180,200.00908570816205,200.0,0.0,0.0
240,202.50388476482226,196.43787351200004,0.0,-3.5712121961619996
300,204.84918920999996,204.87853764599996,0.0,2.374652881177692
360,208.815804798,206.11588310999997,0.0,1.3289000000000044
420,208.815804798,208.815804798,0.0,0.0
480,208.815804798,208.815804798,0.0,0.0
540,208.815804798,208.815804798,0.0,0.0
600,208.815804798,208.815804798,0.0,0.0
660,208.815804798,208.815804798,0.0,0.0
720,209.73191822399997,208.815804798,0.0,0.0
780,210.23770782399993,208.98785822399992,0.0,-0.7440600000000365
840,210.23770782399993,210.23770782399993,0.0,0.0
900,210.17384580199993,210.23770782399993,0.0,0.0
960,210.17384580199993,204.34676580199996,0.0,-5.827079999999975
1020,210.17384580199993,203.89090580199996,0.0,-6.282939999999968
1080,210.17384580199993,206.91345580199996,0.0,-3.2603899999999713
1140,210.17384580199993,204.049465802,0.0,-6.124379999999951
1200,210.17384580199993,203.68279580199996,0.0,-6.4910499999999764
1260,210.17384580199993,198.55932580199996,0.0,-11.61451999999997
1320,210.17384580199993,202.76116580199997,0.0,-7.412679999999976
1380,210.17384580199993,198.39085580199998,0.0,-11.782989999999966
1440,210.17384580199993,199.74852580199996,0.0,-10.42531999999996
1500,210.17384580199993,202.09719580199996,0.0,-8.076649999999978
1560,213.24652634599997,205.67470580199995,0.0,-4.499139999999971
1620,213.24652634599997,213.24652634599997,0.0,0.0
1680,213.24652634599997,213.24652634599997,0.0,0.0
1740,213.24652634599997,213.24652634599997,0.0,0.0
1800,213.24652634599997,213.24652634599997,0.0,0.0
1860,213.24652634599997,213.24652634599997,0.0,0.0
1920,213.24652634599997,213.24652634599997,0.0,0.0
1980,213.24652634599997,213.24652634599997,0.0,0.0
2040,213.24652634599997,213.24652634599997,0.0,0.0
2100,213.24652634599997,213.24652634599997,0.0,0.0
2160,213.24652634599997,213.24652634599997,0.0,0.0
2220,213.24652634599997,213.24652634599997,0.0,0.0
2280,213.24652634599997,213.24652634599997,0.0,0.0
2340,213.24652634599997,213.24652634599997,0.0,0.0
2400,213.24652634599997,213.24652634599997,0.0,0.0
2460,213.24652634599997,213.24652634599997,0.0,0.0
2520,213.24652634599997,213.24652634599997,0.0,0.0
2580,213.24652634599997,213.24652634599997,0.0,0.0
2640,213.24652634599997,213.24652634599997,0.0,0.0
2700,213.24652634599997,213.24652634599997,0.0,0.0
2760,213.24652634599997,213.24652634599997,0.0,0.0
2820,213.18176227399996,213.24652634599997,0.0,0.0
2880,214.61491617673167,214.61116227399998,0.0,1.429400000000006
2940,216.17810178999994,215.71540940599996,0.0,1.1004932292682859
3000,216.17810178999994,216.17810178999994,0.0,0.0
3060,216.17810178999994,216.17810178999994,0.0,0.0
3120,216.17810178999994,216.17810178999994,0.0,0.0
3180,216.17810178999994,216.17810178999994,0.0,0.0
3240,216.17810178999994,216.17810178999994,0.0,0.0
3300,216.17810178999994,216.17810178999994,0.0,0.0
3360,216.17810178999994,216.17810178999994,0.0,0.0
3420,216.17810178999994,216.17810178999994,0.0,0.0
3480,216.17810178999994,216.17810178999994,0.0,0.0
3540,216.17810178999994,216.17810178999994,0.0,0.0
3600,216.17810178999994,216.17810178999994,0.0,0.0
3660,216.17810178999994,216.17810178999994,0.0,0.0
3720,216.17810178999994,216.17810178999994,0.0,0.0
3780,216.17810178999994,216.17810178999994,0.0,0.0
3840,216.17810178999994,216.17810178999994,0.0,0.0
3900,216.17810178999994,216.17810178999994,0.0,0.0
3960,216.17810178999994,216.17810178999994,0.0,0.0
4020,216.17810178999994,216.17810178999994,0.0,0.0
4080,216.17810178999994,216.17810178999994,0.0,0.0
4140,216.17810178999994,216.17810178999994,0.0,0.0
4200,216.17810178999994,216.17810178999994,0.0,0.0
4260,216.17810178999994,216.17810178999994,0.0,0.0
4320,216.17810178999994,216.17810178999994,0.0,0.0
4380,216.17810178999994,216.17810178999994,0.0,0.0
4440,216.17810178999994,216.17810178999994,0.0,0.0
4500,216.17810178999994,216.17810178999994,0.0,0.0
4560,216.17810178999994,216.17810178999994,0.0,0.0
4620,216.17810178999994,216.17810178999994,0.0,0.0
4680,216.17810178999994,216.17810178999994,0.0,0.0
4740,216.17810178999994,216.17810178999994,0.0,0.0
4800,216.17810178999994,216.17810178999994,0.0,0.0
4860,216.17810178999994,216.17810178999994,0.0,0.0
4920,216.17810178999994,216.17810178999994,0.0,0.0
4980,216.17810178999994,216.17810178999994,0.0,0.0
5040,216.17810178999994,216.17810178999994,0.0,0.0
5100,216.17810178999994,216.17810178999994,0.0,0.0
5160,216.17810178999994,216.17810178999994,0.0,0.0
5220,216.17810178999994,216.17810178999994,0.0,0.0
5280,216.17810178999994,216.17810178999994,0.0,0.0
5340,216.17810178999994,216.17810178999994,0.0,0.0
5400,216.17810178999994,216.17810178999994,0.0,0.0
5460,216.17810178999994,216.17810178999994,0.0,0.0
5520,216.17810178999994,216.17810178999994,0.0,0.0
5580,216.17810178999994,216.17810178999994,0.0,0.0
5640,216.17810178999994,216.17810178999994,0.0,0.0
5700,216.17810178999994,216.17810178999994,0.0,0.0
