,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,207,HYPE,0.0,-0.060728844,199.939271156,0.0,199.939271156,1.0,9.37,32.406,9.37,32.406,entry_initial_normal_long
1,213,HYPE,0.11880000000000451,-0.0321057,200.025965456,0.0,200.025965456,1.0,-4.95,32.43,4.42,32.406,close_trailing_long
2,215,HYPE,0.0,-0.032127904000000006,199.993837552,0.0,199.993837552,1.0,4.96,32.387,9.38,32.39595309168443,entry_initial_partial_long
3,221,HYPE,0.0794321961620522,-0.032087880000000006,200.04118186816206,0.0,200.04118186816206,1.0,-4.95,32.412,4.43,32.39595309168443,close_trailing_long
4,222,HYPE,0.0,-0.03209616,200.00908570816205,0.0,200.00908570816205,1.0,4.96,32.355,9.39,32.374320787663684,entry_initial_partial_long
5,284,HYPE,0.8696121010647477,-0.0322245,200.84647330922678,0.0,200.84647330922678,1.0,-4.95,32.55,4.44,32.374320787663684,close_trailing_long
6,287,HYPE,0.5757757027732311,-0.028863552,201.39338546000002,0.0,201.39338546000002,1.0,-4.44,32.504,0.0,32.374320787663684,close_trailing_long
7,287,HYPE,0.0,-0.03247655,201.36090891,0.0,201.36090891,1.0,5.05,32.155,5.05,32.155,entry_initial_partial_long
8,289,HYPE,0.0,-0.028678692000000002,201.332230218,0.0,201.332230218,1.0,4.46,32.151,9.51,32.153124079915884,entry_initial_partial_long
9,296,HYPE,1.204177118822267,-0.032522572,202.50388476482226,0.0,202.50388476482226,1.0,-5.02,32.393,4.49,32.153124079915884,close_trailing_long
10,301,HYPE,2.374652881177692,-0.029348436000000006,204.84918920999996,0.0,204.84918920999996,1.0,-4.49,32.682,0.0,32.153124079915884,close_trailing_long
11,360,HYPE,0.0,-0.06220609999999999,204.78698310999997,0.0,204.78698310999997,1.0,9.7,32.065,9.7,32.065,entry_initial_normal_long
12,365,HYPE,0.08192000000002736,-0.03285094400000001,204.836052166,0.0,204.836052166,1.0,-5.12,32.081,4.58,32.065,close_trailing_long
13,369,HYPE,0.7144799999999946,-0.029514435999999998,205.52101772999998,0.0,205.52101772999998,1.0,-4.58,32.221,0.0,32.065,close_trailing_long
14,379,HYPE,0.0,-0.06239444000000001,205.45862329,0.0,205.45862329,1.0,9.74,32.03,9.74,32.03,entry_initial_normal_long
15,389,HYPE,2.25646,-0.033378132,207.681705158,0.0,207.681705158,1.0,-5.14,32.469,4.6,32.03,close_trailing_long
16,394,HYPE,1.1638000000000004,-0.029700360000000002,208.815804798,0.0,208.815804798,1.0,-4.6,32.283,0.0,32.03,close_trailing_long
17,747,HYPE,0.0,-0.063405914,208.752398884,0.0,208.752398884,1.0,9.79,32.383,9.79,32.383,entry_initial_normal_long
18,762,HYPE,0.8737299999999841,-0.033658768,209.592470116,0.0,209.592470116,1.0,-5.17,32.552,4.62,32.383,close_trailing_long
19,765,HYPE,0.21713999999998634,-0.029965320000000004,209.77964479599999,0.0,209.77964479599999,1.0,-4.62,32.43,0.0,32.383,close_trailing_long
20,768,HYPE,0.0,-0.06371571000000001,209.715929086,0.0,209.715929086,1.0,9.85,32.343,9.85,32.343,entry_initial_normal_long
21,774,HYPE,0.08319999999999084,-0.03365336000000001,209.76547572599998,0.0,209.76547572599998,1.0,-5.2,32.359,4.65,32.343,close_trailing_long
22,775,HYPE,0.0,-0.03355750200000001,209.73191822399997,0.0,209.73191822399997,1.0,5.19,32.329,9.84,32.33561585365854,entry_initial_partial_long
23,789,HYPE,0.085197560975584,-0.03364608,209.78346970497554,0.0,209.78346970497554,1.0,-5.2,32.352,4.64,32.33561585365854,close_trailing_long
24,795,HYPE,0.4843424390243717,-0.030104319999999997,210.23770782399993,0.0,210.23770782399993,1.0,-4.64,32.44,0.0,32.33561585365854,close_trailing_long
25,925,HYPE,0.0,-0.06386202199999999,210.17384580199993,0.0,210.17384580199993,1.0,9.91,32.221,9.91,32.221,entry_initial_normal_long
26,1595,HYPE,0.7269700000000152,-0.03384856000000001,210.86696724199996,0.0,210.86696724199996,1.0,-5.23,32.36,4.68,32.221,close_trailing_long
27,1600,HYPE,2.4102000000000023,-0.030640896,213.24652634599997,0.0,213.24652634599997,1.0,-4.68,32.736,0.0,32.221,close_trailing_long
28,2869,HYPE,0.0,-0.06476407200000002,213.18176227399996,0.0,213.18176227399996,1.0,10.21,31.716,10.21,31.716,entry_initial_normal_long
29,2883,HYPE,0.5821200000000029,-0.034306272000000006,213.72957600199996,0.0,213.72957600199996,1.0,-5.39,31.824,4.82,31.716,close_trailing_long
30,2900,HYPE,0.0,-0.034375158,213.69520084399997,0.0,213.69520084399997,1.0,5.43,31.653,10.25,31.68262536585366,entry_initial_partial_long
31,2934,HYPE,0.9541867707317085,-0.034471438,214.61491617673167,0.0,214.61491617673167,1.0,-5.41,31.859,4.84,31.68262536585366,close_trailing_long
32,2954,HYPE,1.5941732292682873,-0.030987616,216.17810178999994,0.0,216.17810178999994,1.0,-4.84,32.012,0.0,31.68262536585366,close_trailing_long
33,6427,HYPE,0.0,-0.06563755,216.11246423999995,0.0,216.11246423999995,1.0,9.11,36.025,9.11,36.025,entry_initial_normal_long
34,6473,HYPE,2.462720000000002,-0.035148594,218.54003564599995,0.0,218.54003564599995,1.0,-4.81,36.537,4.3,36.025,close_trailing_long
35,6484,HYPE,2.7562999999999924,-0.03153276,221.26480288599996,0.0,221.26480288599996,1.0,-4.3,36.666,0.0,36.025,close_trailing_long
36,6609,HYPE,0.0,-0.06723427800000001,221.19756860799995,0.0,221.19756860799995,1.0,9.39,35.801,9.39,35.801,entry_initial_normal_long
37,6644,HYPE,5.177699999999997,-0.03647853,226.33879007799996,0.0,226.33879007799996,1.0,-4.95,36.847,4.44,35.801,close_trailing_long
38,6649,HYPE,4.111439999999978,-0.032613576000000005,230.41761650199993,0.0,230.41761650199993,1.0,-4.44,36.727,0.0,35.801,close_trailing_long
39,7776,HYPE,0.0,-0.07000612199999999,230.34761037999994,0.0,230.34761037999994,1.0,9.81,35.681,9.81,35.681,entry_initial_normal_long
40,8059,HYPE,2.569489999999999,-0.037408052,232.87969232799995,0.0,232.87969232799995,1.0,-5.17,36.178,4.64,35.681,close_trailing_long
41,8068,HYPE,1.9766400000000088,-0.033507296,234.82282503199997,0.0,234.82282503199997,1.0,-4.64,36.107,0.0,35.681,close_trailing_long
42,8405,HYPE,0.0,-0.071298792,234.75152623999998,0.0,234.75152623999998,1.0,10.26,34.746,10.26,34.746,entry_initial_normal_long
43,8452,HYPE,0.2818399999999978,-0.037721032,234.99564520799998,0.0,234.99564520799998,1.0,-5.42,34.798,4.84,34.746,close_trailing_long
44,8466,HYPE,0.7259999999999931,-0.033779328,235.68786587999998,0.0,235.68786587999998,1.0,-4.84,34.896,0.0,34.746,close_trailing_long
45,8871,HYPE,0.0,-0.07158317600000001,235.61628270399999,0.0,235.61628270399999,1.0,10.43,34.316,10.43,34.316,entry_initial_normal_long
46,8879,HYPE,1.6994999999999862,-0.0380875,237.27769520399997,0.0,237.27769520399997,1.0,-5.5,34.625,4.93,34.316,close_trailing_long
47,8881,HYPE,0.6113199999999764,-0.033957839999999996,237.85505736399995,0.0,237.85505736399995,1.0,-4.93,34.44,0.0,34.316,close_trailing_long
48,8882,HYPE,0.0,-0.07222527000000001,237.78283209399996,0.0,237.78283209399996,1.0,10.53,34.295,10.53,34.295,entry_initial_normal_long
49,8886,HYPE,0.505960000000006,-0.038237232,238.25055486199997,0.0,238.25055486199997,1.0,-5.56,34.386,4.97,34.295,close_trailing_long
50,8887,HYPE,0.0,-0.038318332,238.21223652999998,0.0,238.21223652999998,1.0,5.59,34.274,10.56,34.28388352272727,entry_initial_partial_long
51,8896,HYPE,2.5015787784090757,-0.038692562,240.67512274640907,0.0,240.67512274640907,1.0,-5.57,34.733,4.99,34.28388352272727,close_trailing_long
52,8899,HYPE,3.029511221590902,-0.034821218,243.66981274999998,0.0,243.66981274999998,1.0,-4.99,34.891,0.0,34.28388352272727,close_trailing_long
53,9016,HYPE,0.0,-0.074017688,243.59579506199998,0.0,243.59579506199998,1.0,10.84,34.141,10.84,34.141,entry_initial_normal_long
54,9041,HYPE,0.726440000000014,-0.039202592,244.28303247,0.0,244.28303247,1.0,-5.72,34.268,5.12,34.141,close_trailing_long
55,9042,HYPE,0.0,-0.039352552000000006,244.243679918,0.0,244.243679918,1.0,5.78,34.042,10.9,34.08850275229358,entry_initial_partial_long
56,9054,HYPE,2.13813420183485,-0.039561228000000004,246.34225289183485,0.0,246.34225289183485,1.0,-5.74,34.461,5.16,34.08850275229358,close_trailing_long
57,9057,HYPE,1.1945257981651358,-0.035418240000000004,247.50136045,0.0,247.50136045,1.0,-5.16,34.32,0.0,34.08850275229358,close_trailing_long
58,9079,HYPE,0.0,-0.07515326,247.42620718999999,0.0,247.42620718999999,1.0,11.05,34.006,11.05,34.006,entry_initial_normal_long
59,9117,HYPE,1.014419999999997,-0.03985388,248.40077330999998,0.0,248.40077330999998,1.0,-5.83,34.18,5.22,34.006,close_trailing_long
60,9123,HYPE,1.184939999999983,-0.03573925199999999,249.54997405799995,0.0,249.54997405799995,1.0,-5.22,34.233,0.0,34.006,close_trailing_long
61,9134,HYPE,0.0,-0.075760152,249.47421390599996,0.0,249.47421390599996,1.0,11.18,33.882,11.18,33.882,entry_initial_normal_long
62,9154,HYPE,1.5871000000000324,-0.04029818000000001,251.021015726,0.0,251.021015726,1.0,-5.9,34.151,5.28,33.882,close_trailing_long
63,9162,HYPE,0.7761600000000295,-0.03593462400000001,251.76124110200004,0.0,251.76124110200004,1.0,-5.28,34.029,0.0,33.882,close_trailing_long
64,9162,HYPE,0.0,-0.04046187600000001,251.72077922600005,0.0,251.72077922600005,1.0,5.98,33.831,5.98,33.831,entry_initial_partial_long
65,9163,HYPE,0.0,-0.035994056,251.68478517000005,0.0,251.68478517000005,1.0,5.32,33.829,11.3,33.83005840707965,entry_initial_partial_long
66,9310,HYPE,1.3466118938052853,-0.040594752,252.99080231180534,0.0,252.99080231180534,1.0,-5.96,34.056,5.34,33.83005840707965,close_trailing_long
67,9314,HYPE,0.29338810619467165,-0.03618918,253.248001238,0.0,253.248001238,1.0,-5.34,33.885,0.0,33.83005840707965,close_trailing_long
68,10489,HYPE,0.0,-0.076925376,253.171075862,0.0,253.171075862,1.0,11.36,33.858,11.36,33.858,entry_initial_normal_long
69,10492,HYPE,0.41331000000001566,-0.040644546000000004,253.54374131600002,0.0,253.54374131600002,1.0,-5.99,33.927,5.37,33.858,close_trailing_long
70,10493,HYPE,0.0,-0.04055349800000001,253.50318781800001,0.0,253.50318781800001,1.0,5.99,33.851,11.36,33.854308978873235,entry_initial_partial_long
71,10512,HYPE,1.8281461267605863,-0.0409908,255.2903431447606,0.0,255.2903431447606,1.0,-6.0,34.159,5.36,33.854308978873235,close_trailing_long
72,10514,HYPE,0.8130638732394642,-0.036454432,256.06695258600007,0.0,256.06695258600007,1.0,-5.36,34.006,0.0,33.854308978873235,close_trailing_long
73,10633,HYPE,0.0,-0.0777546,255.98919798600008,0.0,255.98919798600008,1.0,11.55,33.66,11.55,33.66,entry_initial_normal_long
74,10696,HYPE,1.8788000000000422,-0.041440960000000006,257.8265570260001,0.0,257.8265570260001,1.0,-6.1,33.968,5.45,33.66,close_trailing_long
75,10704,HYPE,1.3734000000000133,-0.03696408,259.1629929460001,0.0,259.1629929460001,1.0,-5.45,33.912,0.0,33.66,close_trailing_long
76,10781,HYPE,0.0,-0.078716316,259.0842766300001,0.0,259.0842766300001,1.0,11.78,33.411,11.78,33.411,entry_initial_normal_long
77,10950,HYPE,2.0368799999999743,-0.041903838,261.0792527920001,0.0,261.0792527920001,1.0,-6.21,33.739,5.57,33.411,close_trailing_long
78,10960,HYPE,1.3479399999999853,-0.037489442000000005,262.3897033500001,0.0,262.3897033500001,1.0,-5.57,33.653,0.0,33.411,close_trailing_long
79,17961,HYPE,0.0,-0.079690176,262.3100131740001,0.0,262.3100131740001,1.0,9.63,41.376,9.63,41.376,entry_initial_normal_long
80,18092,HYPE,1.9964400000000035,-0.042437304,264.26401587000015,0.0,264.26401587000015,1.0,-5.08,41.769,4.55,41.376,close_trailing_long
81,18095,HYPE,1.046500000000018,-0.03786146,265.27265441000014,0.0,265.27265441000014,1.0,-4.55,41.606,0.0,41.376,close_trailing_long
82,18122,HYPE,0.0,-0.08053971200000001,265.1921146980001,0.0,265.1921146980001,1.0,9.82,41.008,9.82,41.008,entry_initial_normal_long
83,18223,HYPE,1.486659999999995,-0.04278162,266.6359930780001,0.0,266.6359930780001,1.0,-5.18,41.295,4.64,41.008,close_trailing_long
84,18229,HYPE,1.6935999999999762,-0.038394144,268.2911989340001,0.0,268.2911989340001,1.0,-4.64,41.373,0.0,41.008,close_trailing_long
85,18746,HYPE,0.0,-0.081460544,268.2097383900001,0.0,268.2097383900001,1.0,10.04,40.568,10.04,40.568,entry_initial_normal_long
86,18753,HYPE,0.39750000000001506,-0.04308158,268.5641568100001,0.0,268.5641568100001,1.0,-5.3,40.643,4.74,40.568,close_trailing_long
87,18765,HYPE,0.6019800000000116,-0.038578860000000006,269.1275579500001,0.0,269.1275579500001,1.0,-4.74,40.695,0.0,40.568,close_trailing_long
88,18771,HYPE,0.0,-0.08173909,269.0458188600001,0.0,269.0458188600001,1.0,10.09,40.505,10.09,40.505,entry_initial_normal_long
89,18782,HYPE,0.10639999999997883,-0.04311860000000001,269.1091002600001,0.0,269.1091002600001,1.0,-5.32,40.525,4.77,40.505,close_trailing_long
90,18783,HYPE,0.0,-0.043139954,269.0659603060001,0.0,269.0659603060001,1.0,5.33,40.469,10.1,40.486001980198026,entry_initial_partial_long
91,18818,HYPE,0.30912944554450633,-0.043219903999999996,269.33186984754457,0.0,269.33186984754457,1.0,-5.33,40.544,4.77,40.486001980198026,close_trailing_long
92,18823,HYPE,0.0,-0.043262704000000006,269.28860714354454,0.0,269.28860714354454,1.0,5.36,40.357,10.13,40.41774426905671,entry_initial_partial_long
93,18860,HYPE,3.285465603237165,-0.043823244000000004,272.5302495027817,0.0,272.5302495027817,1.0,-5.34,41.033,4.79,40.41774426905671,close_trailing_long
94,18865,HYPE,1.8597449512183375,-0.039092148,274.3509023060001,0.0,274.3509023060001,1.0,-4.79,40.806,0.0,40.41774426905671,close_trailing_long
95,19305,HYPE,0.0,-0.08333212799999999,274.2675701780001,0.0,274.2675701780001,1.0,10.12,41.172,10.12,41.172,entry_initial_normal_long
96,19308,HYPE,0.9879000000000121,-0.044169276,275.2113009020001,0.0,275.2113009020001,1.0,-5.34,41.357,4.78,41.172,close_trailing_long
97,19311,HYPE,0.1816400000000182,-0.03939676,275.35354414200015,0.0,275.35354414200015,1.0,-4.78,41.21,0.0,41.172,close_trailing_long
98,19332,HYPE,0.0,-0.08364011400000002,275.26990402800016,0.0,275.26990402800016,1.0,10.17,41.121,10.17,41.121,entry_initial_normal_long
99,19339,HYPE,0.11277000000000427,-0.044186508000000006,275.33848752000017,0.0,275.33848752000017,1.0,-5.37,41.142,4.8,41.121,close_trailing_long
100,19340,HYPE,0.0,-0.044242197999999996,275.29424532200017,0.0,275.29424532200017,1.0,5.39,41.041,10.19,41.07868400392542,entry_initial_partial_long
101,19349,HYPE,0.6836868989205256,-0.044255244000000006,275.9336769769207,0.0,275.9336769769207,1.0,-5.37,41.206,4.82,41.07868400392542,close_trailing_long
102,19354,HYPE,0.49798310107949906,-0.039699448000000005,276.3919606300002,0.0,276.3919606300002,1.0,-4.82,41.182,0.0,41.07868400392542,close_trailing_long
103,19354,HYPE,0.0,-0.044105958,276.3478546720002,0.0,276.3478546720002,1.0,5.37,41.067,5.37,41.067,entry_initial_partial_long
104,19355,HYPE,0.0,-0.03981074,276.3080439320002,0.0,276.3080439320002,1.0,4.85,41.042,10.22,41.055136007827784,entry_initial_partial_long
105,19357,HYPE,0.16096691780824976,-0.04428963,276.4247212198085,0.0,276.4247212198085,1.0,-5.39,41.085,4.83,41.055136007827784,close_trailing_long
106,19358,HYPE,0.0,-0.044260524,276.3804606958085,0.0,276.3804606958085,1.0,5.39,41.058,10.22,41.05664646945286,entry_initial_partial_long
107,19382,HYPE,2.1673090649545603,-0.044774640000000004,278.50299512076305,0.0,278.50299512076305,1.0,-5.4,41.458,4.82,41.05664646945286,close_trailing_long
108,19385,HYPE,0.7873640172372206,-0.03973608000000001,279.25062305800026,0.0,279.25062305800026,1.0,-4.82,41.22,0.0,41.05664646945286,close_trailing_long
109,19386,HYPE,0.0,-0.08479420400000001,279.16582885400027,0.0,279.16582885400027,1.0,10.34,41.003,10.34,41.003,entry_initial_normal_long
110,19605,HYPE,0.0,-0.41766947200000004,278.74815938200027,0.0,278.74815938200027,1.0,55.88,37.372,66.22,37.93896677740864,entry_trailing_cropped_long
111,19618,HYPE,0.11381867109633732,-0.045397768000000005,278.8165802850966,0.0,278.8165802850966,1.0,-5.98,37.958,60.24,37.93896677740864,close_trailing_long
112,19629,HYPE,0.6893256810631088,-0.044829968,279.46107599815974,0.0,279.46107599815974,1.0,-5.89,38.056,54.35,37.93896677740864,close_trailing_long
113,19638,HYPE,2.731896013289044,-0.045314360000000005,282.1476576514488,0.0,282.1476576514488,1.0,-5.9,38.402,48.45,37.93896677740864,close_trailing_long
114,19646,HYPE,4.547678006644508,-0.046132784,286.6492028740933,0.0,286.6492028740933,1.0,-5.96,38.702,42.49,37.93896677740864,close_trailing_long
115,19653,HYPE,4.096761328903668,-0.046801380000000004,290.699162822997,0.0,290.699162822997,1.0,-6.06,38.615,36.43,37.93896677740864,close_trailing_long
116,19655,HYPE,2.3395439867109666,-0.04705696,292.9916498497079,0.0,292.9916498497079,1.0,-6.14,38.32,30.29,37.93896677740864,close_trailing_long
117,19665,HYPE,1.1886856478405343,-0.04720617800000001,294.13312931954846,0.0,294.13312931954846,1.0,-6.19,38.131,24.1,37.93896677740864,close_trailing_long
118,19675,HYPE,2.999636312292342,-0.047720124,297.0850455078408,0.0,297.0850455078408,1.0,-6.21,38.422,17.89,37.93896677740864,close_trailing_long
119,19684,HYPE,4.151288637873765,-0.04848160000000001,301.1878525457146,0.0,301.1878525457146,1.0,-6.28,38.6,11.61,37.93896677740864,close_trailing_long
120,19689,HYPE,1.857331295681075,-0.048629832000000005,302.99655400939565,0.0,302.99655400939565,1.0,-6.36,38.231,5.25,37.93896677740864,close_trailing_long
121,19690,HYPE,0.0,-0.05207644,302.94447756939564,0.0,302.94447756939564,1.0,6.85,38.012,12.1,37.98031203152027,entry_initial_partial_long
122,19701,HYPE,1.0587461185854767,-0.048750588000000004,303.9544730999811,0.0,303.9544730999811,1.0,-6.39,38.146,5.71,37.98031203152027,close_trailing_long
123,19702,HYPE,0.0,-0.0487424,303.9057306999811,0.0,303.9057306999811,1.0,6.4,38.08,12.11,38.032996011559106,entry_initial_partial_long
124,19722,HYPE,2.848025526021729,-0.049251840000000005,306.70450438600284,0.0,306.70450438600284,1.0,-6.4,38.478,5.71,38.032996011559106,close_trailing_long
125,19723,HYPE,0.0,-0.049138180000000004,306.65536620600284,0.0,306.65536620600284,1.0,6.37,38.57,12.08,38.31616781672206,entry_initial_partial_long
126,19746,HYPE,4.6910442948116255,-0.05005953600000001,311.29635096481445,0.0,311.29635096481445,1.0,-6.41,39.048,5.67,38.31616781672206,close_trailing_long
127,19747,HYPE,0.0,-0.050187708000000004,311.24616325681444,0.0,311.24616325681444,1.0,6.42,39.087,12.09,38.72549309518727,entry_initial_partial_long
128,19750,HYPE,0.6150644669939809,-0.050001448000000004,311.8112262758084,0.0,311.8112262758084,1.0,-6.44,38.821,5.65,38.72549309518727,close_trailing_long
129,19751,HYPE,0.0,-0.05077002,311.7604562558084,0.0,311.7604562558084,1.0,6.54,38.815,12.19,38.77351402689156,entry_initial_partial_long
130,19760,HYPE,0.6084896668183578,-0.05006198400000001,312.31888393862675,0.0,312.31888393862675,1.0,-6.44,38.868,5.75,38.77351402689156,close_trailing_long
131,19761,HYPE,0.0,-0.049982616,312.26890132262673,0.0,312.26890132262673,1.0,6.41,38.988,12.16,38.8865777676502,entry_initial_partial_long
132,19768,HYPE,2.0184391763327176,-0.05048960000000001,314.23685089895946,0.0,314.23685089895946,1.0,-6.44,39.2,5.72,38.8865777676502,close_trailing_long
133,19770,HYPE,0.0,-0.050712860000000005,314.1861380389595,0.0,314.1861380389595,1.0,6.49,39.07,12.21,38.98407246772802,entry_initial_partial_long
134,19816,HYPE,2.6610518584770007,-0.05089963200000001,316.7962902654365,0.0,316.7962902654365,1.0,-6.46,39.396,5.75,38.98407246772802,close_trailing_long
135,19831,HYPE,3.3518333105638902,-0.04550205,320.10262152600035,0.0,320.10262152600035,1.0,-5.75,39.567,0.0,38.98407246772802,close_trailing_long
136,19907,HYPE,0.0,-0.09723032,320.00539120600035,0.0,320.00539120600035,1.0,12.52,38.83,12.52,38.83,entry_initial_normal_long
137,19941,HYPE,0.6006000000000071,-0.05137572000000001,320.5546154860004,0.0,320.5546154860004,1.0,-6.6,38.921,5.92,38.83,close_trailing_long
138,19947,HYPE,0.8288000000000033,-0.04614048,321.33727500600037,0.0,321.33727500600037,1.0,-5.92,38.97,0.0,38.83,close_trailing_long
139,19955,HYPE,0.0,-0.097593834,321.23968117200036,0.0,321.23968117200036,1.0,12.61,38.697,12.61,38.697,entry_initial_normal_long
140,19986,HYPE,2.0681499999999997,-0.051880640000000006,323.2559505320004,0.0,323.2559505320004,1.0,-6.65,39.008,5.96,38.697,close_trailing_long
