,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,13,HYPE,0.0,-0.033260859999999996,199.96673914,0.0,199.96673914,1.0,6.85,24.278,6.85,24.278,entry_initial_normal_long
1,129,HYPE,0.0,-0.004732616,199.96200652399997,0.0,199.96200652399997,1.0,0.98,24.146,7.83,24.26147892720306,entry_trailing_cropped_long
2,287,HYPE,0.0,-0.041046599999999996,199.920959924,0.0,199.920959924,1.0,8.7,23.59,16.53,23.908068965517238,entry_grid_normal_long
3,615,HYPE,0.0,-0.08527952400000001,199.8356804,0.0,199.8356804,1.0,18.38,23.199,34.91,23.5347464909768,entry_grid_normal_long
4,664,HYPE,9.94601275852185,-0.079465588,209.70222757052184,0.0,209.70222757052184,1.0,-16.46,24.139,18.45,23.5347464909768,close_grid_long
5,723,HYPE,11.322780635920907,-0.08360064000000002,220.94140756644276,0.0,220.94140756644276,1.0,-17.28,24.19,1.17,23.5347464909768,close_grid_long
6,776,HYPE,0.8228066055571426,-0.005671692,221.7585424799999,0.0,221.7585424799999,1.0,-1.17,24.238,0.0,23.5347464909768,close_grid_long
7,941,HYPE,0.0,-0.036898984,221.7216434959999,0.0,221.7216434959999,1.0,7.78,23.714,7.78,23.714,entry_initial_normal_long
8,975,HYPE,0.0,-0.005272056000000001,221.7163714399999,0.0,221.7163714399999,1.0,1.11,23.748,8.89,23.71824521934758,entry_trailing_cropped_long
9,1248,HYPE,6.123030000000018,-0.04339564600000001,227.7960057939999,0.0,227.7960057939999,1.0,-8.89,24.407,0.0,23.71824521934758,close_grid_long
10,1877,HYPE,0.0,-0.03791910800000001,227.7580866859999,0.0,227.7580866859999,1.0,7.61,24.914,7.61,24.914,entry_initial_normal_long
11,1898,HYPE,0.0,-0.005401574,227.7526851119999,0.0,227.7526851119999,1.0,1.07,25.241,8.68,24.954309907834105,entry_trailing_cropped_long
12,2805,HYPE,0.0,-0.046829520000000006,227.70585559199992,0.0,227.70585559199992,1.0,9.65,24.264,18.33,24.59088979814512,entry_grid_normal_long
13,3631,HYPE,12.333628123295064,-0.09074802,239.948735695295,0.0,239.948735695295,1.0,-17.95,25.278,0.38,24.59088979814512,close_grid_long
14,3638,HYPE,0.28010187670485404,-0.001924928,240.22691264399987,0.0,240.22691264399987,1.0,-0.38,25.328,0.0,24.59088979814512,close_grid_long
15,3882,HYPE,0.0,-0.0399616,240.18695104399987,0.0,240.18695104399987,1.0,8.0,24.976,8.0,24.976,entry_initial_normal_long
16,3883,HYPE,5.824000000000012,-0.0411264,245.96982464399989,0.0,245.96982464399989,1.0,-8.0,25.704,0.0,24.976,close_grid_long
17,4200,HYPE,0.0,-0.04090044,245.92892420399988,0.0,245.92892420399988,1.0,8.05,25.404,8.05,25.404,entry_initial_normal_long
18,4232,HYPE,0.0,-0.00586799,245.92305621399987,0.0,245.92305621399987,1.0,1.15,25.513,9.2,25.417625000000005,entry_trailing_cropped_long
19,4746,HYPE,6.793049999999947,-0.048127039999999996,252.6679791739998,0.0,252.6679791739998,1.0,-9.2,26.156,0.0,25.417625000000005,close_grid_long
20,5013,HYPE,0.0,-0.042009132000000005,252.6259700419998,0.0,252.6259700419998,1.0,8.22,25.553,8.22,25.553,entry_initial_normal_long
21,5051,HYPE,0.0,-0.006035228,252.6199348139998,0.0,252.6199348139998,1.0,1.18,25.573,9.4,25.55551063829787,entry_trailing_cropped_long
22,5238,HYPE,0.0,-0.05193232,252.5680024939998,0.0,252.5680024939998,1.0,10.45,24.848,19.85,25.183042821158686,entry_grid_normal_long
23,5253,HYPE,0.0,-0.107860504,252.4601419899998,0.0,252.4601419899998,1.0,22.07,24.436,41.92,24.789740458015267,entry_grid_normal_long
24,5393,HYPE,0.0,-0.24541219200000003,252.2147297979998,0.0,252.2147297979998,1.0,51.23,23.952,93.15,24.329005689747717,entry_grid_inflated_long
25,5394,HYPE,-0.9057774106280106,-0.014708196000000002,251.2942441913718,0.0,251.2942441913718,1.0,-3.06,24.033,90.09,24.329005689747717,close_unstuck_long
26,5395,HYPE,-0.9973673537305406,-0.01464122,250.28223561764125,0.0,250.28223561764125,1.0,-3.05,24.002,87.04,24.329005689747717,close_unstuck_long
27,5396,HYPE,-0.8846572968330594,-0.014615104,249.38296321680818,0.0,249.38296321680818,1.0,-3.04,24.038,84.0,24.329005689747717,close_unstuck_long
28,5397,HYPE,-0.8393272399355841,-0.014575511999999999,248.5290604648726,0.0,248.5290604648726,1.0,-3.03,24.052,80.97,24.329005689747717,close_unstuck_long
29,5398,HYPE,-0.866757183038101,-0.014521368000000002,247.6477819138345,0.0,247.6477819138345,1.0,-3.02,24.042,77.95,24.329005689747717,close_unstuck_long
30,5399,HYPE,-0.7710170692431539,-0.0144432,246.86232164459136,0.0,246.86232164459136,1.0,-3.0,24.072,74.95,24.329005689747717,close_unstuck_long
31,5400,HYPE,-0.7564870123456728,-0.014397448,246.09143718424568,0.0,246.09143718424568,1.0,-2.99,24.076,71.96,24.329005689747717,close_unstuck_long
32,5401,HYPE,-0.7092569554481939,-0.014358236,245.36782199279747,0.0,245.36782199279747,1.0,-2.98,24.091,68.98,24.329005689747717,close_unstuck_long
33,5402,HYPE,-0.6682668985507224,-0.014317776,244.68523731824675,0.0,244.68523731824675,1.0,-2.97,24.104,66.01,24.329005689747717,close_unstuck_long
34,5403,HYPE,-0.46021678475577077,-0.01426207,244.21075846349098,0.0,244.21075846349098,1.0,-2.95,24.173,63.06,24.329005689747717,close_unstuck_long
35,5404,HYPE,-0.06447667096081536,-0.014243902000000001,244.13203789053017,0.0,244.13203789053017,1.0,-2.93,24.307,60.13,24.329005689747717,close_unstuck_long
36,5405,HYPE,-0.09377667096080952,-0.014238042000000003,244.02402317756935,0.0,244.02402317756935,1.0,-2.93,24.297,57.2,24.329005689747717,close_unstuck_long
37,5406,HYPE,-0.14065667096081477,-0.014228666000000003,243.86913784060854,0.0,243.86913784060854,1.0,-2.93,24.281,54.27,24.329005689747717,close_unstuck_long
38,5456,HYPE,0.0,-0.17378175200000004,243.69535608860855,0.0,243.69535608860855,1.0,37.06,23.446,91.33,23.970698552311497,entry_grid_cropped_long
39,5458,HYPE,-0.995402642457603,-0.014231279999999999,242.68572216615095,0.0,242.68572216615095,1.0,-3.01,23.64,88.32,23.970698552311497,close_unstuck_long
40,5459,HYPE,-0.43272470036514704,-0.014152050000000001,242.23884541578582,0.0,242.23884541578582,1.0,-2.97,23.825,85.35,23.970698552311497,close_unstuck_long
41,5460,HYPE,-0.3691077148420297,-0.014116832,241.8556208689438,0.0,241.8556208689438,1.0,-2.96,23.846,82.39,23.970698552311497,close_unstuck_long
42,5461,HYPE,-0.643594700365141,-0.014109876000000004,241.19791629257864,0.0,241.19791629257864,1.0,-2.97,23.754,79.42,23.970698552311497,close_unstuck_long
