,balance,equity,balance_btc,equity_btc
0,199.96673914,200.0,0.0,0.0
60,199.96673914,198.05558914,0.0,-1.9111499999999992
120,199.96200652399997,197.60348914,0.0,-2.3632499999999923
180,199.96200652399997,200.060046524,0.0,0.098040000000037
240,199.920959924,197.812836524,0.0,-2.1491699999999834
300,199.920959924,197.70479992400007,0.0,-2.216159999999926
360,199.920959924,192.41519992400006,0.0,-7.505759999999931
420,199.920959924,191.68787992400004,0.0,-8.233079999999939
480,199.920959924,192.38213992400009,0.0,-7.538819999999913
540,199.920959924,189.78692992400008,0.0,-10.134029999999914
600,199.8356804,193.01027992400003,0.0,-6.910679999999967
660,209.70222757052184,209.75897039999987,0.0,9.923289999999854
720,221.7585424799999,218.91345481199986,0.0,9.211227241478007
780,221.7585424799999,221.7585424799999,0.0,0.0
840,221.7585424799999,221.7585424799999,0.0,0.0
900,221.7216434959999,221.7585424799999,0.0,0.0
960,221.7163714399999,220.1267434959999,0.0,-1.5948999999999869
1020,221.7163714399999,218.78938143999991,0.0,-2.9269899999999893
1080,221.7163714399999,219.90952143999993,0.0,-1.8068499999999783
1140,221.7163714399999,223.94558143999993,0.0,2.2292100000000272
1200,227.7960057939999,225.5280014399999,0.0,3.811630000000003
1260,227.7960057939999,227.7960057939999,0.0,0.0
1320,227.7960057939999,227.7960057939999,0.0,0.0
1380,227.7960057939999,227.7960057939999,0.0,0.0
1440,227.7960057939999,227.7960057939999,0.0,0.0
1500,227.7960057939999,227.7960057939999,0.0,0.0
1560,227.7960057939999,227.7960057939999,0.0,0.0
1620,227.7960057939999,227.7960057939999,0.0,0.0
1680,227.7960057939999,227.7960057939999,0.0,0.0
1740,227.7960057939999,227.7960057939999,0.0,0.0
1800,227.7960057939999,227.7960057939999,0.0,0.0
1860,227.7526851119999,227.7960057939999,0.0,0.0
1920,227.7526851119999,231.03971511199987,0.0,3.287029999999954
1980,227.7526851119999,227.06427511199988,0.0,-0.688410000000032
2040,227.7526851119999,226.85595511199986,0.0,-0.8967300000000399
2100,227.7526851119999,226.1615551119999,0.0,-1.591130000000025
2160,227.7526851119999,231.42163511199988,0.0,3.6689499999999584
2220,227.7526851119999,229.18219511199987,0.0,1.4295099999999659
2280,227.7526851119999,229.6422351119999,0.0,1.889549999999973
2340,227.7526851119999,226.46535511199988,0.0,-1.2873300000000238
2400,227.7526851119999,228.14059511199986,0.0,0.38790999999995734
2460,227.7526851119999,226.0139951119999,0.0,-1.7386900000000205
2520,227.7526851119999,227.39411511199987,0.0,-0.3585700000000298
2580,227.7526851119999,225.33695511199986,0.0,-2.415730000000046
2640,227.7526851119999,223.74851511199986,0.0,-4.004170000000045
2700,227.7526851119999,224.30403511199987,0.0,-3.448650000000044
2760,227.70585559199992,223.94815511199985,0.0,-3.8045300000000473
2820,227.70585559199992,226.25980559199988,0.0,-1.4460500000000491
2880,227.70585559199992,226.4247755919999,0.0,-1.2810800000000429
2940,227.70585559199992,219.27607559199987,0.0,-8.429780000000052
3000,227.70585559199992,220.28422559199987,0.0,-7.421630000000058
3060,227.70585559199992,223.19869559199984,0.0,-4.507160000000078
3120,227.70585559199992,233.97673559199987,0.0,6.270879999999939
3180,227.70585559199992,232.2353855919999,0.0,4.529529999999959
3240,227.70585559199992,237.91768559199986,0.0,10.211829999999935
3300,227.70585559199992,237.5694155919999,0.0,9.863559999999966
3360,227.70585559199992,232.01542559199987,0.0,4.309569999999951
3420,227.70585559199992,223.69360559199987,0.0,-4.012250000000059
3480,227.70585559199992,229.55920559199987,0.0,1.8533499999999454
3540,227.70585559199992,226.33312559199982,0.0,-1.3727300000000897
3600,240.22691264399987,231.94210559199985,0.0,4.236249999999927
3660,240.22691264399987,240.22691264399987,0.0,0.0
3720,240.22691264399987,240.22691264399987,0.0,0.0
3780,240.22691264399987,240.22691264399987,0.0,0.0
3840,245.96982464399989,240.22691264399987,0.0,0.0
3900,245.96982464399989,245.96982464399989,0.0,0.0
3960,245.96982464399989,245.96982464399989,0.0,0.0
4020,245.96982464399989,245.96982464399989,0.0,0.0
4080,245.96982464399989,245.96982464399989,0.0,0.0
4140,245.96982464399989,245.96982464399989,0.0,0.0
4200,245.92305621399987,245.95307420399988,0.0,0.024150000000000917
4260,245.92305621399987,246.79130621399983,0.0,0.868249999999962
4320,245.92305621399987,244.19690621399982,0.0,-1.726150000000038
4380,245.92305621399987,245.29170621399982,0.0,-0.6313500000000403
4440,245.92305621399987,248.47490621399984,0.0,2.5518499999999604
4500,245.92305621399987,250.58170621399984,0.0,4.658649999999953
4560,245.92305621399987,249.28450621399983,0.0,3.361449999999969
4620,245.92305621399987,245.82530621399982,0.0,-0.09775000000004183
4680,245.92305621399987,248.06090621399983,0.0,2.1378499999999447
4740,252.6679791739998,251.47410621399985,0.0,5.5510499999999645
4800,252.6679791739998,252.6679791739998,0.0,0.0
4860,252.6679791739998,252.6679791739998,0.0,0.0
4920,252.6679791739998,252.6679791739998,0.0,0.0
4980,252.6259700419998,252.6679791739998,0.0,0.0
5040,252.6199348139998,251.03129004199982,0.0,-1.5946799999999923
5100,252.6199348139998,249.90793481399982,0.0,-2.711999999999996
5160,252.6199348139998,252.40833481399983,0.0,-0.21159999999997936
5220,252.4601419899998,248.82693481399983,0.0,-3.7929999999999815
5280,252.4601419899998,236.62526198999979,0.0,-15.834880000000021
5340,246.86232164459136,247.69214198999975,0.0,-4.768000000000049
5400,242.23884541578582,228.96454775000004,0.0,-17.126889434245648
5460,233.97246037117068,224.0018271439997,0.0,-17.853793724944094
5520,223.4818327438885,187.05256819999917,0.0,-46.91989217117152
5580,223.4818327438885,227.55876988399928,0.0,4.076937140110777
5640,255.31266981799925,222.43353988399926,0.0,-1.0482928598892334
5700,255.26414575199925,255.31266981799925,0.0,0.0
5760,255.26414575199925,254.47206575199925,0.0,-0.7920800000000003
5820,255.21171758199924,254.46181575199924,0.0,-0.8023300000000129
5880,255.10280758599924,245.7035775819992,0.0,-9.508140000000036
5940,253.057538924653,235.36694758599933,0.0,-19.735859999999928
6000,246.80161756030205,203.5342711119991,0.0,-49.523267812653906
6060,236.26798188155087,174.39644234599933,0.0,-72.40517521430273
6120,233.417699332447,185.75986762599928,0.0,-50.5081142555516
6180,228.2069928027634,172.59332217799928,0.0,-60.82437715444772
6240,228.2069928027634,245.25845099399925,0.0,17.051458191235845
6300,228.2069928027634,225.15804099399915,0.0,-3.0489518087642526
6360,228.2069928027634,198.8987309939993,0.0,-29.308261808764122
6420,238.89604759749574,240.3313309939992,0.0,12.124338191235793
6480,232.82393631280917,222.8459991139992,0.0,-16.05004848349653
6540,270.5570454379989,205.509106177999,0.0,-25.799990009876883
6600,277.97381904599894,271.8689654379989,0.0,1.311919999999987
6660,277.920977025999,277.97381904599894,0.0,0.0
6720,277.920977025999,276.60017702599896,0.0,-1.3207999999999922
6780,308.25090246599905,271.177737025999,0.0,-6.743239999999978
6840,308.25090246599905,308.25090246599905,0.0,0.0
6900,308.25090246599905,308.25090246599905,0.0,0.0
6960,308.25090246599905,308.25090246599905,0.0,0.0
7020,308.25090246599905,308.25090246599905,0.0,0.0
7080,308.25090246599905,308.25090246599905,0.0,0.0
7140,308.25090246599905,308.25090246599905,0.0,0.0
7200,316.632619705999,308.25090246599905,0.0,0.0
7260,316.632619705999,316.632619705999,0.0,0.0
7320,325.249365439999,316.632619705999,0.0,0.0
7380,325.18754393799895,325.249365439999,0.0,0.0
7440,360.59197057999876,318.007013937999,0.0,-7.180529999999974
7500,364.06561952786944,351.6008105799988,0.0,-8.991159999999994
7560,364.06561952786944,358.5457870619984,0.0,-5.519832465871052
7620,414.9957870959984,370.5473870619983,0.0,6.481767534128855
7680,414.9957870959984,393.1688170959985,0.0,-21.82696999999993
7740,435.4857158613171,425.8708570959983,0.0,10.875069999999853
7800,435.4857158613171,445.8280465579984,0.0,10.342330696681302
7860,435.4857158613171,430.31590655799835,0.0,-5.169809303318721
7920,435.4857158613171,425.24629655799833,0.0,-10.239419303318758
7980,433.5114074611642,423.77307655799837,0.0,-11.712639303318712
8040,430.38299987697513,276.68115314399824,0.0,-156.83025431716592
8100,497.34608162599835,395.1256173699985,0.0,-35.2573825069766
8160,497.2515519179983,497.34608162599835,0.0,0.0
8220,510.78508349799824,502.3264119179983,0.0,5.074859999999978
8280,510.78508349799824,511.78669349799833,0.0,1.0016100000000618
8340,511.62636970093973,504.32809349799834,0.0,-6.456989999999907
