,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,43,HYPE,0.0,-0.033239246,199.966760754,0.0,199.966760754,1.0,5.03,33.041,5.03,33.041,entry_initial_normal_long
1,96,HYPE,0.0,-0.004778352,199.96198240200002,0.0,199.96198240200002,1.0,0.72,33.183,5.75,33.05878086956521,entry_trailing_cropped_long
2,228,HYPE,0.0,-0.041080031999999995,199.92090237000002,0.0,199.92090237000002,1.0,6.39,32.144,12.14,32.577277594728166,entry_grid_normal_long
3,251,HYPE,0.0,-0.08534970000000001,199.83555267000003,0.0,199.83555267000003,1.0,13.5,31.611,25.64,32.068512090483615,entry_grid_normal_long
4,397,HYPE,9.935653946957904,-0.079464656,209.69174196095793,0.0,209.69174196095793,1.0,-12.08,32.891,13.56,32.068512090483615,close_grid_long
5,398,HYPE,11.316746692667738,-0.083589096,220.92489955762568,0.0,220.92489955762568,1.0,-12.68,32.961,0.88,32.068512090483615,close_grid_long
6,399,HYPE,0.8434693603744193,-0.005812752000000001,221.7625561660001,0.0,221.7625561660001,1.0,-0.88,33.027,0.0,32.068512090483615,close_grid_long
7,725,HYPE,0.0,-0.03687488,221.7256812860001,0.0,221.7256812860001,1.0,5.6,32.924,5.6,32.924,entry_initial_normal_long
8,763,HYPE,0.0,-0.00528768,221.7203936060001,0.0,221.7203936060001,1.0,0.81,32.64,6.41,32.88811232449298,entry_trailing_cropped_long
9,931,HYPE,0.0,-0.045600628000000004,221.6747929780001,0.0,221.6747929780001,1.0,7.13,31.978,13.54,32.408858197932055,entry_grid_normal_long
10,977,HYPE,0.0,-0.09465547,221.58013750800012,0.0,221.58013750800012,1.0,15.05,31.447,28.59,31.902528506470794,entry_grid_normal_long
11,1419,HYPE,0.0,-0.215398112,221.36473939600012,0.0,221.36473939600012,1.0,34.94,30.824,63.53,31.309363292932474,entry_grid_inflated_long
12,1420,HYPE,-1.0675629151581991,-0.012936420000000002,220.2842400608419,0.0,220.2842400608419,1.0,-2.1,30.801,61.43,31.309363292932474,close_unstuck_long
13,1421,HYPE,-1.0771092822288697,-0.012871892000000001,219.19425888661303,0.0,219.19425888661303,1.0,-2.09,30.794,59.34,31.309363292932474,close_unstuck_long
