,balance,equity,balance_btc,equity_btc
0,199.99288328,200.0,0.0,0.0
60,199.99288328,200.0,0.0,0.0
120,199.99288328,200.0,0.0,0.0
180,199.99288328,200.0,0.0,0.0
240,199.99288328,200.0,0.0,0.0
300,199.99288328,200.0,0.0,0.0
360,199.99288328,200.0,0.0,0.0
420,199.99288328,200.0,0.0,0.0
480,199.99288328,200.0,0.0,0.0
540,199.99288328,200.0,0.0,0.0
600,199.99288328,200.0,0.0,0.0
660,199.99288328,200.0,0.0,0.0
720,199.99288328,200.0,0.0,0.0
780,199.99288328,200.0,0.0,0.0
840,199.99288328,200.0,0.0,0.0
900,199.99288328,200.0,0.0,0.0
960,199.99288328,200.0,0.0,0.0
1020,199.99288328,200.0,0.0,0.0
1080,199.99288328,200.0,0.0,0.0
1140,199.99288328,200.0,0.0,0.0
1200,199.99288328,200.0,0.0,0.0
1260,199.99288328,200.0,0.0,0.0
1320,199.99288328,200.0,0.0,0.0
1380,199.99288328,200.0,0.0,0.0
1440,199.99288328,200.0,0.0,0.0
1500,199.99288328,200.0,0.0,0.0
1560,199.99288328,200.0,0.0,0.0
1620,199.99288328,200.0,0.0,0.0
1680,199.99288328,200.0,0.0,0.0
1740,199.99288328,200.0,0.0,0.0
1800,199.99288328,200.0,0.0,0.0
1860,199.99288328,200.0,0.0,0.0
1920,199.99288328,200.0,0.0,0.0
1980,199.99288328,200.0,0.0,0.0
2040,199.99288328,200.0,0.0,0.0
2100,199.99288328,200.0,0.0,0.0
2160,199.99288328,200.0,0.0,0.0
2220,199.99288328,200.0,0.0,0.0
2280,199.99288328,200.0,0.0,0.0
2340,199.99288328,200.52328328000002,0.0,0.5304000000000022
2400,199.99288328,200.44528328,0.0,0.45240000000000213
2460,200.79680432,200.35168328,0.0,0.35879999999999945
2520,200.79680432,200.79680432,0.0,0.0
2580,200.79680432,200.79680432,0.0,0.0
2640,200.79680432,200.79680432,0.0,0.0
2700,200.79680432,200.79680432,0.0,0.0
2760,200.79680432,200.79680432,0.0,0.0
2820,200.79680432,200.79680432,0.0,0.0
2880,200.79680432,200.79680432,0.0,0.0
2940,200.79680432,200.79680432,0.0,0.0
3000,200.78965922,200.79680432,0.0,0.0
3060,200.78965922,200.46835922,0.0,-0.3213000000000028
3120,200.78965922,200.60605922,0.0,-0.183600000000001
3180,200.78965922,200.71315922,0.0,-0.07650000000000007
3240,200.78965922,200.83555922,0.0,0.04589999999999919
3300,200.78965922,200.77435922,0.0,-0.015300000000002562
3360,200.78965922,200.91205922,0.0,0.12239999999999926
3420,200.78965922,200.94265922,0.0,0.1529999999999959
3480,200.78965922,200.14705922000002,0.0,-0.6426000000000014
3540,200.78965922,200.33065922,0.0,-0.4590000000000004
3600,200.78965922,199.91755922000002,0.0,-0.8721000000000017
3660,200.78965922,199.53505922,0.0,-1.254600000000002
3720,200.78965922,199.65745922,0.0,-1.1322000000000028
3780,200.78965922,200.17765922,0.0,-0.6120000000000005
3840,200.78965922,200.80495922,0.0,0.015299999999998315
3900,201.59325194000002,201.11095922,0.0,0.3212999999999986
3960,201.59325194000002,201.59325194000002,0.0,0.0
4020,201.59325194000002,201.59325194000002,0.0,0.0
