,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2292,ONDO,0.0,-0.00711672,199.99288328,0.0,199.99288328,1.0,156.0,0.2281,156.0,0.2281,entry_initial_normal_long
1,2513,ONDO,0.8112000000000016,-0.007278960000000001,200.79680432,0.0,200.79680432,1.0,-156.0,0.2333,0.0,0.2281,close_grid_long
2,3020,ONDO,0.0,-0.0071451000000000015,200.78965922,0.0,200.78965922,1.0,153.0,0.2335,153.0,0.2335,entry_initial_normal_long
3,3914,ONDO,0.8108999999999998,-0.00730728,201.59325194000002,0.0,201.59325194000002,1.0,-153.0,0.2388,0.0,0.2335,close_grid_long
4,5182,ONDO,0.0,-0.007174079999999999,201.58607786000002,0.0,201.58607786000002,1.0,144.0,0.2491,144.0,0.2491,entry_initial_normal_long
5,5188,ONDO,0.8063999999999991,-0.00733536,202.38514250000003,0.0,202.38514250000003,1.0,-144.0,0.2547,0.0,0.2491,close_grid_long
6,5208,ONDO,0.0,-0.007168320000000001,202.37797418000002,0.0,202.37797418000002,1.0,144.0,0.2489,144.0,0.2489,entry_initial_normal_long
7,5247,ONDO,0.8063999999999991,-0.007329600000000001,203.17704458000003,0.0,203.17704458000003,1.0,-144.0,0.2545,0.0,0.2489,close_grid_long
8,5326,ONDO,0.0,-0.007229460000000001,203.16981512000004,0.0,203.16981512000004,1.0,147.0,0.2459,147.0,0.2459,entry_initial_normal_long
9,5457,ONDO,0.823199999999999,-0.007394100000000001,203.98562102000002,0.0,203.98562102000002,1.0,-147.0,0.2515,0.0,0.2459,close_grid_long
10,6522,ONDO,0.0,-0.00723792,203.97838310000003,0.0,203.97838310000003,1.0,136.0,0.2661,136.0,0.2661,entry_initial_normal_long
11,6548,ONDO,0.8160000000000007,-0.007401120000000001,204.78698198000004,0.0,204.78698198000004,1.0,-136.0,0.2721,0.0,0.2661,close_grid_long
12,7498,ONDO,0.0,-0.007265280000000001,204.77971670000002,0.0,204.77971670000002,1.0,132.0,0.2752,132.0,0.2752,entry_initial_normal_long
13,8146,ONDO,0.0,-0.04042368,204.73929302000002,0.0,204.73929302000002,1.0,792.0,0.2552,924.0,0.2580571428571428,entry_grid_normal_long
14,8149,ONDO,0.015085714285716811,-0.00227392,204.75210481428573,0.0,204.75210481428573,1.0,-44.0,0.2584,880.0,0.2580571428571428,close_trailing_long
15,8195,ONDO,5.4057142857143115,-0.0464992,210.11131990000004,0.0,210.11131990000004,1.0,-880.0,0.2642,0.0,0.2580571428571428,close_grid_long
16,8502,ONDO,0.0,-0.0074472,210.10387270000004,0.0,210.10387270000004,1.0,145.0,0.2568,145.0,0.2568,entry_initial_normal_long
17,8607,ONDO,0.841000000000004,-0.0076154,210.93725730000006,0.0,210.93725730000006,1.0,-145.0,0.2626,0.0,0.2568,close_grid_long
18,9109,ONDO,0.0,-0.007499520000000002,210.92975778000005,0.0,210.92975778000005,1.0,144.0,0.2604,144.0,0.2604,entry_initial_normal_long
19,10895,ONDO,0.0,-0.0417312,210.88802658000006,0.0,210.88802658000006,1.0,864.0,0.2415,1008.0,0.2442,entry_grid_normal_long
20,11014,ONDO,0.07500000000000007,-0.002457,210.96056958000005,0.0,210.96056958000005,1.0,-50.0,0.2457,958.0,0.2442,close_trailing_long
21,11142,ONDO,5.5564,-0.047900000000000005,216.46906958000005,0.0,216.46906958000005,1.0,-958.0,0.25,0.0,0.2442,close_grid_long
22,13968,ONDO,0.0,-0.00770064,216.46136894000006,0.0,216.46136894000006,1.0,122.0,0.3156,122.0,0.3156,entry_initial_normal_long
23,14022,ONDO,0.8661999999999994,-0.00787388,217.31969506000004,0.0,217.31969506000004,1.0,-122.0,0.3227,0.0,0.3156,close_grid_long
24,14458,ONDO,0.0,-0.00771552,217.31197954000004,0.0,217.31197954000004,1.0,114.0,0.3384,114.0,0.3384,entry_initial_normal_long
25,14741,ONDO,0.8663999999999995,-0.0078888,218.17049074000005,0.0,218.17049074000005,1.0,-114.0,0.346,0.0,0.3384,close_grid_long
26,14957,ONDO,0.0,-0.0077326,218.16275814000005,0.0,218.16275814000005,1.0,115.0,0.3362,115.0,0.3362,entry_initial_normal_long
27,15049,ONDO,0.8739999999999994,-0.0079074,219.02885074000005,0.0,219.02885074000005,1.0,-115.0,0.3438,0.0,0.3362,close_grid_long
28,15275,ONDO,0.0,-0.0077656800000000005,219.02108506000005,0.0,219.02108506000005,1.0,114.0,0.3406,114.0,0.3406,entry_initial_normal_long
29,15329,ONDO,0.0,-0.04321512,218.97786994000003,0.0,218.97786994000003,1.0,684.0,0.3159,798.0,0.3194285714285714,entry_grid_normal_long
