,balance,equity,balance_btc,equity_btc
0,199.992319988,200.0,0.0,0.0
60,199.992319988,200.0,0.0,0.0
120,199.992319988,200.0,0.0,0.0
180,199.992319988,200.0,0.0,0.0
240,199.992319988,200.0,0.0,0.0
300,199.992319988,200.0,0.0,0.0
360,199.992319988,200.0,0.0,0.0
420,199.992319988,200.0,0.0,0.0
480,199.992319988,200.0,0.0,0.0
540,199.992319988,200.0,0.0,0.0
600,199.992319988,200.0,0.0,0.0
660,199.992319988,200.0,0.0,0.0
720,199.992319988,200.0,0.0,0.0
780,199.992319988,200.0,0.0,0.0
840,199.992319988,200.0,0.0,0.0
900,199.992319988,200.0,0.0,0.0
960,199.992319988,200.0,0.0,0.0
1020,199.992319988,200.0,0.0,0.0
1080,199.992319988,200.0,0.0,0.0
1140,199.992319988,200.0,0.0,0.0
1200,199.992319988,200.0,0.0,0.0
1260,199.992319988,200.0,0.0,0.0
1320,199.992319988,200.0,0.0,0.0
1380,199.992319988,200.0,0.0,0.0
1440,199.992319988,200.0,0.0,0.0
1500,199.992319988,200.0,0.0,0.0
1560,199.992319988,200.0,0.0,0.0
1620,199.992319988,200.0,0.0,0.0
1680,199.992319988,200.0,0.0,0.0
1740,199.992319988,200.0,0.0,0.0
1800,199.992319988,200.0,0.0,0.0
1860,199.992319988,200.0,0.0,0.0
1920,199.992319988,200.0,0.0,0.0
1980,199.992319988,200.0,0.0,0.0
2040,199.992319988,200.0,0.0,0.0
2100,199.992319988,200.0,0.0,0.0
2160,199.992319988,200.0,0.0,0.0
2220,199.992319988,200.0,0.0,0.0
2280,199.992319988,200.0,0.0,0.0
2340,199.992319988,200.547379988,0.0,0.5550599999999996
2400,199.992319988,200.46327998799998,0.0,0.47095999999999943
2460,200.859105048,200.34553998799998,0.0,0.3532199999999984
2520,200.859105048,200.859105048,0.0,0.0
2580,200.859105048,200.859105048,0.0,0.0
2640,200.859105048,200.859105048,0.0,0.0
2700,200.859105048,200.859105048,0.0,0.0
2760,200.859105048,200.859105048,0.0,0.0
2820,200.859105048,200.859105048,0.0,0.0
2880,200.859105048,200.859105048,0.0,0.0
2940,200.859105048,200.859105048,0.0,0.0
3000,200.851391576,200.859105048,0.0,0.0
3060,200.851391576,200.504681576,0.0,-0.34670999999999846
3120,200.851391576,200.636761576,0.0,-0.21462999999999927
3180,200.851391576,200.735821576,0.0,-0.11557000000000102
3240,200.851391576,200.867901576,0.0,0.016509999999998182
3300,200.851391576,200.78535157599998,0.0,-0.06604000000000189
3360,200.851391576,200.950451576,0.0,0.09905999999999825
3420,200.851391576,200.983471576,0.0,0.1320799999999992
3480,200.851391576,200.124951576,0.0,-0.7264400000000024
3540,200.851391576,200.306561576,0.0,-0.5448299999999996
3600,200.851391576,199.877301576,0.0,-0.9740899999999981
3660,200.851391576,199.481061576,0.0,-1.3703300000000003
3720,200.851391576,199.596631576,0.0,-1.2547599999999992
3780,200.851391576,200.124951576,0.0,-0.7264400000000024
3840,200.851391576,200.851391576,0.0,0.0
3900,201.718533098,201.181591576,0.0,0.33020000000000027
3960,201.718533098,201.718533098,0.0,0.0
4020,201.718533098,201.718533098,0.0,0.0
4080,201.718533098,201.718533098,0.0,0.0
4140,201.718533098,201.718533098,0.0,0.0
4200,201.718533098,201.718533098,0.0,0.0
4260,201.718533098,201.718533098,0.0,0.0
4320,201.718533098,201.718533098,0.0,0.0
4380,201.718533098,201.718533098,0.0,0.0
4440,201.718533098,201.718533098,0.0,0.0
4500,201.718533098,201.718533098,0.0,0.0
4560,201.718533098,201.718533098,0.0,0.0
4620,201.718533098,201.718533098,0.0,0.0
4680,201.718533098,201.718533098,0.0,0.0
4740,201.718533098,201.718533098,0.0,0.0
4800,201.718533098,201.718533098,0.0,0.0
4860,201.718533098,201.718533098,0.0,0.0
4920,201.718533098,201.718533098,0.0,0.0
4980,201.718533098,201.718533098,0.0,0.0
5040,201.718533098,201.718533098,0.0,0.0
5100,202.57534585,201.718533098,0.0,0.0
5160,203.440435612,202.57534585,0.0,0.0
5220,204.325637046,203.738165612,0.0,0.2977299999999976
5280,204.317791378,204.325637046,0.0,0.0
5340,204.317791378,204.030871378,0.0,-0.2869200000000038
5400,205.202407182,204.732231378,0.0,0.4144399999999986
5460,205.202407182,205.202407182,0.0,0.0
5520,205.202407182,205.202407182,0.0,0.0
5580,205.202407182,205.202407182,0.0,0.0
5640,205.202407182,205.202407182,0.0,0.0
5700,205.202407182,205.202407182,0.0,0.0
5760,205.202407182,205.202407182,0.0,0.0
5820,205.202407182,205.202407182,0.0,0.0
5880,205.202407182,205.202407182,0.0,0.0
5940,205.202407182,205.202407182,0.0,0.0
6000,205.202407182,205.202407182,0.0,0.0
6060,205.202407182,205.202407182,0.0,0.0
6120,205.202407182,205.202407182,0.0,0.0
6180,205.202407182,205.202407182,0.0,0.0
6240,205.202407182,205.202407182,0.0,0.0
6300,205.202407182,205.202407182,0.0,0.0
6360,205.202407182,205.202407182,0.0,0.0
6420,205.202407182,205.202407182,0.0,0.0
6480,205.194527662,205.202407182,0.0,0.0
6540,206.074470542,205.594127662,0.0,0.39959999999999707
6600,206.074470542,206.074470542,0.0,0.0
6660,206.074470542,206.074470542,0.0,0.0
6720,206.074470542,206.074470542,0.0,0.0
6780,206.074470542,206.074470542,0.0,0.0
6840,206.074470542,206.074470542,0.0,0.0
6900,206.074470542,206.074470542,0.0,0.0
6960,206.074470542,206.074470542,0.0,0.0
7020,206.074470542,206.074470542,0.0,0.0
7080,206.074470542,206.074470542,0.0,0.0
7140,206.074470542,206.074470542,0.0,0.0
7200,206.074470542,206.074470542,0.0,0.0
7260,206.074470542,206.074470542,0.0,0.0
7320,206.074470542,206.074470542,0.0,0.0
7380,206.074470542,206.074470542,0.0,0.0
7440,206.066558182,206.074470542,0.0,0.0
7500,206.066558182,205.750638182,0.0,-0.31592000000000503
7560,206.066558182,205.563958182,0.0,-0.5026000000000004
7620,206.066558182,205.592678182,0.0,-0.4738800000000036
7680,206.066558182,205.721918182,0.0,-0.3446400000000019
7740,206.066558182,205.922958182,0.0,-0.14360000000000012
7800,206.066558182,206.325038182,0.0,0.25847999999999544
7860,206.066558182,206.368118182,0.0,0.30155999999999866
7920,206.066558182,205.750638182,0.0,-0.31592000000000503
7980,206.066558182,205.82243818199998,0.0,-0.244120000000005
8040,206.066558182,205.563958182,0.0,-0.5026000000000004
8100,206.066558182,205.62139818199998,0.0,-0.4451600000000068
8160,211.31823278599998,203.65407818199998,0.0,-2.4124800000000053
8220,211.31823278599998,211.31823278599998,0.0,0.0
8280,211.31823278599998,211.31823278599998,0.0,0.0
8340,211.31823278599998,211.31823278599998,0.0,0.0
8400,211.31823278599998,211.31823278599998,0.0,0.0
8460,211.31011870999998,211.31823278599998,0.0,0.0
8520,211.31011870999998,211.56259870999997,0.0,0.2524799999999985
8580,212.217061586,211.87819871,0.0,0.5680799999999988
8640,212.217061586,212.217061586,0.0,0.0
8700,212.217061586,212.217061586,0.0,0.0
8760,212.217061586,212.217061586,0.0,0.0
8820,212.217061586,212.217061586,0.0,0.0
8880,212.217061586,212.217061586,0.0,0.0
8940,212.217061586,212.217061586,0.0,0.0
9000,212.217061586,212.217061586,0.0,0.0
9060,212.208912104,212.217061586,0.0,0.0
9120,212.208912104,212.005722104,0.0,-0.20318999999999499
9180,212.208912104,211.364892104,0.0,-0.8440199999999939
9240,212.208912104,211.286742104,0.0,-0.9221699999999939
9300,212.208912104,211.896312104,0.0,-0.3126000000000003
9360,212.208912104,211.568082104,0.0,-0.6408299999999989
9420,212.208912104,212.255802104,0.0,0.04689000000000351
9480,212.208912104,211.708752104,0.0,-0.500159999999997
9540,212.208912104,210.520872104,0.0,-1.6880399999999964
9600,212.208912104,211.427412104,0.0,-0.7815000000000007
9660,212.208912104,211.271112104,0.0,-0.9378000000000009
9720,212.208912104,211.59934210400002,0.0,-0.6095700000000023
9780,212.208912104,211.896312104,0.0,-0.3126000000000003
9840,212.208912104,211.77127210400002,0.0,-0.4376399999999952
9900,212.208912104,211.990092104,0.0,-0.21882000000000196
9960,212.208912104,211.88068210400002,0.0,-0.3282299999999986
10020,212.208912104,212.177652104,0.0,-0.03125999999999656
10080,213.122748188,212.365212104,0.0,0.15630000000000016
10140,213.122748188,213.122748188,0.0,0.0
10200,213.122748188,213.122748188,0.0,0.0
10260,213.122748188,213.122748188,0.0,0.0
10320,213.122748188,213.122748188,0.0,0.0
10380,213.122748188,213.122748188,0.0,0.0
10440,213.122748188,213.122748188,0.0,0.0
10500,213.122748188,213.122748188,0.0,0.0
10560,213.122748188,213.122748188,0.0,0.0
10620,213.122748188,213.122748188,0.0,0.0
10680,213.122748188,213.122748188,0.0,0.0
10740,213.122748188,213.122748188,0.0,0.0
10800,213.122748188,213.122748188,0.0,0.0
10860,213.114566972,213.122748188,0.0,0.0
10920,213.114566972,212.696816972,0.0,-0.41775000000000034
10980,213.114566972,212.74694697200002,0.0,-0.3676199999999966
11040,213.114566972,213.114566972,0.0,0.0
11100,214.041958604,213.582446972,0.0,0.46787999999999946
11160,214.041958604,214.041958604,0.0,0.0
11220,214.041958604,214.041958604,0.0,0.0
11280,214.041958604,214.041958604,0.0,0.0
11340,214.041958604,214.041958604,0.0,0.0
11400,214.041958604,214.041958604,0.0,0.0
11460,214.041958604,214.041958604,0.0,0.0
11520,214.041958604,214.041958604,0.0,0.0
