,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,8,POPCAT,0.0,-0.004335200000000001,199.9956648,0.0,199.9956648,1.0,40.0,0.5419,40.0,0.5419,entry_initial_normal_long
1,14,POPCAT,0.3839999999999977,-0.004412,200.37525279999997,0.0,200.37525279999997,1.0,-40.0,0.5515,0.0,0.5419,close_trailing_long
2,1329,POPCAT,0.0,-0.0043438,200.37090899999998,0.0,200.37090899999998,1.0,37.0,0.587,37.0,0.587,entry_initial_normal_long
3,1336,POPCAT,-0.07400000000000007,-0.004329,200.29258,0.0,200.29258,1.0,-37.0,0.585,0.0,0.587,close_trailing_long
4,1337,POPCAT,0.0,-0.00434232,200.28823767999998,0.0,200.28823767999998,1.0,37.0,0.5868,37.0,0.5868,entry_initial_normal_long
5,1374,POPCAT,0.014800000000002478,-0.004345280000000001,200.2986924,0.0,200.2986924,1.0,-37.0,0.5872,0.0,0.5868,close_trailing_long
6,2814,POPCAT,0.0,-0.004368,200.2943244,0.0,200.2943244,1.0,30.0,0.728,30.0,0.728,entry_initial_normal_long
7,2855,POPCAT,0.08400000000000074,-0.0043848,200.3739396,0.0,200.3739396,1.0,-30.0,0.7308,0.0,0.728,close_trailing_long
8,3363,POPCAT,0.0,-0.00428852,200.36965108,0.0,200.36965108,1.0,29.0,0.7394,29.0,0.7394,entry_initial_normal_long
9,3381,POPCAT,-0.05799999999999683,-0.004276920000000001,200.30737416000002,0.0,200.30737416000002,1.0,-29.0,0.7374,0.0,0.7394,close_trailing_long
10,3382,POPCAT,0.0,-0.004283300000000001,200.30309086000003,0.0,200.30309086000003,1.0,29.0,0.7385,29.0,0.7385,entry_initial_normal_long
11,3491,POPCAT,-0.10440000000000138,-0.00426242,200.19442844000002,0.0,200.19442844000002,1.0,-29.0,0.7349,0.0,0.7385,close_trailing_long
12,3788,POPCAT,0.0,-0.0043668000000000005,200.19006164,0.0,200.19006164,1.0,30.0,0.7278,30.0,0.7278,entry_initial_normal_long
13,3793,POPCAT,0.0749999999999984,-0.0043818,200.26067984,0.0,200.26067984,1.0,-30.0,0.7303,0.0,0.7278,close_trailing_long
14,3923,POPCAT,0.0,-0.0043446,200.25633524,0.0,200.25633524,1.0,30.0,0.7241,30.0,0.7241,entry_initial_normal_long
15,3944,POPCAT,0.26700000000000057,-0.004398,200.51893723999999,0.0,200.51893723999999,1.0,-30.0,0.733,0.0,0.7241,close_trailing_long
16,3972,POPCAT,0.0,-0.0043224000000000005,200.51461483999998,0.0,200.51461483999998,1.0,30.0,0.7204,30.0,0.7204,entry_initial_normal_long
17,4012,POPCAT,-0.10500000000000176,-0.0043013999999999995,200.40531344,0.0,200.40531344,1.0,-30.0,0.7169,0.0,0.7204,close_trailing_long
18,4176,POPCAT,0.0,-0.004308,200.40100543999998,0.0,200.40100543999998,1.0,30.0,0.718,30.0,0.718,entry_initial_normal_long
19,4219,POPCAT,0.4800000000000004,-0.004404,200.87660143999997,0.0,200.87660143999997,1.0,-30.0,0.734,0.0,0.718,close_trailing_long
