,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,1856,POPCAT,0.0,-0.0027516000000000003,199.9972484,0.0,199.9972484,1.0,30.0,0.4586,30.0,0.4586,entry_initial_normal_long
1,1871,POPCAT,0.032999999999999696,-0.0027582,200.0274902,0.0,200.0274902,1.0,-30.0,0.4597,0.0,0.4586,close_grid_long
2,1904,POPCAT,0.0,-0.0027324000000000003,200.02475779999997,0.0,200.02475779999997,1.0,30.0,0.4554,30.0,0.4554,entry_initial_normal_long
3,1929,POPCAT,0.035999999999999366,-0.0027396,200.05801819999996,0.0,200.05801819999996,1.0,-30.0,0.4566,0.0,0.4554,close_grid_long
4,2019,POPCAT,0.0,-0.0027114,200.05530679999995,0.0,200.05530679999995,1.0,30.0,0.4519,30.0,0.4519,entry_initial_normal_long
5,2028,POPCAT,-0.05500000000000088,-0.0022485,199.99805829999994,0.0,199.99805829999994,1.0,-25.0,0.4497,5.0,0.4519,close_trailing_long
6,2035,POPCAT,0.005499999999999949,-0.00045300000000000006,200.00310529999993,0.0,200.00310529999993,1.0,-5.0,0.453,0.0,0.4519,close_grid_long
7,2180,POPCAT,0.0,-0.0026706,200.00043469999994,0.0,200.00043469999994,1.0,30.0,0.4451,30.0,0.4451,entry_initial_normal_long
8,2190,POPCAT,-0.025000000000000022,-0.0022205,199.97321419999994,0.0,199.97321419999994,1.0,-25.0,0.4441,5.0,0.4451,close_trailing_long
9,2192,POPCAT,0.005499999999999949,-0.0004462,199.97826799999996,0.0,199.97826799999996,1.0,-5.0,0.4462,0.0,0.4451,close_grid_long
10,2231,POPCAT,0.0,-0.0027435,199.97552449999995,0.0,199.97552449999995,1.0,31.0,0.4425,31.0,0.4425,entry_initial_normal_long
11,2248,POPCAT,0.15500000000000014,-0.0027745,200.12774999999993,0.0,200.12774999999993,1.0,-31.0,0.4475,0.0,0.4425,close_grid_long
12,2257,POPCAT,0.0,-0.00273358,200.12501641999992,0.0,200.12501641999992,1.0,31.0,0.4409,31.0,0.4409,entry_initial_normal_long
13,2275,POPCAT,-0.031200000000000894,-0.0022864400000000003,200.09152997999993,0.0,200.09152997999993,1.0,-26.0,0.4397,5.0,0.4409,close_trailing_long
14,2279,POPCAT,0.005499999999999949,-0.000442,200.09658797999992,0.0,200.09658797999992,1.0,-5.0,0.442,0.0,0.4409,close_grid_long
15,2445,POPCAT,0.0,-0.0026868,200.09390117999993,0.0,200.09390117999993,1.0,30.0,0.4478,30.0,0.4478,entry_initial_normal_long
16,2451,POPCAT,0.04500000000000004,-0.0026958,200.13620537999992,0.0,200.13620537999992,1.0,-30.0,0.4493,0.0,0.4478,close_grid_long
17,2452,POPCAT,0.0,-0.0026856000000000002,200.13351977999992,0.0,200.13351977999992,1.0,30.0,0.4476,30.0,0.4476,entry_initial_normal_long
18,2486,POPCAT,0.2579999999999999,-0.0027372,200.3887825799999,0.0,200.3887825799999,1.0,-30.0,0.4562,0.0,0.4476,close_grid_long
19,2712,POPCAT,0.0,-0.0027264000000000004,200.3860561799999,0.0,200.3860561799999,1.0,30.0,0.4544,30.0,0.4544,entry_initial_normal_long
20,2724,POPCAT,0.041999999999998705,-0.0027348,200.4253213799999,0.0,200.4253213799999,1.0,-30.0,0.4558,0.0,0.4544,close_grid_long
21,2793,POPCAT,0.0,-0.0027186000000000003,200.4226027799999,0.0,200.4226027799999,1.0,30.0,0.4531,30.0,0.4531,entry_initial_normal_long
22,2807,POPCAT,0.1050000000000001,-0.0027396,200.5248631799999,0.0,200.5248631799999,1.0,-30.0,0.4566,0.0,0.4531,close_grid_long
23,2828,POPCAT,0.0,-0.0026994000000000002,200.5221637799999,0.0,200.5221637799999,1.0,30.0,0.4499,30.0,0.4499,entry_initial_normal_long
24,2836,POPCAT,-0.0025000000000011124,-0.002249,200.51741477999988,0.0,200.51741477999988,1.0,-25.0,0.4498,5.0,0.4499,close_trailing_long
25,2836,POPCAT,0.005499999999999949,-0.000451,200.5224637799999,0.0,200.5224637799999,1.0,-5.0,0.451,0.0,0.4499,close_grid_long
26,2866,POPCAT,0.0,-0.00275962,200.5197041599999,0.0,200.5197041599999,1.0,31.0,0.4451,31.0,0.4451,entry_initial_normal_long
27,2928,POPCAT,-0.020800000000000596,-0.00231036,200.49659379999989,0.0,200.49659379999989,1.0,-26.0,0.4443,5.0,0.4451,close_trailing_long
28,2942,POPCAT,0.005499999999999949,-0.0004462,200.5016475999999,0.0,200.5016475999999,1.0,-5.0,0.4462,0.0,0.4451,close_grid_long
29,3207,POPCAT,0.0,-0.0027006,200.4989469999999,0.0,200.4989469999999,1.0,30.0,0.4501,30.0,0.4501,entry_initial_normal_long
30,3243,POPCAT,0.20399999999999918,-0.0027413999999999997,200.7002055999999,0.0,200.7002055999999,1.0,-30.0,0.4569,0.0,0.4501,close_grid_long
31,4433,POPCAT,0.0,-0.00272272,200.69748287999988,0.0,200.69748287999988,1.0,28.0,0.4862,28.0,0.4862,entry_initial_normal_long
32,4443,POPCAT,-0.04600000000000004,-0.00222732,200.6492555599999,0.0,200.6492555599999,1.0,-23.0,0.4842,5.0,0.4862,close_trailing_long
33,4443,POPCAT,0.005999999999999894,-0.0004874,200.6547681599999,0.0,200.6547681599999,1.0,-5.0,0.4874,0.0,0.4862,close_grid_long
34,4446,POPCAT,0.0,-0.00270816,200.6520599999999,0.0,200.6520599999999,1.0,28.0,0.4836,28.0,0.4836,entry_initial_normal_long
35,4450,POPCAT,-0.03679999999999978,-0.0022172000000000003,200.6130427999999,0.0,200.6130427999999,1.0,-23.0,0.482,5.0,0.4836,close_trailing_long
36,4463,POPCAT,0.006000000000000172,-0.0004848,200.6185579999999,0.0,200.6185579999999,1.0,-5.0,0.4848,0.0,0.4836,close_grid_long
37,4508,POPCAT,0.0,-0.0026852,200.6158727999999,0.0,200.6158727999999,1.0,28.0,0.4795,28.0,0.4795,entry_initial_normal_long
38,4535,POPCAT,0.08679999999999977,-0.0027025599999999997,200.69997023999989,0.0,200.69997023999989,1.0,-28.0,0.4826,0.0,0.4795,close_grid_long
39,4544,POPCAT,0.0,-0.00276254,200.6972076999999,0.0,200.6972076999999,1.0,29.0,0.4763,29.0,0.4763,entry_initial_normal_long
