,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,241,SOL,0.0,-0.0023895199999999996,199.99761048,0.0,199.99761048,1.0,5.02,2.38,5.02,2.38,entry_initial_normal_long
1,336,SOL,0.012048000000000902,-0.0023919296,200.0072665504,0.0,200.0072665504,1.0,-5.02,2.3824,0.0,2.38,close_trailing_long
2,641,SOL,0.0,-0.0023923000000000004,200.0048742504,0.0,200.0048742504,1.0,5.09,2.35,5.09,2.35,entry_initial_normal_long
3,688,SOL,0.05293599999999869,-0.0024028872,200.0554073632,0.0,200.0554073632,1.0,-5.09,2.3604,0.0,2.35,close_trailing_long
4,720,SOL,0.0,-0.00239148,200.0530158832,0.0,200.0530158832,1.0,5.11,2.34,5.11,2.34,entry_initial_normal_long
5,787,SOL,0.07818300000000161,-0.0024071166,200.12879176660002,0.0,200.12879176660002,1.0,-5.11,2.3553,0.0,2.34,close_trailing_long
6,869,SOL,0.0,-0.00239148,200.12640028660002,0.0,200.12640028660002,1.0,5.11,2.34,5.11,2.34,entry_initial_normal_long
7,898,SOL,0.0,-0.00239148,200.12400880660002,0.0,200.12400880660002,1.0,-5.11,2.34,0.0,2.34,close_trailing_long
8,934,SOL,0.0,-0.0023905800000000002,200.12161822660002,0.0,200.12161822660002,1.0,5.13,2.33,5.13,2.33,entry_initial_normal_long
9,960,SOL,0.0,-0.0031095,200.11850872660003,0.0,200.11850872660003,1.0,6.91,2.25,12.04,2.284086378737542,entry_grid_normal_long
10,1442,SOL,0.29634799999999334,-0.0055593496,200.40929737700003,0.0,200.40929737700003,1.0,-12.04,2.3087,0.0,2.284086378737542,close_trailing_long
11,1487,SOL,0.0,-0.0023956,200.40690177700003,0.0,200.40690177700003,1.0,5.3,2.26,5.3,2.26,entry_initial_normal_long
12,1812,SOL,0.0,-0.0023956,200.40450617700003,0.0,200.40450617700003,1.0,-5.3,2.26,0.0,2.26,close_trailing_long
13,1993,SOL,0.0,-0.0023956,200.40211057700003,0.0,200.40211057700003,1.0,5.3,2.26,5.3,2.26,entry_initial_normal_long
14,2232,SOL,0.08162000000000043,-0.0024119239999999998,200.48131865300002,0.0,200.48131865300002,1.0,-5.3,2.2754,0.0,2.26,close_trailing_long
15,2440,SOL,0.0,-0.0023940000000000003,200.478924653,0.0,200.478924653,1.0,5.32,2.25,5.32,2.25,entry_initial_normal_long
16,2547,SOL,0.16917600000000027,-0.0024278352000000002,200.6456728178,0.0,200.6456728178,1.0,-5.32,2.2818,0.0,2.25,close_trailing_long
17,2891,SOL,0.0,-0.0023985,200.6432743178,0.0,200.6432743178,1.0,5.33,2.25,5.33,2.25,entry_initial_normal_long
18,3126,SOL,0.0,-0.00313048,200.6401438378,0.0,200.6401438378,1.0,7.18,2.18,12.51,2.2098241406874504,entry_grid_normal_long
19,3127,SOL,0.0,-0.00721608,200.6329277578,0.0,200.6329277578,1.0,16.86,2.14,29.37,2.1697412325502214,entry_grid_normal_long
20,3186,SOL,0.6302439999999908,-0.0128711088,201.25030064899997,0.0,201.25030064899997,1.0,-29.37,2.1912,0.0,2.1697412325502214,close_trailing_long
21,3286,SOL,0.0,-0.0024062400000000005,201.24789440899997,0.0,201.24789440899997,1.0,5.57,2.16,5.57,2.16,entry_initial_normal_long
22,3296,SOL,0.02673599999999953,-0.0024115872000000003,201.27221882179998,0.0,201.27221882179998,1.0,-5.57,2.1648,0.0,2.16,close_trailing_long
23,3297,SOL,0.0,-0.002404569,201.2698142528,0.0,201.2698142528,1.0,5.57,2.1585,5.57,2.1585,entry_initial_normal_long
24,3436,SOL,0.008355000000000317,-0.0024062400000000005,201.27576301279998,0.0,201.27576301279998,1.0,-5.57,2.16,0.0,2.1585,close_trailing_long
25,4073,SOL,0.0,-0.0024062400000000005,201.27335677279999,0.0,201.27335677279999,1.0,5.57,2.16,5.57,2.16,entry_initial_normal_long
26,4243,SOL,0.1726699999999983,-0.002440774,201.4435859988,0.0,201.4435859988,1.0,-5.57,2.191,0.0,2.16,close_trailing_long
27,4317,SOL,0.0,-0.0024096400000000002,201.4411763588,0.0,201.4411763588,1.0,5.63,2.14,5.63,2.14,entry_initial_normal_long
28,4335,SOL,0.0,-0.0024096400000000002,201.4387667188,0.0,201.4387667188,1.0,-5.63,2.14,0.0,2.14,close_trailing_long
29,5148,SOL,0.0,-0.002409,201.4363577188,0.0,201.4363577188,1.0,5.5,2.19,5.5,2.19,entry_initial_normal_long
30,5223,SOL,0.07700000000000129,-0.0024244000000000006,201.5109333188,0.0,201.5109333188,1.0,-5.5,2.204,0.0,2.19,close_trailing_long
31,5266,SOL,0.0,-0.0024087,201.5085246188,0.0,201.5085246188,1.0,5.55,2.17,5.55,2.17,entry_initial_normal_long
32,5290,SOL,0.017204999999999335,-0.002412141,201.52331747780002,0.0,201.52331747780002,1.0,-5.55,2.1731,0.0,2.17,close_trailing_long
33,6392,SOL,0.0,-0.0024068,201.52091067780003,0.0,201.52091067780003,1.0,5.47,2.2,5.47,2.2,entry_initial_normal_long
34,6621,SOL,0.17011699999999946,-0.0024408234,201.68858685440003,0.0,201.68858685440003,1.0,-5.47,2.2311,0.0,2.2,close_trailing_long
35,7066,SOL,0.0,-0.0024089,201.68617795440002,0.0,201.68617795440002,1.0,5.45,2.21,5.45,2.21,entry_initial_normal_long
36,7147,SOL,0.00435999999999952,-0.002409772,201.68812818240002,0.0,201.68812818240002,1.0,-5.45,2.2108,0.0,2.21,close_trailing_long
37,7242,SOL,0.0,-0.0024110800000000003,201.68571710240002,0.0,201.68571710240002,1.0,5.53,2.18,5.53,2.18,entry_initial_normal_long
38,7487,SOL,0.0,-0.0031439000000000003,201.68257320240002,0.0,201.68257320240002,1.0,7.45,2.11,12.98,2.1398228043143295,entry_grid_normal_long
39,7710,SOL,0.0,-0.00724086,201.67533234240003,0.0,201.67533234240003,1.0,17.49,2.07,30.47,2.0997440105021328,entry_grid_normal_long
40,8013,SOL,0.17843200000001183,-0.0128315264,201.84093281600005,0.0,201.84093281600005,1.0,-30.47,2.1056,0.0,2.0997440105021328,close_trailing_long
41,8342,SOL,0.0,-0.00241362,201.83851919600005,0.0,201.83851919600005,1.0,5.83,2.07,5.83,2.07,entry_initial_normal_long
42,8410,SOL,0.12417900000000057,-0.0024384558,201.96025974020006,0.0,201.96025974020006,1.0,-5.83,2.0913,0.0,2.07,close_trailing_long
43,8528,SOL,0.0,-0.00241362,201.95784612020006,0.0,201.95784612020006,1.0,5.83,2.07,5.83,2.07,entry_initial_normal_long
44,8775,SOL,0.0460570000000014,-0.0024228314000000004,202.00148028880005,0.0,202.00148028880005,1.0,-5.83,2.0779,0.0,2.07,close_trailing_long
45,9105,SOL,0.0,-0.0024157000000000002,201.99906458880005,0.0,201.99906458880005,1.0,5.95,2.03,5.95,2.03,entry_initial_normal_long
46,9117,SOL,0.0,-0.0031438399999999997,201.99592074880005,0.0,201.99592074880005,1.0,8.02,1.96,13.97,1.9898138869005009,entry_grid_normal_long
47,9263,SOL,0.0,-0.0072307199999999995,201.98869002880005,0.0,201.98869002880005,1.0,18.83,1.92,32.8,1.9497347560975609,entry_grid_normal_long
48,9325,SOL,0.0,-0.0166192,201.97207082880004,0.0,201.97207082880004,1.0,44.2,1.88,77.0,1.9097051948051949,entry_grid_normal_long
49,9395,SOL,2.2249000000000043,-0.02985444,204.16711638880005,0.0,204.16711638880005,1.0,-77.0,1.9386,0.0,1.9097051948051949,close_trailing_long
50,9440,SOL,0.0,-0.0024395999999999997,204.16467678880005,0.0,204.16467678880005,1.0,6.42,1.9,6.42,1.9,entry_initial_normal_long
51,9491,SOL,0.06805200000000106,-0.0024532104,204.23027557840004,0.0,204.23027557840004,1.0,-6.42,1.9106,0.0,1.9,close_trailing_long
52,9539,SOL,0.0,-0.00244188,204.22783369840005,0.0,204.22783369840005,1.0,6.46,1.89,6.46,1.89,entry_initial_normal_long
53,9595,SOL,0.0,-0.00244188,204.22539181840006,0.0,204.22539181840006,1.0,-6.46,1.89,0.0,1.89,close_trailing_long
54,9601,SOL,0.0,-0.00244024,204.22295157840006,0.0,204.22295157840006,1.0,6.49,1.88,6.49,1.88,entry_initial_normal_long
55,9613,SOL,0.0,-0.00244024,204.22051133840006,0.0,204.22051133840006,1.0,-6.49,1.88,0.0,1.88,close_trailing_long
56,9614,SOL,0.0,-0.00244244,204.21806889840005,0.0,204.21806889840005,1.0,6.5,1.8788,6.5,1.8788,entry_initial_normal_long
57,9619,SOL,0.10010000000000052,-0.00246246,204.31570643840004,0.0,204.31570643840004,1.0,-6.5,1.8942,0.0,1.8788,close_trailing_long
58,10819,SOL,0.0,-0.0024433999999999997,204.31326303840004,0.0,204.31326303840004,1.0,6.43,1.9,6.43,1.9,entry_initial_normal_long
59,10834,SOL,0.0,-0.0024433999999999997,204.31081963840003,0.0,204.31081963840003,1.0,-6.43,1.9,0.0,1.9,close_trailing_long
60,10835,SOL,0.0,-0.002442114,204.30837752440004,0.0,204.30837752440004,1.0,6.43,1.899,6.43,1.899,entry_initial_normal_long
61,10902,SOL,0.26684499999999917,-0.0024954829999999997,204.57272704140004,0.0,204.57272704140004,1.0,-6.43,1.9405,0.0,1.899,close_trailing_long
62,11171,SOL,0.0,-0.0024444000000000002,204.57028264140004,0.0,204.57028264140004,1.0,6.3,1.94,6.3,1.94,entry_initial_normal_long
