,balance,equity,balance_btc,equity_btc
0,199.9901143,200.0,0.0,0.0
60,199.9901143,200.0,0.0,0.0
120,199.9901143,200.0,0.0,0.0
180,199.9901143,200.0,0.0,0.0
240,199.9901143,200.0,0.0,0.0
300,199.9901143,200.0,0.0,0.0
360,199.9901143,200.0,0.0,0.0
420,199.9901143,200.0,0.0,0.0
480,199.9901143,200.0,0.0,0.0
540,199.9901143,200.0,0.0,0.0
600,199.9901143,200.0,0.0,0.0
660,199.9901143,200.0,0.0,0.0
720,199.9901143,200.0,0.0,0.0
780,199.9901143,200.0,0.0,0.0
840,199.9901143,200.0,0.0,0.0
900,199.9901143,200.0,0.0,0.0
960,199.9901143,200.0,0.0,0.0
1020,199.9901143,200.0,0.0,0.0
1080,199.9901143,200.0,0.0,0.0
1140,199.9901143,200.0,0.0,0.0
1200,199.9901143,200.0,0.0,0.0
1260,199.9901143,200.0,0.0,0.0
1320,199.9901143,200.0,0.0,0.0
1380,199.9901143,200.0,0.0,0.0
1440,199.9901143,200.0,0.0,0.0
1500,199.9901143,200.0,0.0,0.0
1560,199.9901143,200.0,0.0,0.0
1620,199.9901143,200.0,0.0,0.0
1680,199.9901143,200.0,0.0,0.0
1740,199.9901143,200.0,0.0,0.0
1800,199.9901143,200.0,0.0,0.0
1860,199.9901143,200.0,0.0,0.0
1920,199.9901143,200.0,0.0,0.0
1980,199.9901143,200.0,0.0,0.0
2040,199.9901143,200.0,0.0,0.0
2100,199.9901143,200.0,0.0,0.0
2160,199.9901143,200.0,0.0,0.0
2220,199.9901143,200.0,0.0,0.0
2280,199.9901143,200.0,0.0,0.0
2340,199.9901143,200.0,0.0,0.0
2400,199.9901143,200.0,0.0,0.0
2460,199.9901143,200.0,0.0,0.0
2520,199.9901143,200.0,0.0,0.0
2580,199.9901143,200.0,0.0,0.0
2640,199.9901143,200.0,0.0,0.0
2700,199.9901143,200.0,0.0,0.0
2760,199.9901143,200.0,0.0,0.0
2820,199.9901143,200.0,0.0,0.0
2880,199.9901143,200.0,0.0,0.0
2940,199.9901143,200.0,0.0,0.0
3000,199.9901143,200.0,0.0,0.0
3060,199.9901143,200.0,0.0,0.0
3120,199.9901143,200.0,0.0,0.0
3180,199.9901143,200.0,0.0,0.0
3240,199.9901143,200.0,0.0,0.0
3300,199.9901143,200.0,0.0,0.0
3360,199.9901143,200.0,0.0,0.0
3420,199.9901143,200.0,0.0,0.0
3480,199.9901143,200.0,0.0,0.0
3540,199.9901143,200.0,0.0,0.0
3600,199.9901143,200.0,0.0,0.0
3660,199.9901143,200.0,0.0,0.0
3720,199.9901143,200.0,0.0,0.0
3780,199.9901143,200.0,0.0,0.0
3840,199.9901143,200.0,0.0,0.0
3900,199.9901143,200.0,0.0,0.0
3960,199.9901143,200.0,0.0,0.0
4020,199.9901143,200.0,0.0,0.0
4080,199.9901143,200.0,0.0,0.0
4140,199.9901143,200.0,0.0,0.0
4200,199.9901143,200.0,0.0,0.0
4260,199.9901143,200.0,0.0,0.0
4320,199.9901143,200.0,0.0,0.0
4380,199.9901143,200.0,0.0,0.0
4440,199.9901143,200.0,0.0,0.0
4500,199.9901143,200.0,0.0,0.0
4560,199.9901143,200.0,0.0,0.0
4620,199.9901143,200.0,0.0,0.0
4680,199.9901143,200.0,0.0,0.0
4740,199.9901143,200.0,0.0,0.0
4800,199.9901143,200.0,0.0,0.0
4860,199.9901143,200.0,0.0,0.0
4920,199.9901143,200.0,0.0,0.0
4980,199.9901143,200.0,0.0,0.0
5040,199.9901143,200.0,0.0,0.0
5100,199.9901143,200.0,0.0,0.0
5160,199.9901143,200.0,0.0,0.0
5220,199.9901143,200.0,0.0,0.0
5280,199.9901143,200.0,0.0,0.0
5340,199.9901143,200.0,0.0,0.0
5400,199.9901143,200.0,0.0,0.0
5460,199.9901143,200.0,0.0,0.0
5520,199.9901143,200.0,0.0,0.0
5580,199.9901143,200.0,0.0,0.0
5640,199.9901143,200.0,0.0,0.0
5700,199.9901143,200.0,0.0,0.0
