,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type,wallet_exposure,total_wallet_exposure
0,4073,SOL,0.0,-0.0027216000000000002,199.9972784,0.0,199.9972784,1.0,6.3,2.16,6.3,2.16,entry_initial_normal_long,0.06804092590091966,0.06804092590091966
1,4245,SOL,0.1631700000000002,-0.0027542340000000004,200.157694166,0.0,200.157694166,1.0,-6.3,2.1859,0.0,2.16,close_trailing_long,0.0,0.0
2,4317,SOL,0.0,-0.00272636,200.154967806,0.0,200.154967806,1.0,6.37,2.14,6.37,2.14,entry_initial_normal_long,0.06810622863586682,0.06810622863586682
3,4335,SOL,0.0,-0.00272636,200.152241446,0.0,200.152241446,1.0,-6.37,2.14,0.0,2.14,close_trailing_long,0.0,0.0
4,5148,SOL,0.0,-0.00272436,200.149517086,0.0,200.149517086,1.0,6.22,2.19,6.22,2.19,entry_initial_normal_long,0.06805812074054118,0.06805812074054118
5,5231,SOL,0.0,-0.00272436,200.146792726,0.0,200.146792726,1.0,-6.22,2.19,0.0,2.19,close_trailing_long,0.0,0.0
6,5266,SOL,0.0,-0.00272552,200.144067206,0.0,200.144067206,1.0,6.28,2.17,6.28,2.17,entry_initial_normal_long,0.06808895307385593,0.06808895307385593
7,5319,SOL,0.0,-0.00272552,200.14134168599998,0.0,200.14134168599998,1.0,-6.28,2.17,0.0,2.17,close_trailing_long,0.0,0.0
8,6392,SOL,0.0,-0.0027236000000000005,200.13861808599998,0.0,200.13861808599998,1.0,6.19,2.2,6.19,2.2,entry_initial_normal_long,0.06804284015865604,0.06804284015865604
9,6634,SOL,0.155368999999998,-0.0027546738000000003,200.29123241219997,0.0,200.29123241219997,1.0,-6.19,2.2251,0.0,2.2,close_trailing_long,0.0,0.0
10,7066,SOL,0.0,-0.0027271400000000003,200.28850527219998,0.0,200.28850527219998,1.0,6.17,2.21,6.17,2.21,entry_initial_normal_long,0.06808029238357212,0.06808029238357212
11,7403,SOL,0.0,-0.003556680000000001,200.28494859219998,0.0,200.28494859219998,1.0,8.31,2.14,14.48,2.1698273480662986,entry_grid_normal_long,0.15687199772546268,0.15687199772546268
12,7487,SOL,0.0,-0.0081942,200.2767543922,0.0,200.2767543922,1.0,19.51,2.1,33.99,2.129746984407179,entry_grid_normal_long,0.3614503351609104,0.3614503351609104
13,7712,SOL,0.0,-0.0188696,200.2578847922,0.0,200.2578847922,1.0,45.8,2.06,79.79,2.0897117433262316,entry_grid_normal_long,0.8326169038138889,0.8326169038138889
14,8017,SOL,0.677277999999972,-0.0334830756,200.90167971659997,0.0,200.90167971659997,1.0,-79.79,2.0982,0.0,2.0897117433262316,close_trailing_long,0.0,0.0
15,8342,SOL,0.0,-0.00273654,200.89894317659997,0.0,200.89894317659997,1.0,6.61,2.07,6.61,2.07,entry_initial_normal_long,0.06810737669223196,0.06810737669223196
16,8490,SOL,0.13087800000000027,-0.0027627156,201.02705846099997,0.0,201.02705846099997,1.0,-6.61,2.0898,0.0,2.07,close_trailing_long,0.0,0.0
17,8528,SOL,0.0,-0.00273654,201.02432192099997,0.0,201.02432192099997,1.0,6.61,2.07,6.61,2.07,entry_initial_normal_long,0.06806489816380093,0.06806489816380093
18,8788,SOL,0.12492900000000239,-0.0027615258000000006,201.14648939519998,0.0,201.14648939519998,1.0,-6.61,2.0889,0.0,2.07,close_trailing_long,0.0,0.0
19,9105,SOL,0.0,-0.0027405,201.1437488952,0.0,201.1437488952,1.0,6.75,2.03,6.75,2.03,entry_initial_normal_long,0.06812292241375735,0.06812292241375735
20,9117,SOL,0.0,-0.0035672,201.1401816952,0.0,201.1401816952,1.0,9.1,1.96,15.85,1.9898107255520503,entry_grid_normal_long,0.15679860550087507,0.15679860550087507
21,9263,SOL,0.0,-0.00820224,201.1319794552,0.0,201.1319794552,1.0,21.36,1.92,37.21,1.9497366299381884,entry_grid_normal_long,0.3607069357966502,0.3607069357966502
22,9325,SOL,0.0,-0.01885264,201.1131268152,0.0,201.1131268152,1.0,50.14,1.88,87.35,1.9097069261591297,entry_grid_normal_long,0.82944809541588,0.82944809541588
23,9422,SOL,2.8732100000000265,-0.033937221999999996,203.95239959320003,0.0,203.95239959320003,1.0,-87.35,1.9426,0.0,1.9097069261591297,close_trailing_long,0.0,0.0
24,9440,SOL,0.0,-0.0027778,203.94962179320004,0.0,203.94962179320004,1.0,7.31,1.9,7.31,1.9,entry_initial_normal_long,0.06810015080137342,0.06810015080137342
25,9528,SOL,0.029240000000000023,-0.002783648,203.97607814520003,0.0,203.97607814520003,1.0,-7.31,1.904,0.0,1.9,close_trailing_long,0.0,0.0
26,9539,SOL,0.0,-0.0027783,203.97329984520005,0.0,203.97329984520005,1.0,7.35,1.89,7.35,1.89,entry_initial_normal_long,0.06810450196443639,0.06810450196443639
27,9608,SOL,0.0,-0.0027783,203.97052154520006,0.0,203.97052154520006,1.0,-7.35,1.89,0.0,1.89,close_trailing_long,0.0,0.0
28,9609,SOL,0.0,-0.0027786399999999998,203.96774290520005,0.0,203.96774290520005,1.0,7.39,1.88,7.39,1.88,entry_initial_normal_long,0.06811469206901637,0.06811469206901637
29,9619,SOL,0.10493800000000157,-0.0027996276000000005,204.06988127760005,0.0,204.06988127760005,1.0,-7.39,1.8942,0.0,1.88,close_trailing_long,0.0,0.0
30,10819,SOL,0.0,-0.0027778,204.06710347760006,0.0,204.06710347760006,1.0,7.31,1.9,7.31,1.9,entry_initial_normal_long,0.06806094546015135,0.06806094546015135
31,10877,SOL,0.0,-0.0027778,204.06432567760007,0.0,204.06432567760007,1.0,-7.31,1.9,0.0,1.9,close_trailing_long,0.0,0.0
32,11171,SOL,0.0,-0.00277808,204.06154759760005,0.0,204.06154759760005,1.0,7.16,1.94,7.16,1.94,entry_initial_normal_long,0.06806965919611287,0.06806965919611287
33,11235,SOL,0.0,-0.00277808,204.05876951760004,0.0,204.05876951760004,1.0,-7.16,1.94,0.0,1.94,close_trailing_long,0.0,0.0
34,11236,SOL,0.0,-0.0027798704000000004,204.05598964720005,0.0,204.05598964720005,1.0,7.24,1.9198,7.24,1.9198,entry_initial_normal_long,0.06811538354757977,0.06811538354757977
35,11371,SOL,0.0,-0.0036307200000000005,204.05235892720006,0.0,204.05235892720006,1.0,9.76,1.86,17.0,1.8854677647058824,entry_grid_normal_long,0.15708199683903462,0.15708199683903462
36,11402,SOL,-0.05895200000000256,-0.0063988000000000005,203.98700812720006,0.0,203.98700812720006,1.0,-17.0,1.882,0.0,1.8854677647058824,close_trailing_long,0.0,0.0
37,11417,SOL,0.0,-0.0027786399999999998,203.98422948720005,0.0,203.98422948720005,1.0,7.39,1.88,7.39,1.88,entry_initial_normal_long,0.06810918684707336,0.06810918684707336
38,11463,SOL,0.18401100000000106,-0.0028154422,204.16542504500006,0.0,204.16542504500006,1.0,-7.39,1.9049,0.0,1.88,close_trailing_long,0.0,0.0
39,11465,SOL,0.0,-0.0027786399999999998,204.16264640500006,0.0,204.16264640500006,1.0,7.39,1.88,7.39,1.88,entry_initial_normal_long,0.06804966650187262,0.06804966650187262
40,11473,SOL,0.09902600000000057,-0.0027984451999999997,204.25887395980007,0.0,204.25887395980007,1.0,-7.39,1.8934,0.0,1.88,close_trailing_long,0.0,0.0
