,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4125,SOL,0.0,-0.009597,199.990403,0.0,199.990403,1.0,1.5,31.99,1.5,31.99,entry_initial_normal_long
1,4165,SOL,0.10500000000000576,-0.009618000000000002,200.085785,0.0,200.085785,1.0,-1.5,32.06,0.0,31.99,close_trailing_long
2,4205,SOL,0.0,-0.0101952,200.0755898,0.0,200.0755898,1.0,1.6,31.86,1.6,31.86,entry_initial_normal_long
3,4216,SOL,0.3600000000000023,-0.010267200000000002,200.4253226,0.0,200.4253226,1.0,-1.6,32.085,0.0,31.86,close_trailing_long
4,7509,SOL,0.0,-0.0097328,200.4155898,0.0,200.4155898,1.0,1.4,34.76,1.4,34.76,entry_initial_normal_long
5,7514,SOL,0.09800000000000039,-0.0097524,200.50383739999998,0.0,200.50383739999998,1.0,-1.4,34.83,0.0,34.76,close_trailing_long
6,8151,SOL,0.0,-0.010235999999999999,200.4936014,0.0,200.4936014,1.0,1.5,34.12,1.5,34.12,entry_initial_normal_long
7,8159,SOL,0.360000000000003,-0.010308000000000001,200.8432934,0.0,200.8432934,1.0,-1.5,34.36,0.0,34.12,close_trailing_long
8,8213,SOL,0.0,-0.010179,200.8331144,0.0,200.8331144,1.0,1.5,33.93,1.5,33.93,entry_initial_normal_long
9,8216,SOL,0.10500000000000043,-0.0102,200.9279144,0.0,200.9279144,1.0,-1.5,34.0,0.0,33.93,close_trailing_long
10,8895,SOL,0.0,-0.010134,200.9177804,0.0,200.9177804,1.0,1.5,33.78,1.5,33.78,entry_initial_normal_long
11,9909,SOL,0.10500000000000043,-0.010155,201.0126254,0.0,201.0126254,1.0,-1.5,33.85,0.0,33.78,close_trailing_long
12,10204,SOL,0.0,-0.009592799999999999,201.00303259999998,0.0,201.00303259999998,1.0,1.4,34.26,1.4,34.26,entry_initial_normal_long
13,10399,SOL,0.09800000000000039,-0.0096124,201.0914202,0.0,201.0914202,1.0,-1.4,34.33,0.0,34.26,close_trailing_long
14,12485,SOL,0.0,-0.0102004,201.08121979999999,0.0,201.08121979999999,1.0,1.4,36.43,1.4,36.43,entry_initial_normal_long
15,12488,SOL,0.1329999999999984,-0.010227,201.20399279999998,0.0,201.20399279999998,1.0,-1.4,36.525,0.0,36.43,close_trailing_long
16,12561,SOL,0.0,-0.010074399999999999,201.19391839999997,0.0,201.19391839999997,1.0,1.4,35.98,1.4,35.98,entry_initial_normal_long
17,12579,SOL,0.09800000000000039,-0.010093999999999999,201.28182439999998,0.0,201.28182439999998,1.0,-1.4,36.05,0.0,35.98,close_trailing_long
18,12722,SOL,0.0,-0.0099988,201.27182559999997,0.0,201.27182559999997,1.0,1.4,35.71,1.4,35.71,entry_initial_normal_long
