,balance,equity,balance_btc,equity_btc
0,199.9973696,200.0,0.0,0.0
60,199.9973696,200.0,0.0,0.0
120,199.9973696,200.0,0.0,0.0
180,199.9973696,200.0,0.0,0.0
240,199.9973696,200.0,0.0,0.0
300,199.9973696,200.0,0.0,0.0
360,199.9973696,200.0,0.0,0.0
420,199.9973696,200.0,0.0,0.0
480,199.9973696,200.0,0.0,0.0
540,199.9973696,200.0,0.0,0.0
600,199.9973696,200.0,0.0,0.0
660,199.9973696,200.0,0.0,0.0
720,199.9973696,200.0,0.0,0.0
780,199.9973696,200.0,0.0,0.0
840,199.9973696,200.0,0.0,0.0
900,199.9973696,200.0,0.0,0.0
960,199.9973696,200.0,0.0,0.0
1020,199.9973696,200.0,0.0,0.0
1080,199.9973696,200.0,0.0,0.0
1140,199.9973696,200.0,0.0,0.0
1200,199.9973696,200.0,0.0,0.0
1260,199.9973696,200.0,0.0,0.0
1320,199.9973696,200.0,0.0,0.0
1380,199.9973696,200.0,0.0,0.0
1440,199.9973696,200.0,0.0,0.0
1500,199.9973696,200.0,0.0,0.0
1560,199.9973696,200.0,0.0,0.0
1620,199.9973696,200.0,0.0,0.0
1680,199.9973696,200.0,0.0,0.0
1740,199.9973696,200.0,0.0,0.0
1800,199.9973696,200.0,0.0,0.0
1860,199.9973696,200.0,0.0,0.0
1920,199.9973696,200.0,0.0,0.0
1980,199.9973696,200.0,0.0,0.0
2040,199.9973696,200.0,0.0,0.0
2100,199.9973696,200.0,0.0,0.0
2160,199.9973696,200.0,0.0,0.0
2220,199.9973696,200.0,0.0,0.0
2280,199.9973696,200.0,0.0,0.0
2340,199.9973696,200.0,0.0,0.0
2400,199.9973696,200.0,0.0,0.0
2460,199.9973696,200.0,0.0,0.0
2520,199.9973696,200.0,0.0,0.0
2580,199.9973696,200.0,0.0,0.0
2640,199.9973696,200.0,0.0,0.0
2700,199.9973696,200.0,0.0,0.0
2760,199.9973696,200.0,0.0,0.0
2820,199.9973696,200.0,0.0,0.0
2880,199.9973696,200.0,0.0,0.0
2940,199.9973696,200.0,0.0,0.0
3000,199.9973696,200.0,0.0,0.0
3060,199.9973696,200.0,0.0,0.0
3120,199.9973696,200.0,0.0,0.0
3180,199.9973696,200.0,0.0,0.0
3240,199.9973696,200.0,0.0,0.0
3300,199.9973696,200.0,0.0,0.0
3360,199.9973696,200.0,0.0,0.0
3420,199.9973696,200.0,0.0,0.0
3480,199.9973696,200.0,0.0,0.0
3540,199.9973696,200.0,0.0,0.0
3600,199.9973696,200.0,0.0,0.0
3660,199.9973696,200.0,0.0,0.0
3720,199.9973696,200.0,0.0,0.0
3780,199.9973696,200.0,0.0,0.0
3840,199.9973696,200.0,0.0,0.0
3900,199.9973696,200.0,0.0,0.0
3960,199.9973696,200.0,0.0,0.0
4020,199.9973696,200.0,0.0,0.0
4080,199.9973696,200.03336960000001,0.0,0.035999999999998526
4140,199.9973696,199.78936960000001,0.0,-0.20800000000000127
4200,199.99418160000002,199.7293696,0.0,-0.2680000000000007
4260,199.99418160000002,199.4681816,0.0,-0.5260000000000024
4320,200.164328,199.81018160000002,0.0,-0.1840000000000032
4380,200.164328,200.164328,0.0,0.0
4440,200.16177280000002,200.164328,0.0,0.0
4500,200.23920160000003,200.01377280000003,0.0,-0.1480000000000004
4560,200.23920160000003,200.23920160000003,0.0,0.0
4620,200.23920160000003,200.23920160000003,0.0,0.0
4680,200.23920160000003,200.23920160000003,0.0,0.0
4740,200.23920160000003,200.23920160000003,0.0,0.0
4800,200.23920160000003,200.23920160000003,0.0,0.0
4860,200.23920160000003,200.23920160000003,0.0,0.0
4920,200.23920160000003,200.23920160000003,0.0,0.0
4980,200.23920160000003,200.23920160000003,0.0,0.0
5040,200.23920160000003,200.23920160000003,0.0,0.0
5100,200.23920160000003,200.23920160000003,0.0,0.0
5160,200.23920160000003,200.23920160000003,0.0,0.0
5220,200.23920160000003,200.23920160000003,0.0,0.0
5280,200.23920160000003,200.23920160000003,0.0,0.0
5340,200.23920160000003,200.23920160000003,0.0,0.0
5400,200.23920160000003,200.23920160000003,0.0,0.0
5460,200.23920160000003,200.23920160000003,0.0,0.0
