,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,VET,0.0,-0.0024175644,199.9975824356,0.0,199.9975824356,1.0,4839.0,0.002498,4839.0,0.002498,entry_initial_normal_long
1,8,VET,0.13065300000000055,-0.002443695,200.12579174060002,0.0,200.12579174060002,1.0,-4839.0,0.002525,0.0,0.002498,close_trailing_long
2,114,VET,0.0,-0.0024190772,200.12337266340003,0.0,200.12337266340003,1.0,4889.0,0.002474,4889.0,0.002474,entry_initial_normal_long
3,120,VET,0.024444999999999002,-0.0024239662,200.14539369720003,0.0,200.14539369720003,1.0,-4889.0,0.002479,0.0,0.002474,close_trailing_long
4,753,VET,0.0,-0.002419334,200.14297436320004,0.0,200.14297436320004,1.0,4685.0,0.002582,4685.0,0.002582,entry_initial_normal_long
5,756,VET,0.10775500000000007,-0.0024408850000000003,200.24828847820004,0.0,200.24828847820004,1.0,-4685.0,0.002605,0.0,0.002582,close_trailing_long
6,860,VET,0.0,-0.0024203888,200.24586808940003,0.0,200.24586808940003,1.0,4744.0,0.002551,4744.0,0.002551,entry_initial_normal_long
7,862,VET,0.00474400000000063,-0.0024213376,200.24819075180002,0.0,200.24819075180002,1.0,-4744.0,0.002552,0.0,0.002551,close_trailing_long
8,863,VET,0.0,-0.0024204924,200.24577025940002,0.0,200.24577025940002,1.0,4761.0,0.002542,4761.0,0.002542,entry_initial_normal_long
9,865,VET,0.01428299999999983,-0.002423349,200.25762991040003,0.0,200.25762991040003,1.0,-4761.0,0.002545,0.0,0.002542,close_trailing_long
10,1248,VET,0.0,-0.0024206384000000003,200.25520927200003,0.0,200.25520927200003,1.0,4924.0,0.002458,4924.0,0.002458,entry_initial_normal_long
11,1251,VET,0.004923999999998518,-0.0024216232,200.25771164880004,0.0,200.25771164880004,1.0,-4924.0,0.002459,0.0,0.002458,close_trailing_long
12,1252,VET,0.0,-0.0024206144000000003,200.25529103440005,0.0,200.25529103440005,1.0,4936.0,0.002452,4936.0,0.002452,entry_initial_normal_long
13,1262,VET,0.049360000000000126,-0.0024304864000000005,200.30222054800004,0.0,200.30222054800004,1.0,-4936.0,0.002462,0.0,0.002452,close_trailing_long
14,1345,VET,0.0,-0.0024208272,200.29979972080002,0.0,200.29979972080002,1.0,4743.0,0.002552,4743.0,0.002552,entry_initial_normal_long
15,1348,VET,0.0047430000000006295,-0.0024217758,200.302120945,0.0,200.302120945,1.0,-4743.0,0.002553,0.0,0.002552,close_trailing_long
16,1353,VET,0.0,-0.0024208704,200.29970007460003,0.0,200.29970007460003,1.0,4758.0,0.002544,4758.0,0.002544,entry_initial_normal_long
17,1356,VET,0.0047580000000006315,-0.002421822,200.30203625260003,0.0,200.30203625260003,1.0,-4758.0,0.002545,0.0,0.002544,close_trailing_long
18,1366,VET,0.0,-0.0024208656,200.29961538700005,0.0,200.29961538700005,1.0,4773.0,0.002536,4773.0,0.002536,entry_initial_normal_long
19,1374,VET,0.0047730000000006335,-0.0024218202000000004,200.30196656680005,0.0,200.30196656680005,1.0,-4773.0,0.002537,0.0,0.002536,close_trailing_long
20,1376,VET,0.0,-0.0024209184000000003,200.29954564840006,0.0,200.29954564840006,1.0,4792.0,0.002526,4792.0,0.002526,entry_initial_normal_long
21,1391,VET,0.03833599999999886,-0.0024285856,200.33545306280004,0.0,200.33545306280004,1.0,-4792.0,0.002534,0.0,0.002526,close_trailing_long
22,1441,VET,0.0,-0.0024212272,200.33303183560005,0.0,200.33303183560005,1.0,4858.0,0.002492,4858.0,0.002492,entry_initial_normal_long
23,1469,VET,0.004858000000000645,-0.0024221988000000002,200.33546763680005,0.0,200.33546763680005,1.0,-4858.0,0.002493,0.0,0.002492,close_trailing_long
24,1774,VET,0.0,-0.0024216876000000003,200.33304594920006,0.0,200.33304594920006,1.0,5094.0,0.002377,5094.0,0.002377,entry_initial_normal_long
25,1792,VET,0.0,-0.0040637856000000005,200.32898216360005,0.0,200.32898216360005,1.0,8904.0,0.002282,13998.0,0.002316571367338191,entry_grid_normal_long
26,1794,VET,0.0,-0.010858454600000001,200.31812370900005,0.0,200.31812370900005,1.0,24467.0,0.002219,38465.0,0.0022545077083062524,entry_grid_normal_long
27,1806,VET,0.0,-0.0288564036,200.28926730540005,0.0,200.28926730540005,1.0,67233.0,0.002146,105698.0,0.0021854874926677892,entry_grid_normal_long
28,1816,VET,0.017939806656706338,-0.015303748800000001,200.29190336325675,0.0,200.29190336325675,1.0,-35004.0,0.002186,70694.0,0.0021854874926677892,close_trailing_long
29,1819,VET,0.36799031916403946,-0.015374196000000001,200.6445194864208,0.0,200.6445194864208,1.0,-35005.0,0.002196,35689.0,0.0021854874926677892,close_trailing_long
30,1822,VET,0.018290874179270725,-0.015603230800000001,200.64720712980005,0.0,200.64720712980005,1.0,-35689.0,0.002186,0.0,0.0021854874926677892,close_trailing_long
31,1823,VET,0.0,-0.0024252288,200.64478190100004,0.0,200.64478190100004,1.0,5532.0,0.002192,5532.0,0.002192,entry_initial_normal_long
32,1855,VET,0.005532000000000734,-0.0024263352,200.64788756580003,0.0,200.64788756580003,1.0,-5532.0,0.002193,0.0,0.002192,close_trailing_long
33,1856,VET,0.0,-0.0024251136,200.64546245220004,0.0,200.64546245220004,1.0,5552.0,0.002184,5552.0,0.002184,entry_initial_normal_long
34,1889,VET,0.0,-0.004067916800000001,200.64139453540002,0.0,200.64139453540002,1.0,9704.0,0.002096,15256.0,0.002128025170424751,entry_grid_normal_long
35,1942,VET,0.0,-0.0108690616,200.63052547380002,0.0,200.63052547380002,1.0,26666.0,0.002038,41922.0,0.0020707614140546733,entry_grid_normal_long
36,1957,VET,0.008829111492756461,-0.0153278852,200.62402670009277,0.0,200.62402670009277,1.0,-37006.0,0.002071,4916.0,0.0020707614140546733,close_trailing_long
37,1962,VET,0.040500888507226565,-0.0020440728,200.6624835158,0.0,200.6624835158,1.0,-4916.0,0.002079,0.0,0.0020707614140546733,close_trailing_long
38,2042,VET,0.0,-0.0024254100000000002,200.6600581058,0.0,200.6600581058,1.0,5850.0,0.002073,5850.0,0.002073,entry_initial_normal_long
