,balance,equity,balance_btc,equity_btc
0,199.996337152,200.0,0.0,0.0
60,199.996337152,200.0,0.0,0.0
120,199.996337152,200.0,0.0,0.0
180,199.996337152,200.0,0.0,0.0
240,199.996337152,200.0,0.0,0.0
300,199.996337152,200.0,0.0,0.0
360,199.996337152,200.0,0.0,0.0
420,199.996337152,200.0,0.0,0.0
480,199.996337152,200.0,0.0,0.0
540,199.996337152,200.0,0.0,0.0
600,199.996337152,200.0,0.0,0.0
660,199.996337152,200.0,0.0,0.0
720,199.996337152,200.0,0.0,0.0
780,199.996337152,200.0,0.0,0.0
840,199.996337152,200.0,0.0,0.0
900,199.996337152,200.0,0.0,0.0
960,199.996337152,200.0,0.0,0.0
1020,199.996337152,200.0,0.0,0.0
1080,199.996337152,200.0,0.0,0.0
1140,199.996337152,200.0,0.0,0.0
1200,199.996337152,200.0,0.0,0.0
1260,199.996337152,200.0,0.0,0.0
1320,199.996337152,200.0,0.0,0.0
1380,199.996337152,200.0,0.0,0.0
1440,199.996337152,200.0,0.0,0.0
1500,199.996337152,200.0,0.0,0.0
1560,199.996337152,200.0,0.0,0.0
1620,199.996337152,200.0,0.0,0.0
1680,199.996337152,200.0,0.0,0.0
1740,199.996337152,200.0,0.0,0.0
1800,199.996337152,200.0,0.0,0.0
1860,199.996337152,200.0,0.0,0.0
1920,199.996337152,200.0,0.0,0.0
1980,199.996337152,200.0,0.0,0.0
2040,199.996337152,200.0,0.0,0.0
2100,199.996337152,200.0,0.0,0.0
2160,199.996337152,200.0,0.0,0.0
2220,199.996337152,200.0,0.0,0.0
2280,199.996337152,200.0,0.0,0.0
2340,199.996337152,200.0,0.0,0.0
2400,199.996337152,200.0,0.0,0.0
2460,199.996337152,200.0,0.0,0.0
2520,199.996337152,200.0,0.0,0.0
2580,199.996337152,200.0,0.0,0.0
2640,199.996337152,200.0,0.0,0.0
2700,199.996337152,200.0,0.0,0.0
2760,199.996337152,200.0,0.0,0.0
2820,199.996337152,200.0,0.0,0.0
2880,199.996337152,200.0,0.0,0.0
2940,199.996337152,200.0,0.0,0.0
3000,199.996337152,200.0,0.0,0.0
3060,199.996337152,200.0,0.0,0.0
3120,199.996337152,200.0,0.0,0.0
3180,199.996337152,200.0,0.0,0.0
3240,199.996337152,200.0,0.0,0.0
3300,199.996337152,200.0,0.0,0.0
3360,199.996337152,200.0,0.0,0.0
3420,199.996337152,200.0,0.0,0.0
3480,199.996337152,200.0,0.0,0.0
3540,199.996337152,200.0,0.0,0.0
3600,199.996337152,200.0,0.0,0.0
3660,199.996337152,200.0,0.0,0.0
3720,199.996337152,200.0,0.0,0.0
3780,199.996337152,200.0,0.0,0.0
3840,199.996337152,200.0,0.0,0.0
3900,199.996337152,200.0,0.0,0.0
3960,199.996337152,200.0,0.0,0.0
4020,199.996337152,200.0,0.0,0.0
4080,199.996337152,200.0,0.0,0.0
4140,199.996337152,200.0,0.0,0.0
4200,199.996337152,200.0,0.0,0.0
4260,199.996337152,200.0,0.0,0.0
4320,199.996337152,200.0,0.0,0.0
4380,199.996337152,200.0,0.0,0.0
4440,199.996337152,200.0,0.0,0.0
4500,199.996337152,200.0,0.0,0.0
4560,199.996337152,200.0,0.0,0.0
4620,199.996337152,200.0,0.0,0.0
4680,199.996337152,200.0,0.0,0.0
4740,199.996337152,200.0,0.0,0.0
4800,199.996337152,200.0,0.0,0.0
4860,199.996337152,200.0,0.0,0.0
4920,199.996337152,200.0,0.0,0.0
4980,199.996337152,200.0,0.0,0.0
5040,199.996337152,200.0,0.0,0.0
5100,199.996337152,200.0,0.0,0.0
5160,199.996337152,200.0,0.0,0.0
5220,199.996337152,200.0,0.0,0.0
5280,199.996337152,200.0,0.0,0.0
5340,199.996337152,200.0,0.0,0.0
5400,199.996337152,200.0,0.0,0.0
5460,199.996337152,200.0,0.0,0.0
5520,199.996337152,200.0,0.0,0.0
5580,199.996337152,200.0,0.0,0.0
5640,199.996337152,200.0,0.0,0.0
5700,199.996337152,200.0,0.0,0.0
5760,199.996337152,200.0,0.0,0.0
5820,199.996337152,199.988497152,0.0,-0.007839999999999138
5880,199.996337152,199.980657152,0.0,-0.01568000000000045
5940,199.996337152,199.957137152,0.0,-0.03920000000000004
6000,199.996337152,200.043377152,0.0,0.04703999999999917
6060,199.996337152,200.153137152,0.0,0.15680000000000016
6120,200.047543328,200.051217152,0.0,0.05488000000000049
6180,200.047543328,200.047543328,0.0,0.0
6240,200.047543328,200.047543328,0.0,0.0
6300,200.047543328,200.047543328,0.0,0.0
6360,200.047543328,200.047543328,0.0,0.0
6420,200.047543328,200.047543328,0.0,0.0
6480,200.047543328,200.047543328,0.0,0.0
6540,200.047543328,200.047543328,0.0,0.0
6600,200.047543328,200.047543328,0.0,0.0
6660,200.047543328,200.047543328,0.0,0.0
6720,200.043882,200.047543328,0.0,0.0
6780,200.391600382,200.387522,0.0,0.34364000000000117
6840,200.391600382,200.391600382,0.0,0.0
6900,200.391600382,200.391600382,0.0,0.0
6960,200.391600382,200.391600382,0.0,0.0
7020,200.391600382,200.391600382,0.0,0.0
7080,200.391600382,200.391600382,0.0,0.0
