,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,5771,XRP,0.0,-0.0036628480000000007,199.996337152,0.0,199.996337152,1.0,78.4,0.2336,78.4,0.2336,entry_initial_normal_long
1,6121,XRP,0.05488000000000049,-0.0036738240000000004,200.047543328,0.0,200.047543328,1.0,-78.4,0.2343,0.0,0.2336,close_trailing_long
2,6752,XRP,0.0,-0.0036613279999999997,200.043882,0.0,200.043882,1.0,78.1,0.2344,78.1,0.2344,entry_initial_normal_long
3,6820,XRP,0.35145000000000026,-0.003731618,200.391600382,0.0,200.391600382,1.0,-78.1,0.2389,0.0,0.2344,close_trailing_long
4,7549,XRP,0.0,-0.00367104,200.387929342,0.0,200.387929342,1.0,76.8,0.239,76.8,0.239,entry_initial_normal_long
5,7630,XRP,0.2073600000000006,-0.003712512,200.59157683,0.0,200.59157683,1.0,-76.8,0.2417,0.0,0.239,close_trailing_long
6,7961,XRP,0.0,-0.00367216,200.58790467,0.0,200.58790467,1.0,77.8,0.236,77.8,0.236,entry_initial_normal_long
7,7984,XRP,0.0,-0.00367216,200.58423251,0.0,200.58423251,1.0,-77.8,0.236,0.0,0.236,close_trailing_long
8,7993,XRP,0.0,-0.003673824,200.580558686,0.0,200.580558686,1.0,78.1,0.2352,78.1,0.2352,entry_initial_normal_long
9,8071,XRP,0.054670000000000475,-0.0036847579999999993,200.63154392799999,0.0,200.63154392799999,1.0,-78.1,0.2359,0.0,0.2352,close_trailing_long
10,10215,XRP,0.0,-0.0036735839999999997,200.62787034399997,0.0,200.62787034399997,1.0,77.6,0.2367,77.6,0.2367,entry_initial_normal_long
11,10329,XRP,-0.02327999999999959,-0.0036689279999999997,200.60092141599998,0.0,200.60092141599998,1.0,-77.6,0.2364,0.0,0.2367,close_trailing_long
12,11442,XRP,0.0,-0.0036719000000000005,200.59724951599998,0.0,200.59724951599998,1.0,73.0,0.2515,73.0,0.2515,entry_initial_normal_long
13,11484,XRP,-0.029200000000000836,-0.0036660599999999996,200.56438345599997,0.0,200.56438345599997,1.0,-73.0,0.2511,0.0,0.2515,close_trailing_long
14,11522,XRP,0.0,-0.0036729360000000003,200.56071052,0.0,200.56071052,1.0,73.4,0.2502,73.4,0.2502,entry_initial_normal_long
15,11617,XRP,0.6165600000000014,-0.0037962480000000003,201.173474272,0.0,201.173474272,1.0,-73.4,0.2586,0.0,0.2502,close_trailing_long
16,12123,XRP,0.0,-0.0036846540000000007,201.16978961799998,0.0,201.16978961799998,1.0,73.9,0.2493,73.9,0.2493,entry_initial_normal_long
17,12131,XRP,-0.007389999999999186,-0.0036831760000000002,201.15871644199999,0.0,201.15871644199999,1.0,-73.9,0.2492,0.0,0.2493,close_trailing_long
18,12139,XRP,0.0,-0.0036837200000000006,201.155032722,0.0,201.155032722,1.0,74.0,0.2489,74.0,0.2489,entry_initial_normal_long
